,argpair,phenomenon,conclusion_type,domain,stronger_arg_premises,stronger_arg_conclusion,weaker_arg_premises,weaker_arg_conclusion,average_human_rating,osherson_rating,stronger_arg_scm,weaker_arg_scm,is_control,is_osherson,is_weaker_arg_shown_first
0,"['Airplanes', 'Bicycles', 'Jeeps', 'Airplanes', 'Zeppelins', 'Jeeps']",Diversity (Specific),Specific,Vehicles,"['Airplanes', 'Bicycles']",Jeeps,"['Airplanes', 'Zeppelins']",Jeeps,2.111111111111111,,7.986111111111111,7.259722222222223,False,False,False
1,"['Airplanes', 'Boats', 'Skateboards', 'All vehicles', 'Airplanes', 'Boats', 'All vehicles']",Monotonicity (General),General,Vehicles,"['Airplanes', 'Boats', 'Skateboards']",All vehicles,"['Airplanes', 'Boats']",All vehicles,2.4,,10.38888888888889,9.202777777777778,False,False,True
2,"['Airplanes', 'Caravans', 'All vehicles', 'Airplanes', 'Rockets', 'All vehicles']",Diversity (General),General,Vehicles,"['Airplanes', 'Caravans']",All vehicles,"['Airplanes', 'Rockets']",All vehicles,1.7777777777777777,,9.86111111111111,8.130555555555555,False,False,False
3,"['Airplanes', 'Caravans', 'Carts', 'Rockets', 'Airplanes', 'Caravans', 'Rockets']",Monotonicity (Specific),Specific,Vehicles,"['Airplanes', 'Caravans', 'Carts']",Rockets,"['Airplanes', 'Caravans']",Rockets,2.0,,11.526388888888889,10.930555555555555,False,False,True
4,"['Airplanes', 'Rockets', 'All vehicles', 'Airplanes', 'Rockets', 'All things']",Specificity,General,Vehicles,"['Airplanes', 'Rockets']",All vehicles,"['Airplanes', 'Rockets']",All things,2.111111111111111,,,,False,False,True
5,"['Airplanes', 'Trucks', 'Airplanes', 'Ropes', 'Trucks']",Nonmonotonicity (Specific),Mixed,Vehicles,['Airplanes'],Trucks,"['Airplanes', 'Ropes']",Trucks,1.4,,,,False,False,True
6,"['Airplanes', 'Vans', 'Carriages', 'Helicopters', 'Airplanes', 'Vans', 'Helicopters']",Monotonicity (Specific),Specific,Vehicles,"['Airplanes', 'Vans', 'Carriages']",Helicopters,"['Airplanes', 'Vans']",Helicopters,2.2222222222222223,,13.208333333333332,12.61111111111111,False,False,True
7,"['Bats', 'Elephants', 'Bats', 'Pythons', 'Elephants']",Nonmonotonicity (Specific),Mixed,Mammals,['Bats'],Elephants,"['Bats', 'Pythons']",Elephants,2.555555555555556,,,,False,False,False
8,"['Bats', 'Mice', 'Bats', 'Toads', 'Mice']",Nonmonotonicity (Specific),Mixed,Mammals,['Bats'],Mice,"['Bats', 'Toads']",Mice,1.5555555555555556,,,,False,False,True
9,"['Bats', 'Rhinos', 'Bats', 'Chameleons', 'Rhinos']",Nonmonotonicity (Specific),Mixed,Mammals,['Bats'],Rhinos,"['Bats', 'Chameleons']",Rhinos,2.2,,,,False,False,False
