,uid,tid,trial_id,argpair_id,phenomenon,phenomenon_type,domain,arg1_premises,arg1_conclusion,arg2_premises,arg2_conclusion,human_rating,is_arg2_stronger,is_control,is_osherson,is_removed_participant
0,63,tid_experiment1_0,tc0,"['Elephants', 'Hedgehogs', 'Sheep', 'Elephants', 'Giraffes', 'Sheep']",Diversity (Specific),Specific,Mammals,"['Elephants', 'Hedgehogs']",Sheep,"['Elephants', 'Giraffes']",Sheep,4,FALSE,FALSE,FALSE,FALSE
1,63,tid_experiment1_0,tc1,"['Penguins', 'Parrots', 'All birds', 'Penguins', 'Parrots', 'Moths', 'All birds']",Nonmonotonicity (General),Mixed,Birds,"['Penguins', 'Parrots', 'Moths']",All birds,"['Penguins', 'Parrots']",All birds,2,TRUE,FALSE,FALSE,FALSE
2,63,tid_experiment1_0,tc2,"['Taxis', 'Hovercraft', 'Hovercraft', 'Taxis']",Asymmetry,Specific,Vehicles,['Taxis'],Hovercraft,['Hovercraft'],Taxis,2,FALSE,FALSE,FALSE,FALSE
3,63,tid_experiment1_0,tc3,"['Eagles', 'Parrots', 'Ostriches', 'All birds', 'Eagles', 'Parrots', 'All birds']",Monotonicity (General),General,Birds,"['Eagles', 'Parrots']",All birds,"['Eagles', 'Parrots', 'Ostriches']",All birds,3,TRUE,FALSE,FALSE,FALSE
4,63,tid_experiment1_0,tc4,"['Caravans', 'Cars', 'Rockets', 'Cars']",Similarity,Specific,Vehicles,['Rockets'],Cars,['Caravans'],Cars,4,TRUE,FALSE,FALSE,FALSE
5,63,tid_experiment1_0,tc5,"['Giraffes', 'Elephants', 'Hedgehogs', 'All mammals', 'Giraffes', 'Elephants', 'All mammals']",Monotonicity (General),General,Mammals,"['Giraffes', 'Elephants', 'Hedgehogs']",All mammals,"['Giraffes', 'Elephants']",All mammals,3,FALSE,FALSE,FALSE,FALSE
6,63,tid_experiment1_0,tc6,"['Peacocks', 'Turkeys', 'All birds', 'Peacocks', 'Turkeys', 'All animals']",Specificity,General,Birds,"['Peacocks', 'Turkeys']",All birds,"['Peacocks', 'Turkeys']",All animals,1,FALSE,FALSE,FALSE,FALSE
7,63,tid_experiment1_0,tc7,"['Sparrows', 'All birds', 'Ostriches', 'All birds']",Typicality,General,Birds,['Ostriches'],All birds,['Sparrows'],All birds,4,TRUE,FALSE,FALSE,FALSE
8,63,tid_experiment1_0,tc8,"['Cats', 'Hedgehogs', 'All mammals', 'Cats', 'Hedgehogs', 'Pythons', 'All mammals']",Nonmonotonicity (General),Mixed,Mammals,"['Cats', 'Hedgehogs', 'Pythons']",All mammals,"['Cats', 'Hedgehogs']",All mammals,4,TRUE,FALSE,FALSE,FALSE
9,63,tid_experiment1_0,tc9,"['Sparrows', 'Ducks', 'All birds', 'Sparrows', 'Ducks', 'Leeches', 'All birds']",Nonmonotonicity (General),Mixed,Birds,"['Sparrows', 'Ducks', 'Leeches']",All birds,"['Sparrows', 'Ducks']",All birds,4,TRUE,FALSE,FALSE,FALSE
10,63,tid_experiment1_0,tc10,"['Skateboards', 'Zeppelins', 'All vehicles', 'Skateboards', 'Sleds', 'All vehicles']",Diversity (General),General,Vehicles,"['Skateboards', 'Sleds']",All vehicles,"['Skateboards', 'Zeppelins']",All vehicles,3,TRUE,FALSE,FALSE,FALSE
11,63,tid_experiment1_0,tc11,"['Robins', 'Turkeys', 'Turkeys', 'Robins']",Asymmetry,Specific,Birds,['Robins'],Turkeys,['Turkeys'],Robins,2,FALSE,FALSE,FALSE,FALSE
12,63,tid_experiment1_0,tc12,"['Rabbits', 'Rhinos', 'Rhinos', 'Rabbits']",Asymmetry,Specific,Mammals,['Rhinos'],Rabbits,['Rabbits'],Rhinos,3,TRUE,FALSE,FALSE,FALSE
