,uid,tid,trialId,premises0,conclusion0,premises1,conclusion1,rating
0,118,tid_experiment1_1,tc0,Trucks,Taxis,Submarines,Taxis,2
1,118,tid_experiment1_1,tc10,Crows,All birds,Crows,Penguins,2
2,118,tid_experiment1_1,tc11,Turkeys,Ducks,Turkeys:Ladybugs,Ducks,3
3,118,tid_experiment1_1,tc12,Donkeys:Lions:Beavers,All mammals,Donkeys:Lions,All mammals,1
4,118,tid_experiment1_1,tc13,Skateboards,Trains,Trams,Trains,4
5,118,tid_experiment1_1,tc14,Kangaroos:Tigers,Zebras,Kangaroos:Tigers:Squirrels,Zebras,4
6,118,tid_experiment1_1,tc15,Doves:Swallows,All birds,Doves:Swallows:Ostriches,All birds,3
7,118,tid_experiment1_1,tc16,Hippos,Rhinos,Hippos,Chickens,2
8,118,tid_experiment1_1,tc17,Rhinos:Alligators,Mice,Rhinos,Mice,1
9,118,tid_experiment1_1,tc18,Trains,All vehicles,Trains,Caravans,3
10,118,tid_experiment1_1,tc19,Camels,Hamsters,Squirrels,Hamsters,3
11,118,tid_experiment1_1,tc1,Seagulls,All birds,Seagulls,Ostriches,2
12,118,tid_experiment1_1,tc20,Airplanes:Rockets,All things,Airplanes:Rockets,All vehicles,2
13,118,tid_experiment1_1,tc21,Zebras:Mice,All mammals,Zebras:Rhinos,All mammals,3
14,118,tid_experiment1_1,tc22,Hamsters:Sheep:Dinosaurs,All mammals,Hamsters:Sheep,All mammals,1
15,118,tid_experiment1_1,tc23,Vans:Jeeps:Skateboards,All vehicles,Vans:Jeeps,All vehicles,1
16,118,tid_experiment1_1,tc24,Peacocks:Turkeys,All birds,Peacocks:Penguins,All birds,3
17,118,tid_experiment1_1,tc25,Doves:Falcons,All birds,Doves:Falcons,All animals,2
18,118,tid_experiment1_1,tc26,Blackbirds,All birds,Turkeys,All birds,3
19,118,tid_experiment1_1,tc27,Ostriches,All birds,Robins,All birds,4
20,118,tid_experiment1_1,tc28,Llamas:Camels:Beavers,All mammals,Llamas:Camels,All mammals,1
21,118,tid_experiment1_1,tc29,Llamas:Hedgehogs,Pigs,Llamas:Zebras,Pigs,2
22,118,tid_experiment1_1,tc2,Caravans:Airplanes:Rockets,Jeeps,Caravans:Airplanes,Jeeps,3
23,118,tid_experiment1_1,tc30,Hovercraft:Cars,All things,Hovercraft:Cars,All vehicles,2
24,118,tid_experiment1_1,tc31,Seagulls:Owls:Penguins,Turkeys,Seagulls:Owls,Turkeys,1
25,118,tid_experiment1_1,tc32,Lions,Tigers,Lions,Penguins,2
26,118,tid_experiment1_1,tc33,Squirrels,All mammals,Horses,All mammals,3
27,118,tid_experiment1_1,tc34,Airplanes:Caravans,All vehicles,Airplanes:Rockets,All vehicles,2
28,118,tid_experiment1_1,tc35,Canaries:Ducks,All birds,Canaries:Ducks:Turkeys,All birds,3
29,118,tid_experiment1_1,tc36,Kangaroos:Zebras,All mammals,Kangaroos:Zebras,All animals,2
30,118,tid_experiment1_1,tc37,Vans,Submarines,Submarines,Vans,2
31,118,tid_experiment1_1,tc38,Caravans:Rockets:Wheelbarrows,All vehicles,Caravans:Rockets,All vehicles,1
32,118,tid_experiment1_1,tc39,Taxis:Jeeps,All vehicles,Taxis:Jeeps:Shovels,All vehicles,4
33,118,tid_experiment1_1,tc3,Swans,Falcons,Vultures,Falcons,2
