,argument,domain,conclusion_type,is_single_premise,is_control,premises,conclusion,average_rating,average_ranking,num_ratings
0,"(('Airplanes',), 'All vehicles')",Vehicles,General,True,False,"('Airplanes',)",All vehicles,38.13636363636363,0.4758698092031425,66
1,"(('Airplanes',), 'Bicycles')",Vehicles,Specific,True,False,"('Airplanes',)",Bicycles,22.285714285714285,0.3386243386243386,7
2,"(('Airplanes',), 'Helicopters')",Vehicles,Specific,True,False,"('Airplanes',)",Helicopters,77.875,0.7986111111111112,8
3,"(('Airplanes',), 'Jeeps')",Vehicles,Specific,True,False,"('Airplanes',)",Jeeps,34.25,0.33101851851851855,8
4,"(('Airplanes',), 'Skateboards')",Vehicles,Specific,True,False,"('Airplanes',)",Skateboards,23.1875,0.25347222222222227,16
5,"(('Airplanes',), 'Tractors')",Vehicles,Specific,True,False,"('Airplanes',)",Tractors,48.875,0.548611111111111,8
6,"(('Airplanes',), 'Trains')",Vehicles,Specific,True,False,"('Airplanes',)",Trains,38.1,0.45925925925925926,10
7,"(('Airplanes', 'Buses'), 'All vehicles')",Vehicles,General,False,False,"('Airplanes', 'Buses')",All vehicles,79.57142857142857,0.7662337662337662,7
8,"(('Airplanes', 'Helicopters'), 'All vehicles')",Vehicles,General,False,False,"('Airplanes', 'Helicopters')",All vehicles,47.42857142857143,0.3441558441558441,7
9,"(('Airplanes', 'Taxis'), 'All vehicles')",Vehicles,General,False,False,"('Airplanes', 'Taxis')",All vehicles,72.66666666666667,0.7424242424242425,6
10,"(('Airplanes', 'Trams'), 'Trains')",Vehicles,Specific,False,False,"('Airplanes', 'Trams')",Trains,74.9,0.6045454545454547,10
11,"(('Airplanes', 'Zeppelins'), 'All vehicles')",Vehicles,General,False,False,"('Airplanes', 'Zeppelins')",All vehicles,27.428571428571427,0.21428571428571427,7
12,"(('Beavers',), 'All mammals')",Mammals,General,True,False,"('Beavers',)",All mammals,42.94827586206897,0.4240102171136653,58
13,"(('Beavers',), 'Dogs')",Mammals,Specific,True,False,"('Beavers',)",Dogs,31.9375,0.4803240740740741,16
14,"(('Beavers',), 'Donkeys')",Mammals,Specific,True,False,"('Beavers',)",Donkeys,29.25,0.42857142857142866,28
15,"(('Beavers',), 'Elephants')",Mammals,Specific,True,False,"('Beavers',)",Elephants,34.705882352941174,0.3235294117647059,17
16,"(('Beavers',), 'Giraffes')",Mammals,Specific,True,False,"('Beavers',)",Giraffes,21.625,0.2407407407407407,8
17,"(('Beavers',), 'Hamsters')",Mammals,Specific,True,False,"('Beavers',)",Hamsters,51.6,0.6796296296296296,10
18,"(('Beavers',), 'Horses')",Mammals,Specific,True,False,"('Beavers',)",Horses,39.888888888888886,0.44238683127572015,9
19,"(('Beavers',), 'Tigers')",Mammals,Specific,True,False,"('Beavers',)",Tigers,34.705882352941174,0.2962962962962963,17
20,"(('Beavers', 'Camels'), 'Tigers')",Mammals,Specific,False,False,"('Beavers', 'Camels')",Tigers,53.625,0.42613636363636354,8
21,"(('Beavers', 'Cats'), 'All mammals')",Mammals,General,False,False,"('Beavers', 'Cats')",All mammals,52.57142857142857,0.4675324675324675,7
22,"(('Beavers', 'Hedgehogs'), 'Elephants')",Mammals,Specific,False,False,"('Beavers', 'Hedgehogs')",Elephants,38.25,0.27840909090909094,8
23,"(('Beavers', 'Horses'), 'Tigers')",Mammals,Specific,False,False,"('Beavers', 'Horses')",Tigers,62.888888888888886,0.5404040404040402,9
24,"(('Beavers', 'Llamas'), 'Dogs')",Mammals,Specific,False,False,"('Beavers', 'Llamas')",Dogs,57.25,0.6079545454545455,8
25,"(('Beavers', 'Mice'), 'All mammals')",Mammals,General,False,False,"('Beavers', 'Mice')",All mammals,52.166666666666664,0.49242424242424243,6
26,"(('Beavers', 'Mice'), 'Giraffes')",Mammals,Specific,False,False,"('Beavers', 'Mice')",Giraffes,42.875,0.36931818181818177,8
27,"(('Beavers', 'Mice'), 'Hamsters')",Mammals,Specific,False,False,"('Beavers', 'Mice')",Hamsters,66.0,0.7136363636363636,10
28,"(('Beavers', 'Rabbits'), 'All mammals')",Mammals,General,False,False,"('Beavers', 'Rabbits')",All mammals,43.5,0.3181818181818182,4
29,"(('Beavers', 'Zebras'), 'Horses')",Mammals,Specific,False,False,"('Beavers', 'Zebras')",Horses,60.888888888888886,0.6060606060606061,9
30,"(('Bicycles',), 'All vehicles')",Vehicles,General,True,False,"('Bicycles',)",All vehicles,36.92424242424242,0.4469696969696969,66
31,"(('Bicycles',), 'Boats')",Vehicles,Specific,True,False,"('Bicycles',)",Boats,41.75,0.44212962962962965,8
32,"(('Bicycles',), 'Buses')",Vehicles,Specific,True,False,"('Bicycles',)",Buses,38.7,0.32407407407407407,10
33,"(('Bicycles',), 'Carriages')",Vehicles,Specific,True,False,"('Bicycles',)",Carriages,52.75,0.5462962962962964,20
34,"(('Bicycles',), 'Rockets')",Vehicles,Specific,True,False,"('Bicycles',)",Rockets,18.5,0.20370370370370372,10
35,"(('Bicycles',), 'Skateboards')",Vehicles,Specific,True,False,"('Bicycles',)",Skateboards,55.0,0.5879629629629629,8
36,"(('Bicycles',), 'Submarines')",Vehicles,Specific,True,False,"('Bicycles',)",Submarines,28.1,0.29074074074074074,10
37,"(('Bicycles',), 'Trams')",Vehicles,Specific,True,False,"('Bicycles',)",Trams,33.25,0.4421296296296296,8
38,"(('Bicycles', 'Airplanes'), 'Skateboards')",Vehicles,Specific,False,False,"('Bicycles', 'Airplanes')",Skateboards,44.25,0.30113636363636365,8
39,"(('Bicycles', 'Carts'), 'Carriages')",Vehicles,Specific,False,False,"('Bicycles', 'Carts')",Carriages,71.6,0.7045454545454547,10
40,"(('Bicycles', 'Mopeds'), 'All vehicles')",Vehicles,General,False,False,"('Bicycles', 'Mopeds')",All vehicles,48.57142857142857,0.3246753246753246,7
41,"(('Bicycles', 'Mopeds'), 'Rockets')",Vehicles,Specific,False,False,"('Bicycles', 'Mopeds')",Rockets,17.0,0.18636363636363637,10
42,"(('Bicycles', 'Motorbikes'), 'All vehicles')",Vehicles,General,False,False,"('Bicycles', 'Motorbikes')",All vehicles,45.125,0.5056818181818181,8
43,"(('Bicycles', 'Sleds'), 'All vehicles')",Vehicles,General,False,False,"('Bicycles', 'Sleds')",All vehicles,38.333333333333336,0.3106060606060606,6
44,"(('Bicycles', 'Submarines'), 'All vehicles')",Vehicles,General,False,False,"('Bicycles', 'Submarines')",All vehicles,74.28571428571429,0.6688311688311688,7
45,"(('Bicycles', 'Tractors'), 'All vehicles')",Vehicles,General,False,False,"('Bicycles', 'Tractors')",All vehicles,73.71428571428571,0.6688311688311689,7
46,"(('Bicycles', 'Trains'), 'All vehicles')",Vehicles,General,False,False,"('Bicycles', 'Trains')",All vehicles,74.28571428571429,0.6103896103896104,7
47,"(('Bicycles', 'Trains'), 'Trams')",Vehicles,Specific,False,False,"('Bicycles', 'Trains')",Trams,69.625,0.6534090909090909,8
48,"(('Bicycles', 'Trams'), 'All vehicles')",Vehicles,General,False,False,"('Bicycles', 'Trams')",All vehicles,54.0,0.5303030303030303,6
49,"(('Blackbirds',), 'All birds')",Birds,General,True,False,"('Blackbirds',)",All birds,49.92307692307692,0.5558404558404558,65
50,"(('Blackbirds',), 'Canaries')",Birds,Specific,True,False,"('Blackbirds',)",Canaries,57.888888888888886,0.6008230452674899,18
51,"(('Blackbirds',), 'Doves')",Birds,Specific,True,False,"('Blackbirds',)",Doves,46.111111111111114,0.43004115226337447,9
52,"(('Blackbirds',), 'Falcons')",Birds,Specific,True,False,"('Blackbirds',)",Falcons,42.375,0.43287037037037035,8
53,"(('Blackbirds',), 'Magpies')",Birds,Specific,True,False,"('Blackbirds',)",Magpies,64.55555555555556,0.6872427983539094,9
54,"(('Blackbirds',), 'Ostriches')",Birds,Specific,True,False,"('Blackbirds',)",Ostriches,43.4375,0.32638888888888884,16
55,"(('Blackbirds',), 'Pelicans')",Birds,Specific,True,False,"('Blackbirds',)",Pelicans,53.2,0.5148148148148148,10
56,"(('Blackbirds',), 'Roosters')",Birds,Specific,True,False,"('Blackbirds',)",Roosters,44.9,0.387037037037037,10
57,"(('Blackbirds',), 'Seagulls')",Birds,Specific,True,False,"('Blackbirds',)",Seagulls,63.666666666666664,0.588477366255144,9
58,"(('Blackbirds',), 'Sparrows')",Birds,Specific,True,False,"('Blackbirds',)",Sparrows,56.25,0.6087962962962963,8
59,"(('Blackbirds',), 'Swallows')",Birds,Specific,True,False,"('Blackbirds',)",Swallows,59.94117647058823,0.5751633986928104,17
60,"(('Blackbirds', 'Crows'), 'Pelicans')",Birds,Specific,False,False,"('Blackbirds', 'Crows')",Pelicans,46.3,0.35454545454545444,10
61,"(('Blackbirds', 'Doves'), 'All birds')",Birds,General,False,False,"('Blackbirds', 'Doves')",All birds,53.5,0.4431818181818182,4
62,"(('Blackbirds', 'Ducks'), 'Seagulls')",Birds,Specific,False,False,"('Blackbirds', 'Ducks')",Seagulls,71.11111111111111,0.5151515151515151,9
63,"(('Blackbirds', 'Eagles'), 'Falcons')",Birds,Specific,False,False,"('Blackbirds', 'Eagles')",Falcons,70.125,0.7727272727272728,8
64,"(('Blackbirds', 'Parrots'), 'Ostriches')",Birds,Specific,False,False,"('Blackbirds', 'Parrots')",Ostriches,51.22222222222222,0.40404040404040403,9
65,"(('Blackbirds', 'Robins'), 'Roosters')",Birds,Specific,False,False,"('Blackbirds', 'Robins')",Roosters,58.1,0.5681818181818181,10
66,"(('Blackbirds', 'Storks'), 'Canaries')",Birds,Specific,False,False,"('Blackbirds', 'Storks')",Canaries,57.7,0.4136363636363636,10
67,"(('Boats',), 'All vehicles')",Vehicles,General,True,False,"('Boats',)",All vehicles,32.75757575757576,0.4205948372615039,66
68,"(('Boats',), 'Buses')",Vehicles,Specific,True,False,"('Boats',)",Buses,42.1,0.44907407407407407,20
69,"(('Boats',), 'Caravans')",Vehicles,Specific,True,False,"('Boats',)",Caravans,33.88235294117647,0.4106753812636166,17
70,"(('Boats',), 'Cars')",Vehicles,Specific,True,False,"('Boats',)",Cars,25.714285714285715,0.4470899470899471,7
