,pid,tid,argument,domain,conclusion_type,is_single_premise,is_control,premises,conclusion,rating,light_cut,medium_cut,hard_cut
0,0,0,"(('Eagles',), 'All birds')",Birds,General,True,False,"('Eagles',)",All birds,0,False,False,False
1,0,1,"(('Crows',), 'All birds')",Birds,General,True,False,"('Crows',)",All birds,7,False,False,False
2,0,10,"(('Vultures',), 'All birds')",Birds,General,True,False,"('Vultures',)",All birds,3,False,False,False
3,0,11,"(('Falcons',), 'All birds')",Birds,General,True,False,"('Falcons',)",All birds,3,False,False,False
4,0,12,"(('Herons',), 'All birds')",Birds,General,True,False,"('Herons',)",All birds,7,False,False,False
5,0,13,"(('Magpies',), 'All birds')",Birds,General,True,False,"('Magpies',)",All birds,10,False,False,False
6,0,14,"(('Blackbirds',), 'All birds')",Birds,General,True,False,"('Blackbirds',)",All birds,9,False,False,False
7,0,15,"(('Swans',), 'All birds')",Birds,General,True,False,"('Swans',)",All birds,8,False,False,False
8,0,16,"(('All living things',), 'All birds')",Birds,General,True,True,"('All living things',)",All birds,100,False,False,False
9,0,17,"(('Peacocks',), 'All birds')",Birds,General,True,False,"('Peacocks',)",All birds,5,False,False,False
10,0,18,"(('Storks',), 'All birds')",Birds,General,True,False,"('Storks',)",All birds,7,False,False,False
11,0,19,"(('Seagulls',), 'All birds')",Birds,General,True,False,"('Seagulls',)",All birds,8,False,False,False
12,0,2,"(('Parrots',), 'All birds')",Birds,General,True,False,"('Parrots',)",All birds,5,False,False,False
13,0,20,"(('Roosters',), 'All birds')",Birds,General,True,False,"('Roosters',)",All birds,5,False,False,False
14,0,21,"(('Swallows',), 'All birds')",Birds,General,True,False,"('Swallows',)",All birds,7,False,False,False
15,0,22,"(('Turkeys',), 'All birds')",Birds,General,True,False,"('Turkeys',)",All birds,9,False,False,False
16,0,23,"(('Woodpeckers',), 'All birds')",Birds,General,True,False,"('Woodpeckers',)",All birds,14,False,False,False
17,0,24,"(('All plants and animals',), 'All birds')",Birds,General,True,True,"('All plants and animals',)",All birds,100,False,False,False
18,0,25,"(('Doves',), 'All birds')",Birds,General,True,False,"('Doves',)",All birds,6,False,False,False
19,0,26,"(('Sparrows',), 'All birds')",Birds,General,True,False,"('Sparrows',)",All birds,8,False,False,False
20,0,27,"(('Herons', 'Peacocks'), 'All birds')",Birds,General,False,False,"('Herons', 'Peacocks')",All birds,31,False,False,False
21,0,28,"(('Canaries', 'Blackbirds'), 'All birds')",Birds,General,False,False,"('Canaries', 'Blackbirds')",All birds,53,False,False,False
22,0,29,"(('Swans', 'Magpies'), 'All birds')",Birds,General,False,False,"('Swans', 'Magpies')",All birds,60,False,False,False
23,0,3,"(('Pelicans',), 'All birds')",Birds,General,True,False,"('Pelicans',)",All birds,6,False,False,False
24,0,30,"(('Chickens', 'Ducks'), 'All birds')",Birds,General,False,False,"('Chickens', 'Ducks')",All birds,60,False,False,False
25,0,31,"(('Sparrows', 'Robins'), 'All birds')",Birds,General,False,False,"('Sparrows', 'Robins')",All birds,35,False,False,False
26,0,32,"(('All animals', 'All organisms'), 'All birds')",Birds,General,False,True,"('All animals', 'All organisms')",All birds,100,False,False,False
27,0,33,"(('Herons', 'Woodpeckers'), 'All birds')",Birds,General,False,False,"('Herons', 'Woodpeckers')",All birds,46,False,False,False
28,0,34,"(('Ostriches', 'Parrots'), 'All birds')",Birds,General,False,False,"('Ostriches', 'Parrots')",All birds,76,False,False,False
29,0,35,"(('Blackbirds', 'Doves'), 'All birds')",Birds,General,False,False,"('Blackbirds', 'Doves')",All birds,44,False,False,False
30,0,36,"(('Sparrows', 'Turkeys'), 'All birds')",Birds,General,False,False,"('Sparrows', 'Turkeys')",All birds,53,False,False,False
31,0,37,"(('Parrots', 'Chickens'), 'All birds')",Birds,General,False,False,"('Parrots', 'Chickens')",All birds,62,False,False,False
32,0,4,"(('Canaries',), 'All birds')",Birds,General,True,False,"('Canaries',)",All birds,6,False,False,False
33,0,5,"(('Robins',), 'All birds')",Birds,General,True,False,"('Robins',)",All birds,7,False,False,False
34,0,6,"(('Chickens',), 'All birds')",Birds,General,True,False,"('Chickens',)",All birds,8,False,False,False
35,0,7,"(('Ostriches',), 'All birds')",Birds,General,True,False,"('Ostriches',)",All birds,1,False,False,False
36,0,8,"(('All animals',), 'All birds')",Birds,General,True,True,"('All animals',)",All birds,100,False,False,False
37,0,9,"(('Ducks',), 'All birds')",Birds,General,True,False,"('Ducks',)",All birds,2,False,False,False
38,1,0,"(('Storks',), 'All birds')",Birds,General,True,False,"('Storks',)",All birds,79,False,True,True
39,1,1,"(('Crows',), 'All birds')",Birds,General,True,False,"('Crows',)",All birds,89,False,True,True
40,1,10,"(('Doves',), 'All birds')",Birds,General,True,False,"('Doves',)",All birds,94,False,True,True
41,1,11,"(('Magpies',), 'All birds')",Birds,General,True,False,"('Magpies',)",All birds,99,False,True,True
42,1,12,"(('Swans',), 'All birds')",Birds,General,True,False,"('Swans',)",All birds,98,False,True,True
43,1,13,"(('Falcons',), 'All birds')",Birds,General,True,False,"('Falcons',)",All birds,94,False,True,True
44,1,14,"(('Pelicans',), 'All birds')",Birds,General,True,False,"('Pelicans',)",All birds,100,False,True,True
45,1,15,"(('Sparrows',), 'All birds')",Birds,General,True,False,"('Sparrows',)",All birds,100,False,True,True
46,1,16,"(('All living things',), 'All birds')",Birds,General,True,True,"('All living things',)",All birds,100,False,True,True
47,1,17,"(('Herons',), 'All birds')",Birds,General,True,False,"('Herons',)",All birds,97,False,True,True
48,1,18,"(('Robins',), 'All birds')",Birds,General,True,False,"('Robins',)",All birds,97,False,True,True
49,1,19,"(('Ducks',), 'All birds')",Birds,General,True,False,"('Ducks',)",All birds,99,False,True,True
50,1,2,"(('Seagulls',), 'All birds')",Birds,General,True,False,"('Seagulls',)",All birds,93,False,True,True
51,1,20,"(('Blackbirds',), 'All birds')",Birds,General,True,False,"('Blackbirds',)",All birds,100,False,True,True
52,1,21,"(('Peacocks',), 'All birds')",Birds,General,True,False,"('Peacocks',)",All birds,100,False,True,True
53,1,22,"(('Woodpeckers',), 'All birds')",Birds,General,True,False,"('Woodpeckers',)",All birds,100,False,True,True
54,1,23,"(('Chickens',), 'All birds')",Birds,General,True,False,"('Chickens',)",All birds,100,False,True,True
55,1,24,"(('All plants and animals',), 'All birds')",Birds,General,True,True,"('All plants and animals',)",All birds,100,False,True,True
56,1,25,"(('Ostriches',), 'All birds')",Birds,General,True,False,"('Ostriches',)",All birds,100,False,True,True
57,1,26,"(('Turkeys',), 'All birds')",Birds,General,True,False,"('Turkeys',)",All birds,100,False,True,True
58,1,27,"(('Parrots', 'Chickens'), 'All birds')",Birds,General,False,False,"('Parrots', 'Chickens')",All birds,100,False,True,True
59,1,28,"(('Herons', 'Peacocks'), 'All birds')",Birds,General,False,False,"('Herons', 'Peacocks')",All birds,92,False,True,True
60,1,29,"(('Ostriches', 'Parrots'), 'All birds')",Birds,General,False,False,"('Ostriches', 'Parrots')",All birds,99,False,True,True
61,1,3,"(('Vultures',), 'All birds')",Birds,General,True,False,"('Vultures',)",All birds,93,False,True,True
62,1,30,"(('Blackbirds', 'Doves'), 'All birds')",Birds,General,False,False,"('Blackbirds', 'Doves')",All birds,100,False,True,True
63,1,31,"(('Sparrows', 'Turkeys'), 'All birds')",Birds,General,False,False,"('Sparrows', 'Turkeys')",All birds,94,False,True,True
64,1,32,"(('All animals', 'All organisms'), 'All birds')",Birds,General,False,True,"('All animals', 'All organisms')",All birds,100,False,True,True
65,1,33,"(('Chickens', 'Ducks'), 'All birds')",Birds,General,False,False,"('Chickens', 'Ducks')",All birds,100,False,True,True
66,1,34,"(('Sparrows', 'Robins'), 'All birds')",Birds,General,False,False,"('Sparrows', 'Robins')",All birds,100,False,True,True
