,pid,tid,domain,conclusion_type,is_osherson,batch_number,premises,conclusion
0,0,0,Birds,General,0.0,0,['Eagles'],All birds
1,0,1,Birds,General,0.0,0,['Crows'],All birds
2,0,2,Birds,General,0.0,0,['Parrots'],All birds
3,0,3,Birds,General,0.0,0,['Pelicans'],All birds
4,0,4,Birds,General,0.0,0,['Canaries'],All birds
5,0,5,Birds,General,0.0,0,['Robins'],All birds
6,0,6,Birds,General,0.0,0,['Chickens'],All birds
7,0,7,Birds,General,0.0,0,['Ostriches'],All birds
8,0,8,Birds,General,0.0,0,['All animals'],All birds
9,0,9,Birds,General,0.0,0,['Ducks'],All birds
10,0,10,Birds,General,0.0,0,['Vultures'],All birds
11,0,11,Birds,General,0.0,0,['Falcons'],All birds
12,0,12,Birds,General,0.0,0,['Herons'],All birds
13,0,13,Birds,General,0.0,0,['Magpies'],All birds
14,0,14,Birds,General,0.0,0,['Blackbirds'],All birds
15,0,15,Birds,General,0.0,0,['Swans'],All birds
16,0,16,Birds,General,0.0,0,['All living things'],All birds
17,0,17,Birds,General,0.0,0,['Peacocks'],All birds
18,0,18,Birds,General,0.0,0,['Storks'],All birds
19,0,19,Birds,General,0.0,0,['Seagulls'],All birds
20,0,20,Birds,General,0.0,0,['Roosters'],All birds
21,0,21,Birds,General,0.0,0,['Swallows'],All birds
22,0,22,Birds,General,0.0,0,['Turkeys'],All birds
23,0,23,Birds,General,0.0,0,['Woodpeckers'],All birds
24,0,24,Birds,General,0.0,0,['All plants and animals'],All birds
25,0,25,Birds,General,0.0,0,['Doves'],All birds
26,0,26,Birds,General,0.0,0,['Sparrows'],All birds
27,0,27,Birds,General,0.0,0,"['Herons', 'Peacocks']",All birds
28,0,28,Birds,General,0.0,0,"['Canaries', 'Blackbirds']",All birds
29,0,29,Birds,General,0.0,0,"['Swans', 'Magpies']",All birds
30,0,30,Birds,General,0.0,0,"['Chickens', 'Ducks']",All birds
31,0,31,Birds,General,0.0,0,"['Sparrows', 'Robins']",All birds
32,0,32,Birds,General,0.0,0,"['All animals', 'All organisms']",All birds
33,0,33,Birds,General,0.0,0,"['Herons', 'Woodpeckers']",All birds
34,0,34,Birds,General,0.0,0,"['Ostriches', 'Parrots']",All birds
35,0,35,Birds,General,0.0,0,"['Blackbirds', 'Doves']",All birds
36,0,36,Birds,General,0.0,0,"['Sparrows', 'Turkeys']",All birds
37,0,37,Birds,General,0.0,0,"['Parrots', 'Chickens']",All birds
38,1,0,Birds,General,0.0,0,['Storks'],All birds
39,1,1,Birds,General,0.0,0,['Crows'],All birds
40,1,2,Birds,General,0.0,0,['Seagulls'],All birds
41,1,3,Birds,General,0.0,0,['Vultures'],All birds
42,1,4,Birds,General,0.0,0,['Swallows'],All birds
43,1,5,Birds,General,0.0,0,['Eagles'],All birds
44,1,6,Birds,General,0.0,0,['Roosters'],All birds
45,1,7,Birds,General,0.0,0,['Parrots'],All birds
46,1,8,Birds,General,0.0,0,['All animals'],All birds
47,1,9,Birds,General,0.0,0,['Canaries'],All birds
48,1,10,Birds,General,0.0,0,['Doves'],All birds
49,1,11,Birds,General,0.0,0,['Magpies'],All birds
50,1,12,Birds,General,0.0,0,['Swans'],All birds
51,1,13,Birds,General,0.0,0,['Falcons'],All birds
52,1,14,Birds,General,0.0,0,['Pelicans'],All birds
53,1,15,Birds,General,0.0,0,['Sparrows'],All birds
54,1,16,Birds,General,0.0,0,['All living things'],All birds
55,1,17,Birds,General,0.0,0,['Herons'],All birds
56,1,18,Birds,General,0.0,0,['Robins'],All birds
57,1,19,Birds,General,0.0,0,['Ducks'],All birds
58,1,20,Birds,General,0.0,0,['Blackbirds'],All birds
59,1,21,Birds,General,0.0,0,['Peacocks'],All birds
60,1,22,Birds,General,0.0,0,['Woodpeckers'],All birds
61,1,23,Birds,General,0.0,0,['Chickens'],All birds
62,1,24,Birds,General,0.0,0,['All plants and animals'],All birds
63,1,25,Birds,General,0.0,0,['Ostriches'],All birds
64,1,26,Birds,General,0.0,0,['Turkeys'],All birds
