,argument,domain,conclusion_type,is_single_premise,premises,conclusion,gpt3_rating,gpt3_text1_rating,gpt3.5_text2_rating,gpt3.5_text3_rating,gpt3.5_chat_rating,gpt4_rating,gpt3_maxsim,gpt4_maxsim,human_maxsim,gpt3_meansim,gpt4_meansim,human_meansim,gpt3_scm,gpt4_scm,human_scm
0,"(('Airplanes', 'Buses'), 'All vehicles')",Vehicles,General,False,"['Airplanes', 'Buses']",All vehicles,0.0,85.65716643454837,74.21110549219983,59.51512731516958,50.0,70.0,,,,,,,9.769913456719577,10.916666666666666,10.77222222222222
1,"(('Airplanes', 'Helicopters'), 'All vehicles')",Vehicles,General,False,"['Airplanes', 'Helicopters']",All vehicles,0.0,41.88927606364636,22.741273038440937,32.10593771008555,50.0,55.0,,,,,,,8.313786029177995,7.666666666666667,8.063888888888888
2,"(('Airplanes', 'Taxis'), 'All vehicles')",Vehicles,General,False,"['Airplanes', 'Taxis']",All vehicles,0.0,78.41625754664983,79.04453936634854,63.641823148882935,,70.0,,,,,,,9.363120614321398,10.583333333333334,10.622222222222222
3,"(('Airplanes', 'Trams'), 'Trains')",Vehicles,Specific,False,"['Airplanes', 'Trams']",Trains,0.0,85.2497313614114,82.56942000016714,98.7967112314948,100.0,85.0,15.046437610066324,15.0,16.533333333333335,11.786166341519015,11.25,12.233333333333334,12.175504790526114,12.260416666666668,13.16388888888889
4,"(('Airplanes', 'Zeppelins'), 'All vehicles')",Vehicles,General,False,"['Airplanes', 'Zeppelins']",All vehicles,0.0,89.90379172114285,17.752669603647657,28.76726877337121,90.0,50.0,,,,,,,7.396476771070109,7.541666666666667,8.252777777777778
5,"(('Airplanes',), 'All vehicles')",Vehicles,General,True,['Airplanes'],All vehicles,0.0,21.62671369670208,13.802572669804826,45.11633817202011,50.0,35.0,,,,,,,6.41251009862104,6.979166666666667,7.747222222222223
6,"(('Airplanes',), 'Bicycles')",Vehicles,Specific,True,['Airplanes'],Bicycles,0.0,93.07914554630132,5.37869459669635,27.713410810349785,0.0,40.0,4.680646616003114,5.0,4.866666666666666,4.680646616003114,5.0,4.866666666666666,5.546578357312077,5.989583333333334,6.3069444444444445
7,"(('Airplanes',), 'Helicopters')",Vehicles,Specific,True,['Airplanes'],Helicopters,0.0,19.141015415394985,93.86967147423032,91.94827544286318,100.0,70.0,15.244298149491335,15.0,14.533333333333333,15.244298149491335,15.0,14.533333333333333,10.828404124056188,10.989583333333334,11.140277777777778
8,"(('Airplanes',), 'Jeeps')",Vehicles,Specific,True,['Airplanes'],Jeeps,0.0,50.02938417158141,33.92572083003421,83.86690391015433,20.0,40.0,5.577519899060599,4.0,6.266666666666667,5.577519899060599,4.0,6.266666666666667,5.995014998840819,5.489583333333334,7.006944444444445
9,"(('Airplanes',), 'Skateboards')",Vehicles,Specific,True,['Airplanes'],Skateboards,0.0,71.6725753636618,0.4430766958268332,33.155393376782115,20.0,30.0,1.1864134228352037,2.5,4.933333333333334,1.1864134228352037,2.5,4.933333333333334,3.7994617607281223,4.739583333333334,6.340277777777779
10,"(('Airplanes',), 'Tractors')",Vehicles,Specific,True,['Airplanes'],Tractors,0.0,98.93185080420214,6.87870705829029,79.6557117100653,20.0,40.0,4.127096238366338,4.0,5.333333333333333,4.127096238366338,4.0,5.333333333333333,5.26980316849369,5.489583333333334,6.540277777777778
11,"(('Airplanes',), 'Trains')",Vehicles,Specific,True,['Airplanes'],Trains,0.0,66.16323088602176,48.26719301221914,89.98915447187201,0.0,60.0,8.525895072971707,7.5,7.933333333333334,8.525895072971707,7.5,7.933333333333334,7.469202585796374,7.239583333333334,7.840277777777779
12,"(('Beavers', 'Camels'), 'Tigers')",Mammals,Specific,False,"['Beavers', 'Camels']",Tigers,0.0,82.19287766363384,47.02657802637063,86.26311749107892,50.0,65.0,9.226875321317355,4.5,7.473684210526316,8.67770056282911,4.5,7.078947368421053,10.20502291314585,6.197916666666666,8.667763157894736
13,"(('Beavers', 'Cats'), 'All mammals')",Mammals,General,False,"['Beavers', 'Cats']",All mammals,0.0,52.01075357190841,75.9937470670296,85.37073800861012,90.0,55.0,,,,,,,11.471479770509037,8.395833333333334,9.31140350877193
14,"(('Beavers', 'Hedgehogs'), 'Elephants')",Mammals,Specific,False,"['Beavers', 'Hedgehogs']",Elephants,0.0,87.63524441224047,37.44185153509258,89.82006728644166,10.0,70.0,8.804543413409364,4.5,5.947368421052632,8.749359042229848,3.75,5.684210526315789,9.619795696312693,5.395833333333334,7.178728070175439
15,"(('Beavers', 'Horses'), 'Tigers')",Mammals,Specific,False,"['Beavers', 'Horses']",Tigers,0.0,73.82747767254985,56.87469181874219,85.19118605233899,50.0,70.0,11.12873505170759,6.0,8.210526315789474,9.628630428024227,5.25,7.447368421052632,12.068267687896693,7.666666666666667,9.455043859649123
16,"(('Beavers', 'Llamas'), 'Dogs')",Mammals,Specific,False,"['Beavers', 'Llamas']",Dogs,0.0,92.13470157014152,59.307731797305934,91.38724951183306,80.0,70.0,12.474763225550852,8.0,8.157894736842104,11.984265900242042,7.75,7.7105263157894735,11.693384521200862,7.916666666666666,9.290570175438596
17,"(('Beavers', 'Mice'), 'All mammals')",Mammals,General,False,"['Beavers', 'Mice']",All mammals,0.0,12.138851255624548,86.2511386642458,84.1803316963786,90.0,55.0,,,,,,,10.587279375614411,7.479166666666667,8.521929824561402
18,"(('Beavers', 'Mice'), 'Giraffes')",Mammals,Specific,False,"['Beavers', 'Mice']",Giraffes,0.0,27.074272334163723,18.390173787019258,83.95233934068519,10.0,60.0,5.444385273267343,3.5,5.631578947368421,4.702867048634816,3.5,5.2368421052631575,8.015832324440877,5.489583333333334,7.076754385964912
19,"(('Beavers', 'Mice'), 'Hamsters')",Mammals,Specific,False,"['Beavers', 'Mice']",Hamsters,0.0,10.947061744260433,66.21592661796598,87.26184882397462,90.0,85.0,15.169643008228723,15.0,13.473684210526315,12.3187947809955,11.25,11.68421052631579,12.878461191921566,11.239583333333334,10.99780701754386
20,"(('Beavers', 'Rabbits'), 'All mammals')",Mammals,General,False,"['Beavers', 'Rabbits']",All mammals,0.0,56.79276754770844,80.59370071318705,78.88865527556236,90.0,40.0,,,,,,,11.000255408730595,7.416666666666667,8.81140350877193
