,domain,conclusion_type,is_single_premise,gpt3_mean_spearmanr,gpt3_text1_mean_spearmanr,gpt3.5_text2_mean_spearmanr,gpt3.5_text3_mean_spearmanr,gpt3.5_chat_mean_spearmanr,gpt4_mean_spearmanr,gpt3_scm_mean_spearmanr,gpt4_scm_mean_spearmanr,human_scm_mean_spearmanr,gpt3_se_spearmanr,gpt3_text1_se_spearmanr,gpt3.5_text2_se_spearmanr,gpt3.5_text3_se_spearmanr,gpt3.5_chat_se_spearmanr,gpt4_se_spearmanr,gpt3_scm_se_spearmanr,gpt4_scm_se_spearmanr,human_scm_se_spearmanr
0,Birds,General,False,,0.021883796877893713,0.055345539589335156,0.2793870780764919,0.09838105126701674,0.23325117558111533,0.007666933241587915,0.2150487413446893,0.17157644493922983,,0.06103241754193984,0.05928732027242711,0.07109785145167154,0.05881866607424816,0.07214457395905045,0.062361310643685934,0.07245055225365891,0.08980306953752398
1,Birds,General,True,,0.38241534880751565,0.3059206045903166,0.10941945922956887,0.032391099122897414,0.36468090126874336,0.24574301113931318,0.6301508960070403,0.1465458148942215,,0.07921166382178436,0.07136626690552414,0.0667824520877642,0.09275163973269669,0.0755089524516585,0.07070275971210468,0.07233039057295783,0.07140704158815268
2,Birds,Specific,False,,0.19724622303891862,0.41190394189948254,0.32790489998030165,0.4721938512663769,0.26548459101789124,0.4749807747592275,0.5082751004433009,0.4730346860569008,,0.05763253802005043,0.053736037233201826,0.06185979638963917,0.059340817664533724,0.05692751534576377,0.06200214627719188,0.06076928330689682,0.0706593091012213
3,Birds,Specific,True,,0.3716587512607479,0.2525226500188374,0.42569211997761236,0.4389935534018109,0.41733805993242107,0.5114740001794122,0.4963358089510231,0.5545557706120251,,0.03160937891779276,0.036503951515973354,0.028531029072191204,0.0337643944522609,0.03397464000226239,0.033763066289028615,0.03893525841929785,0.034468358580071044
4,Mammals,General,False,,0.05440350422719724,0.04110305877609965,0.29389313594919203,-0.05020612666741306,0.1834268534454643,0.24847047402161723,0.279403002242349,0.36904348337070164,,0.07037025011256781,0.052151163608592156,0.07394390618293857,0.058783108930922694,0.07977841274163475,0.0657500816146489,0.0691982876814613,0.08264590495628647
5,Mammals,General,True,,0.6365708651539653,0.5256235637218478,0.3381152047677293,0.16789772628588234,0.010887867063490347,0.685546561996335,0.6940984348047518,0.5928036348620529,,0.05365888027305992,0.05935626366892304,0.06471583670944224,0.07151667635353987,0.0868625730945422,0.05172102743580033,0.06395222421328703,0.06570543650940225
6,Mammals,Specific,False,,0.5202383666523184,0.722953536976461,0.5525048482510135,0.807703096985193,0.7406916605606427,0.748992815577145,0.7853038425203882,0.822755567704068,,0.02614280285413475,0.026188939965760494,0.028888784493456447,0.026353744236630155,0.028029897854528005,0.031780194316482296,0.03000345914452554,0.029072873337202695
7,Mammals,Specific,True,,0.5410827751711244,0.6454157764577853,0.6215271699801056,0.7632546387559528,0.7060853825145079,0.7108372622476213,0.75566642291981,0.8112402814482274,,0.0211253533912687,0.020878207793305216,0.020121438515348727,0.018904670197760418,0.01994463350434638,0.01966338734680086,0.02030256064591188,0.019978077958145272
8,Vehicles,General,False,,0.32213785560907926,0.5090271716877938,0.5308541959871678,0.17595927836266004,0.3954834516118408,0.49739665425925006,0.4336024072733073,0.5312315467505111,,0.05697187773052193,0.06032846946267475,0.059456079690942645,0.057760982209538694,0.05341663049216828,0.05546498194730985,0.057792638401057,0.060813342410999796
9,Vehicles,General,True,,0.854876237599499,0.6931779326916917,0.8357381767734652,0.37963149999662665,0.6407767312576297,0.6722649252677289,0.6803019446224178,0.8820701937458534,,0.017597314101840865,0.02678224244239435,0.022587044660880056,0.027649984150914735,0.020848047987679995,0.02530323888554921,0.02989127764858575,0.019078576320370105
10,Vehicles,Specific,False,,0.6765748380600531,0.6717747157759387,0.7332200782307263,0.7421235175322067,0.7929248542164037,0.7601947922176865,0.7287222642914435,0.7721657234651148,,0.02859570770364628,0.03233298288959837,0.0322056444248148,0.027457537968851583,0.028529797093329107,0.0280304486963743,0.029353022585161172,0.029210046890958328
11,Vehicles,Specific,True,,0.7050163557546528,0.7991419226693607,0.7454856396687104,0.7298058597784797,0.8571122285316337,0.7815908174129839,0.7785434735433028,0.8215536986701163,,0.01921433147093758,0.01733456800625818,0.018679107915742958,0.016102521601634726,0.013805573028990511,0.014121886450498295,0.01575056098842351,0.015179688468220792
