,i,domain,conclusion_type,is_single_premise,statistic,pvalue
0,0,Birds,General,False,-0.03448275863062459,0.733409573390523
1,0,Birds,General,True,0.8078260869565217,1.8140563448392214e-06
2,0,Birds,Specific,False,0.1403827948565584,0.18692933995014213
3,0,Birds,Specific,True,0.30914655050276385,6.959933547481787e-05
4,0,Mammals,General,False,0.21775057383418597,0.029531724152132406
5,0,Mammals,General,True,0.786086956521739,5.287707498429002e-06
6,0,Mammals,Specific,False,0.4969165174814134,1.2074066328568847e-08
7,0,Mammals,Specific,True,0.737328036787875,2.9601786198083935e-30
8,0,Vehicles,General,False,0.24471676203560208,0.014134258728675728
9,0,Vehicles,General,True,0.9739130434782608,1.162956360022737e-15
10,0,Vehicles,Specific,False,0.5916009806962078,9.088393358251703e-11
11,0,Vehicles,Specific,True,0.6437212616096978,6.4377206409670764e-21
12,1,Birds,General,False,-0.1747196726424814,0.08209983227091197
13,1,Birds,General,True,0.7252173913043477,6.08681493185104e-05
14,1,Birds,Specific,False,0.21828498748319783,0.02912514135827043
15,1,Birds,Specific,True,0.353880923759207,2.359036478479113e-06
16,1,Mammals,General,False,0.11765906125226347,0.24367405881092374
17,1,Mammals,General,True,0.6092628976383188,0.0015769850758708204
18,1,Mammals,Specific,False,0.5486387300655502,1.5149672427434452e-10
19,1,Mammals,Specific,True,0.7195563952116875,3.040038558680909e-28
20,1,Vehicles,General,False,0.23875478208794,0.01674606608647102
21,1,Vehicles,General,True,0.9256199222745792,9.390379761347384e-11
22,1,Vehicles,Specific,False,0.6134238700362613,1.1607072325266966e-11
23,1,Vehicles,Specific,True,0.6914315860954376,4.492450330002256e-25
24,2,Birds,General,False,-0.24104190547653292,0.01569856871866946
25,2,Birds,General,True,0.6704347826086956,0.000337205726920973
26,2,Birds,Specific,False,0.3129823445902528,0.0015216169643018536
27,2,Birds,Specific,True,0.4762265580059042,5.97739526196885e-11
28,2,Mammals,General,False,0.08471484181306403,0.4020276183158258
29,2,Mammals,General,True,0.6518808590719771,0.0005578042357797461
30,2,Mammals,Specific,False,0.5605221304886289,4.968119078228968e-11
31,2,Mammals,Specific,True,0.7517515594976631,5.186586160422586e-32
32,2,Vehicles,General,False,0.34708507005547873,0.0004033790321686181
33,2,Vehicles,General,True,0.9139130434782607,4.4344552279659457e-10
34,2,Vehicles,Specific,False,0.5928908405207014,8.081888746365639e-11
35,2,Vehicles,Specific,True,0.6997112868814835,7.044811816761514e-26
36,3,Birds,General,False,0.11110177629220737,0.2711315379507112
37,3,Birds,General,True,0.5540334986375576,0.004968543302556687
38,3,Birds,Specific,False,0.3172524096107928,0.0012992446345671633
39,3,Birds,Specific,True,0.381607539333745,3.069262827250393e-07
40,3,Mammals,General,False,0.04872969722049391,0.6301919987197264
41,3,Mammals,General,True,0.6660869565217391,0.00038058316640382056
42,3,Mammals,Specific,False,0.6730367178907581,9.407844184332509e-17
43,3,Mammals,Specific,True,0.7401737143961942,1.3615142427512903e-30
44,3,Vehicles,General,False,0.48214505404968333,3.789240754561328e-07
45,3,Vehicles,General,True,0.9513043478260867,1.0036019675593056e-12
46,3,Vehicles,Specific,False,0.6202356556537908,5.9087400210854834e-12
47,3,Vehicles,Specific,True,0.7336512051107889,1.733305485753566e-29
48,4,Birds,General,False,-0.08216214598033574,0.416409060144891
49,4,Birds,General,True,0.7391304347826086,3.693134602421657e-05
50,4,Birds,Specific,False,0.11521865679462844,0.253658978400262
51,4,Birds,Specific,True,0.295036908677559,9.858174849547865e-05
52,4,Mammals,General,False,0.5317828713076445,1.2464158874388848e-08
53,4,Mammals,General,True,0.7997390926173222,2.7416315912957484e-06
54,4,Mammals,Specific,False,0.562180247316984,4.237379270755552e-11
55,4,Mammals,Specific,True,0.7526358808496971,4.0111888732735274e-32
56,4,Vehicles,General,False,0.4231825178626606,1.151566461318069e-05
57,4,Vehicles,General,True,0.9199652892907589,2.0468326298662688e-10
58,4,Vehicles,Specific,False,0.6163729214742927,8.682407704009646e-12
59,4,Vehicles,Specific,True,0.738813507791642,4.376976475832065e-30
60,5,Birds,General,False,0.07266306208923726,0.4724825936029078
61,5,Birds,General,True,0.801043724089781,2.5681630646667256e-06
62,5,Birds,Specific,False,0.2505521282561509,0.011928196749841049
63,5,Birds,Specific,True,0.5028582865447995,3.235552530685347e-12
64,5,Mammals,General,False,0.12612071966105357,0.21117164888459694
65,5,Mammals,General,True,0.6703655987199705,0.00033786081209721363
66,5,Mammals,Specific,False,0.564826662857373,3.2811421930989266e-11
67,5,Mammals,Specific,True,0.6864151412632207,7.041918978666518e-25
68,5,Vehicles,General,False,0.37352600534378544,0.00012928698102596331
69,5,Vehicles,General,True,0.9623831495172017,6.177948876961003e-14
70,5,Vehicles,Specific,False,0.5962273004367379,5.634970123212319e-10
71,5,Vehicles,Specific,True,0.6825675996084409,1.3639619840069904e-22
72,6,Birds,General,False,-0.09506535124726041,0.3467897127110532
73,6,Birds,General,True,0.7409181477668741,3.4557515527364106e-05
74,6,Birds,Specific,False,0.168574489107627,0.09362618707750603
75,6,Birds,Specific,True,0.35340494266221073,2.439080039403232e-06
76,6,Mammals,General,False,0.18281160457285991,0.06868194047279103
77,6,Mammals,General,True,0.7427701849866157,3.224098454605799e-05
78,6,Mammals,Specific,False,0.49064736881332793,1.9565177556268745e-08
79,6,Mammals,Specific,True,0.6376582337489914,1.1368406261757913e-20
80,6,Vehicles,General,False,0.49556969849237614,1.5864857750484626e-07
81,6,Vehicles,General,True,0.9495432796868203,1.4712861454095486e-12
82,6,Vehicles,Specific,False,0.6771211513985372,1.0379138297450206e-14
83,6,Vehicles,Specific,True,0.7074566391619139,1.1744275167430579e-26
84,7,Birds,General,False,-0.18046033227297908,0.07238381222758476
85,7,Birds,General,True,0.6191304347826087,0.0012562023298653803
86,7,Birds,Specific,False,0.049161488169208074,0.6271600761292959
87,7,Birds,Specific,True,0.21403357415838767,0.005202156839259315
88,7,Mammals,General,False,-0.08432375667601495,0.40421169257469414
89,7,Mammals,General,True,0.8353990195311994,3.785809365188735e-07
90,7,Mammals,Specific,False,0.6077855416721305,3.685497343878079e-13
91,7,Mammals,Specific,True,0.711005653105306,2.4907840795843556e-27
92,7,Vehicles,General,False,0.5935380716656483,7.618154917356679e-11
93,7,Vehicles,General,True,0.9365217391304346,1.7293996317560982e-11
94,7,Vehicles,Specific,False,0.6734926564382147,1.622265266169273e-14
95,7,Vehicles,Specific,True,0.7713120694154829,3.3532707518740384e-34
96,8,Birds,General,False,0.18127998722111507,0.07107549246604723
97,8,Birds,General,True,0.6782608695652173,0.00026985712492208177
98,8,Birds,Specific,False,0.032546598017202714,0.7478623914120632
99,8,Birds,Specific,True,0.3791020340171403,3.719641163634091e-07
100,8,Mammals,General,False,0.08811642038348196,0.3833266642604798
101,8,Mammals,General,True,0.64,0.0007568767697969986
102,8,Mammals,Specific,False,0.5319028564913522,6.776037997139883e-10
103,8,Mammals,Specific,True,0.7359777329425627,4.26424077301076e-30
104,8,Vehicles,General,False,0.3758554990490537,0.00011639684349170133
105,8,Vehicles,General,True,0.957164623627366,2.5170753799961995e-13
106,8,Vehicles,Specific,False,0.6451904238265926,4.3052741211192366e-13
107,8,Vehicles,Specific,True,0.6832500428511287,2.638868148174937e-24
108,9,Birds,General,False,-0.41810315083052135,1.50151314018196e-05
109,9,Birds,General,True,0.8397477911060626,2.8810159428248004e-07
110,9,Birds,Specific,False,0.3380350997227763,0.00058237918210245
111,9,Birds,Specific,True,0.41238967206217697,2.5295411446200044e-08
112,9,Mammals,General,False,0.25154377479644235,0.011584833076891876
113,9,Mammals,General,True,0.5449010783303451,0.005897904424571895
114,9,Mammals,Specific,False,0.5660637146629244,2.909157272083989e-11
115,9,Mammals,Specific,True,0.7169652646870452,5.797501546173786e-28
116,9,Vehicles,General,False,0.4255375997847565,1.0167707711678372e-05
117,9,Vehicles,General,True,0.9428136774303179,5.6505449636301326e-12
118,9,Vehicles,Specific,False,0.6471790164510945,3.4580058154990067e-13
119,9,Vehicles,Specific,True,0.6732517392474918,2.1265802126074605e-23
120,10,Birds,General,False,-0.11855110226908218,0.24009305603136757
121,10,Birds,General,True,0.8808695652173912,1.3489304583089985e-08
122,10,Birds,Specific,False,0.07041932339712467,0.4863006036919061
123,10,Birds,Specific,True,0.4291808359578098,5.807302756935404e-09
124,10,Mammals,General,False,0.2245220063132374,0.024720276256014678
125,10,Mammals,General,True,0.7266797301596222,5.783498119749316e-05
126,10,Mammals,Specific,False,0.7039687523269514,8.518158784580412e-19
127,10,Mammals,Specific,True,0.7798983374486711,8.190308499786497e-36
128,10,Vehicles,General,False,0.3071217463069861,0.0018830394071823722
129,10,Vehicles,General,True,0.9478260869565217,2.1090191915644208e-12
130,10,Vehicles,Specific,False,0.6976746282545245,7.298319162690206e-16
131,10,Vehicles,Specific,True,0.7636518821255289,3.588547569110026e-33
132,11,Birds,General,False,0.06196270236765094,0.5402561551707492
133,11,Birds,General,True,0.7817391304347826,6.454527225791052e-06
134,11,Birds,Specific,False,0.07998463697873437,0.4289096442164355
135,11,Birds,Specific,True,0.2829159896410713,0.00019373488102878995
136,11,Mammals,General,False,0.03027120466933887,0.7649593272003579
137,11,Mammals,General,True,0.6834782608695652,0.0002317539656819687
138,11,Mammals,Specific,False,0.6538405339921063,1.3246549569563368e-15
139,11,Mammals,Specific,True,0.6993425052277862,3.891066771717685e-26
140,11,Vehicles,General,False,0.5352366668238129,9.624982043604212e-09
141,11,Vehicles,General,True,0.9504347826086955,1.2143629807472531e-12
142,11,Vehicles,Specific,False,0.645909470104909,3.978025789477609e-13
143,11,Vehicles,Specific,True,0.676170409049798,1.1663037218596546e-23
144,12,Birds,General,False,-0.07514117856677181,0.45747199342174394
145,12,Birds,General,True,0.82,9.3825997008208e-07
146,12,Birds,Specific,False,0.1758653286379903,0.08008189465851491
147,12,Birds,Specific,True,0.4167760117509442,1.7356405341292514e-08
148,12,Mammals,General,False,0.023166637167144285,0.8190364573228951
149,12,Mammals,General,True,0.7721739130434783,9.856877742382156e-06
150,12,Mammals,Specific,False,0.42109867794373035,2.2704827756259455e-06
151,12,Mammals,Specific,True,0.670984079153495,1.8447426561452254e-23
152,12,Vehicles,General,False,0.5854531603031359,1.578999185638095e-10
153,12,Vehicles,General,True,0.957391304347826,2.3768842141270254e-13
154,12,Vehicles,Specific,False,0.5932472411082373,7.82327209197986e-11
155,12,Vehicles,Specific,True,0.6793294881155036,6.040293728008683e-24
156,13,Birds,General,False,0.0008251666840415764,0.9934989698796501
157,13,Birds,General,True,0.7956521739130433,3.3544542131570806e-06
158,13,Birds,Specific,False,0.1813064482251628,0.07103357603646085
159,13,Birds,Specific,True,0.5675679371742909,8.535101112434008e-16
160,13,Mammals,General,False,0.20822322662413612,0.048906066280129126
161,13,Mammals,General,True,0.7571211311836639,1.845471722655517e-05
162,13,Mammals,Specific,False,0.6175418220139278,1.2075937275241669e-13
163,13,Mammals,Specific,True,0.7631663512368805,1.725849586612881e-33
164,13,Vehicles,General,False,0.3308037616739616,0.0007748810232799227
165,13,Vehicles,General,True,0.9304347826086956,4.6011084183702904e-11
166,13,Vehicles,Specific,False,0.7456574904669133,5.633759974426368e-19
167,13,Vehicles,Specific,True,0.7397324249701551,3.41426626538508e-30
168,14,Birds,General,False,0.18451691558734387,0.0660941248833153
169,14,Birds,General,True,0.8026086956521737,2.3730018550983816e-06
170,14,Birds,Specific,False,0.3670841639490152,0.00017215136781079273
171,14,Birds,Specific,True,0.37649046417521087,4.536927749615553e-07
172,14,Mammals,General,False,0.12162340616686841,0.22803975759267267
173,14,Mammals,General,True,0.7365217391304346,4.065277793032387e-05
174,14,Mammals,Specific,False,0.5562909441296694,7.426602649947881e-11
175,14,Mammals,Specific,True,0.7634605164726147,1.576952028574031e-33
176,14,Vehicles,General,False,0.4655627132192328,1.0565652363692493e-06
177,14,Vehicles,General,True,0.9443478260869566,4.219969370901299e-12
178,14,Vehicles,Specific,False,0.6534630294274127,1.711628244639323e-13
179,14,Vehicles,Specific,True,0.7201017516670769,5.539814042891756e-28
180,15,Birds,General,False,0.09376406553703477,0.3534602209876848
181,15,Birds,General,True,0.8680148063426727,3.912740864696311e-08
182,15,Birds,Specific,False,0.3369399862118131,0.0006083899125797085
183,15,Birds,Specific,True,0.37680698197325757,4.429423782186784e-07
184,15,Mammals,General,False,0.2035670135409884,0.042214452418724825
185,15,Mammals,General,True,0.7210263271123002,7.034880457619943e-05
186,15,Mammals,Specific,False,0.5386706281420771,3.734065683857993e-10
187,15,Mammals,Specific,True,0.6395462885618642,8.06831350495062e-21
