,domain,argtype,premises,conclusion,scm
0,Mammals,Specific,"('Camels', 'Beavers')",Donkeys,9.930921052631579
1,Mammals,Specific,"('Giraffes', 'Tigers')",Mice,7.594298245614035
2,Mammals,Specific,"('Deer', 'Zebras')",Lions,9.702850877192983
3,Mammals,Specific,"('Camels', 'Beavers')",Elephants,9.273026315789473
4,Mammals,Specific,"('Hippos', 'Giraffes')",Mice,7.245614035087719
5,Mammals,Specific,"('Tigers', 'Llamas')",Cats,12.425438596491228
6,Mammals,Specific,"('Sheep', 'Dogs')",Rabbits,9.408991228070175
7,Mammals,Specific,"('Wolves', 'Hippos')",Beavers,8.634868421052632
8,Mammals,Specific,"('Beavers', 'Camels')",Tigers,8.667763157894736
9,Mammals,Specific,"('Squirrels', 'Mice')",Rabbits,9.603070175438596
10,Mammals,Specific,"('Cats', 'Foxes')",Cows,8.398026315789474
11,Mammals,Specific,"('Wolves', 'Cats')",Squirrels,9.231359649122808
12,Mammals,Specific,"('Camels', 'Wolves')",Llamas,11.462719298245613
13,Mammals,Specific,"('Tigers', 'Lions')",Squirrels,7.8826754385964914
14,Mammals,Specific,"('Camels', 'Horses')",Cats,8.448464912280702
15,Mammals,Specific,"('Beavers', 'Mice')",Hamsters,10.99780701754386
16,Mammals,Specific,"('Beavers', 'Horses')",Tigers,9.455043859649123
17,Mammals,Specific,"('Hedgehogs', 'Wolves')",Elephants,8.44078947368421
18,Mammals,Specific,"('Beavers', 'Llamas')",Dogs,9.290570175438596
19,Mammals,Specific,"('Lions', 'Mice')",Dogs,9.76206140350877
20,Mammals,Specific,"('Camels', 'Giraffes')",Cats,7.8826754385964914
21,Mammals,Specific,"('Deer', 'Rabbits')",Foxes,9.610745614035087
22,Mammals,Specific,"('Hippos', 'Hedgehogs')",Zebras,10.06688596491228
23,Mammals,Specific,"('Cows', 'Giraffes')",Llamas,10.138157894736842
24,Mammals,Specific,"('Cats', 'Mice')",Wolves,9.839912280701753
25,Mammals,Specific,"('Sheep', 'Elephants')",Hedgehogs,8.031798245614036
26,Mammals,Specific,"('Zebras', 'Mice')",Cats,9.145833333333332
27,Mammals,Specific,"('Donkeys', 'Hamsters')",Zebras,11.720394736842106
28,Mammals,Specific,"('Horses', 'Lions')",Hedgehogs,8.208333333333334
29,Mammals,Specific,"('Sheep', 'Giraffes')",Elephants,9.712719298245615
30,Mammals,Specific,"('Deer', 'Rabbits')",Rhinos,9.216008771929824
31,Mammals,Specific,"('Cows', 'Beavers')",Donkeys,10.588815789473683
32,Mammals,Specific,"('Squirrels', 'Llamas')",Zebras,10.696271929824562
33,Mammals,Specific,"('Hippos', 'Donkeys')",Giraffes,9.509868421052632
34,Mammals,Specific,"('Tigers', 'Hippos')",Horses,9.640350877192983
35,Mammals,Specific,"('Hedgehogs', 'Mice')",Elephants,6.927631578947368
36,Mammals,Specific,"('Sheep', 'Hippos')",Deer,9.083333333333334
37,Mammals,Specific,"('Sheep', 'Zebras')",Beavers,8.468201754385966
38,Mammals,Specific,"('Tigers', 'Deer')",Squirrels,8.639254385964913
39,Mammals,Specific,"('Foxes', 'Deer')",Hippos,8.930921052631579
40,Mammals,Specific,"('Beavers', 'Horses')",Hedgehogs,9.323464912280702
41,Mammals,Specific,"('Foxes', 'Beavers')",Hamsters,9.710526315789474
42,Mammals,Specific,"('Hippos', 'Cows')",Zebras,10.030701754385966
43,Mammals,Specific,"('Hedgehogs', 'Cats')",Squirrels,9.662280701754387
44,Mammals,Specific,"('Cats', 'Hippos')",Cows,10.56030701754386
45,Mammals,Specific,"('Horses', 'Donkeys')",Rabbits,8.355263157894736
46,Mammals,Specific,"('Cats', 'Beavers')",Cows,7.9451754385964914
47,Mammals,Specific,"('Cows', 'Sheep')",Mice,8.485745614035089
48,Mammals,Specific,"('Beavers', 'Zebras')",Elephants,9.684210526315791
49,Mammals,Specific,"('Cows', 'Donkeys')",Hippos,10.11732456140351
50,Mammals,Specific,"('Hippos', 'Horses')",Cows,10.707236842105264
51,Mammals,Specific,"('Wolves', 'Deer')",Beavers,8.768640350877194
52,Mammals,Specific,"('Llamas', 'Beavers')",Hamsters,10.158991228070175
53,Mammals,Specific,"('Donkeys', 'Hippos')",Cats,8.404605263157894
54,Mammals,Specific,"('Hamsters', 'Giraffes')",Foxes,8.744517543859649
55,Mammals,Specific,"('Foxes', 'Llamas')",Tigers,10.24780701754386
56,Mammals,Specific,"('Wolves', 'Deer')",Horses,10.216008771929825
57,Mammals,Specific,"('Hippos', 'Tigers')",Rhinos,11.798245614035089
58,Mammals,Specific,"('Giraffes', 'Cats')",Rabbits,9.87938596491228
59,Mammals,Specific,"('Llamas', 'Lions')",Cats,11.18969298245614
60,Mammals,Specific,"('Lions', 'Hedgehogs')",Rhinos,9.400219298245613
61,Mammals,Specific,"('Cows', 'Hamsters')",Tigers,9.110745614035087
62,Mammals,Specific,"('Cats', 'Sheep')",Llamas,10.339912280701753
63,Mammals,Specific,"('Tigers', 'Elephants')",Horses,9.37061403508772
65,Mammals,Specific,"('Hamsters', 'Camels')",Hedgehogs,9.986842105263158
66,Mammals,Specific,"('Lions', 'Cows')",Rhinos,9.80043859649123
67,Mammals,Specific,"('Lions', 'Tigers')",Donkeys,8.75109649122807
68,Mammals,Specific,"('Donkeys', 'Lions')",Beavers,8.854166666666666
69,Mammals,Specific,"('Sheep', 'Hedgehogs')",Deer,8.767543859649123
70,Mammals,Specific,"('Donkeys', 'Hedgehogs')",Hamsters,9.930921052631579
71,Mammals,Specific,"('Horses', 'Squirrels')",Dogs,9.966008771929825
72,Mammals,Specific,"('Hippos', 'Mice')",Camels,9.87061403508772
73,Mammals,Specific,"('Foxes', 'Elephants')",Beavers,9.216008771929825
74,Mammals,Specific,"('Cows', 'Elephants')",Lions,8.81140350877193
75,Mammals,Specific,"('Wolves', 'Hamsters')",Deer,9.405701754385966
76,Mammals,Specific,"('Lions', 'Cows')",Hippos,10.30043859649123
77,Mammals,Specific,"('Sheep', 'Wolves')",Horses,9.032894736842106
78,Mammals,Specific,"('Llamas', 'Zebras')",Giraffes,10.487938596491228
79,Mammals,Specific,"('Camels', 'Zebras')",Dogs,8.671052631578947
80,Mammals,Specific,"('Hamsters', 'Hippos')",Cows,10.494517543859649
82,Mammals,Specific,"('Hedgehogs', 'Sheep')",Elephants,7.899122807017543
83,Mammals,Specific,"('Elephants', 'Llamas')",Squirrels,8.349780701754387
84,Mammals,Specific,"('Camels', 'Squirrels')",Cats,9.395833333333332
85,Mammals,Specific,"('Zebras', 'Sheep')",Mice,8.705043859649123
86,Mammals,Specific,"('Squirrels', 'Tigers')",Elephants,9.55811403508772
87,Mammals,Specific,"('Zebras', 'Beavers')",Donkeys,11.526315789473685
88,Mammals,Specific,"('Deer', 'Wolves')",Hedgehogs,8.110745614035087
89,Mammals,Specific,"('Giraffes', 'Wolves')",Camels,10.082236842105264
90,Mammals,Specific,"('Horses', 'Wolves')",Squirrels,9.12171052631579
91,Mammals,Specific,"('Foxes', 'Hedgehogs')",Hamsters,9.588815789473685
92,Mammals,Specific,"('Foxes', 'Squirrels')",Hippos,8.242324561403509
93,Mammals,Specific,"('Llamas', 'Cows')",Elephants,9.786184210526315
94,Mammals,Specific,"('Beavers', 'Horses')",Hamsters,10.297149122807017
95,Mammals,Specific,"('Hamsters', 'Cats')",Rabbits,11.332236842105264
96,Mammals,Specific,"('Hedgehogs', 'Sheep')",Horses,8.767543859649123
97,Mammals,Specific,"('Foxes', 'Squirrels')",Wolves,11.847587719298247
98,Mammals,Specific,"('Zebras', 'Sheep')",Llamas,10.468201754385966
99,Mammals,Specific,"('Camels', 'Mice')",Cats,8.81359649122807
100,Mammals,Specific,"('Hamsters', 'Donkeys')",Llamas,11.115131578947368
101,Mammals,Specific,"('Elephants', 'Hippos')",Camels,9.343201754385966
102,Mammals,Specific,"('Camels', 'Mice')",Beavers,8.81359649122807
103,Mammals,Specific,"('Rabbits', 'Beavers')",Mice,8.616228070175438
104,Mammals,Specific,"('Zebras', 'Mice')",Hamsters,12.014254385964911
105,Mammals,Specific,"('Wolves', 'Sheep')",Cats,10.006578947368421
106,Mammals,Specific,"('Deer', 'Llamas')",Tigers,9.873903508771932
107,Mammals,Specific,"('Wolves', 'Squirrels')",Deer,9.264254385964911
108,Mammals,Specific,"('Donkeys', 'Dogs')",Rabbits,9.876096491228068
109,Mammals,Specific,"('Dogs', 'Rabbits')",Camels,8.62609649122807
110,Mammals,Specific,"('Elephants', 'Hamsters')",Zebras,9.561403508771932
111,Mammals,Specific,"('Rabbits', 'Sheep')",Hedgehogs,9.30263157894737
112,Mammals,Specific,"('Rhinos', 'Beavers')",Cows,9.667763157894736
113,Mammals,Specific,"('Squirrels', 'Lions')",Rabbits,10.644736842105264
114,Mammals,Specific,"('Llamas', 'Tigers')",Rabbits,8.951754385964911
115,Mammals,Specific,"('Sheep', 'Beavers')",Hedgehogs,8.582236842105264
116,Mammals,Specific,"('Squirrels', 'Rabbits')",Llamas,8.016447368421053
117,Mammals,Specific,"('Mice', 'Wolves')",Rabbits,9.197368421052632
118,Mammals,Specific,"('Horses', 'Giraffes')",Rabbits,8.290570175438596
119,Mammals,Specific,"('Squirrels', 'Cows')",Donkeys,10.721491228070175
120,Mammals,Specific,"('Dogs', 'Hedgehogs')",Rabbits,9.444078947368421
121,Mammals,Specific,"('Rhinos', 'Zebras')",Giraffes,10.3125
122,Mammals,Specific,"('Giraffes', 'Dogs')",Foxes,11.354166666666668
123,Mammals,Specific,"('Llamas', 'Hamsters')",Giraffes,10.966008771929825
124,Mammals,Specific,"('Lions', 'Tigers')",Dogs,9.43530701754386
125,Mammals,Specific,"('Elephants', 'Dogs')",Mice,8.419956140350877
126,Mammals,Specific,"('Wolves', 'Cows')",Camels,9.240131578947368
127,Mammals,Specific,"('Elephants', 'Cows')",Tigers,8.969298245614034
128,Mammals,Specific,"('Dogs', 'Cows')",Cats,11.150219298245613
129,Mammals,Specific,"('Tigers', 'Wolves')",Elephants,9.286184210526315
130,Mammals,Specific,"('Mice', 'Hamsters')",Rabbits,10.518640350877194
131,Mammals,Specific,"('Squirrels', 'Rabbits')",Horses,7.490131578947369
132,Mammals,Specific,"('Beavers', 'Camels')",Dogs,8.5625
133,Mammals,Specific,"('Wolves', 'Beavers')",Dogs,11.67763157894737
134,Mammals,Specific,"('Rabbits', 'Zebras')",Foxes,9.361842105263158
135,Mammals,Specific,"('Rabbits', 'Camels')",Tigers,8.87938596491228
136,Mammals,Specific,"('Donkeys', 'Mice')",Hippos,8.957236842105264
137,Mammals,Specific,"('Mice', 'Wolves')",Elephants,8.486842105263158
138,Mammals,Specific,"('Deer', 'Cats')",Lions,11.239035087719298
139,Mammals,Specific,"('Deer', 'Mice')",Giraffes,9.648026315789473
140,Mammals,Specific,"('Hamsters', 'Cats')",Mice,11.621710526315788
141,Mammals,Specific,"('Hippos', 'Mice')",Llamas,9.081140350877194
142,Mammals,Specific,"('Rhinos', 'Cows')",Beavers,8.151315789473685
143,Mammals,Specific,"('Lions', 'Mice')",Zebras,9.867324561403507
144,Mammals,Specific,"('Horses', 'Cats')",Elephants,10.078947368421053
145,Mammals,Specific,"('Beavers', 'Hippos')",Cats,9.267543859649123
146,Mammals,Specific,"('Rhinos', 'Giraffes')",Foxes,8.149122807017543
147,Mammals,Specific,"('Sheep', 'Giraffes')",Beavers,8.18640350877193
148,Mammals,Specific,"('Cows', 'Elephants')",Sheep,9.206140350877192
149,Mammals,Specific,"('Llamas', 'Sheep')",Dogs,9.255482456140351
150,Mammals,Specific,"('Elephants', 'Cows')",Dogs,8.364035087719298
151,Mammals,Specific,"('Zebras', 'Horses')",Rhinos,9.788377192982455
152,Mammals,Specific,"('Zebras', 'Rhinos')",Mice,7.496710526315789
153,Mammals,Specific,"('Lions', 'Beavers')",Wolves,10.794956140350877
154,Mammals,Specific,"('Tigers', 'Foxes')",Giraffes,9.661184210526315
155,Mammals,Specific,"('Lions', 'Hippos')",Rhinos,11.731359649122808
156,Mammals,Specific,"('Hippos', 'Wolves')",Dogs,11.871710526315791
157,Mammals,Specific,"('Llamas', 'Sheep')",Squirrels,8.466008771929825
158,Mammals,Specific,"('Donkeys', 'Deer')",Squirrels,8.445175438596491
159,Mammals,Specific,"('Hamsters', 'Elephants')",Mice,11.850877192982455
160,Mammals,Specific,"('Dogs', 'Foxes')",Lions,9.486842105263158
161,Mammals,Specific,"('Rabbits', 'Elephants')",Dogs,9.642543859649123
162,Mammals,Specific,"('Camels', 'Rabbits')",Mice,9.353070175438596
163,Mammals,Specific,"('Tigers', 'Hedgehogs')",Elephants,9.445175438596491
164,Mammals,Specific,"('Hedgehogs', 'Camels')",Wolves,8.426535087719298
165,Mammals,Specific,"('Elephants', 'Cats')",Rhinos,10.724780701754387
166,Mammals,Specific,"('Camels', 'Squirrels')",Foxes,9.31688596491228
167,Mammals,Specific,"('Llamas', 'Rabbits')",Giraffes,10.848684210526315
168,Mammals,Specific,"('Deer', 'Hedgehogs')",Elephants,8.94188596491228
169,Mammals,Specific,"('Wolves', 'Horses')",Llamas,11.4375
170,Mammals,Specific,"('Squirrels', 'Rabbits')",Tigers,7.542763157894738
171,Mammals,Specific,"('Camels', 'Deer')",Beavers,8.524122807017545
172,Mammals,Specific,"('Tigers', 'Elephants')",Beavers,8.291666666666666
173,Mammals,Specific,"('Zebras', 'Llamas')",Deer,10.356359649122806
174,Mammals,Specific,"('Horses', 'Cats')",Hippos,10.263157894736842
175,Mammals,Specific,"('Tigers', 'Mice')",Sheep,8.81030701754386
176,Mammals,Specific,"('Lions', 'Hamsters')",Llamas,9.891447368421051
177,Mammals,Specific,"('Llamas', 'Lions')",Horses,11.216008771929825
178,Mammals,Specific,"('Rhinos', 'Elephants')",Giraffes,9.330043859649123
179,Mammals,Specific,"('Mice', 'Cats')",Horses,8.208333333333332
180,Mammals,Specific,"('Rhinos', 'Elephants')",Wolves,7.9089912280701755
181,Mammals,Specific,"('Horses', 'Zebras')",Dogs,9.393640350877194
182,Mammals,Specific,"('Camels', 'Squirrels')",Tigers,8.81688596491228
183,Mammals,Specific,"('Foxes', 'Giraffes')",Elephants,10.007675438596491
184,Mammals,Specific,"('Deer', 'Squirrels')",Giraffes,9.733552631578949
185,Mammals,Specific,"('Tigers', 'Cats')",Lions,12.225877192982455
186,Mammals,Specific,"('Horses', 'Camels')",Tigers,9.053728070175438
187,Mammals,Specific,"('Horses', 'Dogs')",Deer,10.61732456140351
188,Mammals,Specific,"('Horses', 'Cows')",Hippos,10.224780701754387
189,Mammals,Specific,"('Horses', 'Rabbits')",Cats,10.141447368421055
190,Mammals,Specific,"('Elephants', 'Mice')",Dogs,8.5625
191,Mammals,Specific,"('Lions', 'Horses')",Beavers,8.918859649122806
192,Mammals,Specific,"('Tigers', 'Deer')",Sheep,9.24451754385965
193,Mammals,Specific,"('Hamsters', 'Mice')",Cats,8.62390350877193
194,Mammals,Specific,"('Horses', 'Hippos')",Donkeys,13.338815789473685
195,Mammals,Specific,"('Wolves', 'Rhinos')",Camels,9.491228070175438
196,Mammals,Specific,"('Llamas', 'Tigers')",Rhinos,9.793859649122806
197,Mammals,Specific,"('Hamsters', 'Deer')",Squirrels,11.384868421052632
198,Mammals,Specific,"('Hamsters', 'Squirrels')",Donkeys,7.3508771929824555
199,Mammals,Specific,"('Rabbits', 'Tigers')",Cows,9.12280701754386
200,Mammals,Specific,"('Beavers', 'Horses')",Lions,9.428728070175438
201,Mammals,Specific,"('Dogs', 'Deer')",Foxes,11.366228070175438
202,Mammals,Specific,"('Giraffes', 'Squirrels')",Elephants,9.953947368421053
203,Mammals,Specific,"('Sheep', 'Hamsters')",Cows,9.448464912280702
204,Mammals,Specific,"('Mice', 'Hippos')",Donkeys,8.739035087719298
205,Mammals,Specific,"('Giraffes', 'Llamas')",Squirrels,8.203947368421051
206,Mammals,Specific,"('Tigers', 'Rabbits')",Lions,12.491228070175438
207,Mammals,Specific,"('Rabbits', 'Camels')",Horses,10.510964912280702
208,Mammals,Specific,"('Wolves', 'Sheep')",Hedgehogs,8.111842105263158
209,Mammals,Specific,"('Rabbits', 'Tigers')",Elephants,9.596491228070175
210,Mammals,Specific,"('Sheep', 'Donkeys')",Lions,9.033991228070175
211,Mammals,Specific,"('Hedgehogs', 'Deer')",Elephants,8.94188596491228
212,Mammals,Specific,"('Elephants', 'Dogs')",Llamas,9.13048245614035
213,Mammals,Specific,"('Tigers', 'Rhinos')",Lions,12.234649122807017
214,Mammals,Specific,"('Horses', 'Tigers')",Hippos,9.967105263157894
215,Mammals,Specific,"('Giraffes', 'Squirrels')",Donkeys,9.506578947368421
216,Mammals,Specific,"('Hedgehogs', 'Wolves')",Camels,8.467105263157894
217,Mammals,Specific,"('Rhinos', 'Elephants')",Dogs,8.119517543859649
218,Mammals,Specific,"('Rabbits', 'Deer')",Cows,10.531798245614034
219,Mammals,Specific,"('Camels', 'Horses')",Squirrels,8.158991228070176
220,Mammals,Specific,"('Foxes', 'Horses')",Hedgehogs,8.876096491228068
221,Mammals,Specific,"('Rabbits', 'Tigers')",Hippos,9.885964912280702
222,Mammals,Specific,"('Camels', 'Wolves')",Dogs,11.857456140350877
223,Mammals,Specific,"('Squirrels', 'Cats')",Donkeys,8.12061403508772
224,Mammals,Specific,"('Hippos', 'Sheep')",Foxes,9.135964912280702
225,Mammals,Specific,"('Zebras', 'Horses')",Squirrels,8.077850877192983
226,Mammals,Specific,"('Foxes', 'Donkeys')",Mice,8.533991228070175
227,Mammals,Specific,"('Elephants', 'Tigers')",Llamas,9.896929824561404
228,Mammals,Specific,"('Sheep', 'Horses')",Hamsters,8.989035087719298
229,Mammals,Specific,"('Squirrels', 'Cats')",Giraffes,7.594298245614035
230,Mammals,Specific,"('Squirrels', 'Rhinos')",Cats,9.359649122807017
231,Mammals,Specific,"('Llamas', 'Beavers')",Cats,9.527412280701753
232,Mammals,Specific,"('Rabbits', 'Donkeys')",Mice,9.531798245614034
233,Mammals,Specific,"('Zebras', 'Beavers')",Wolves,9.236842105263158
234,Mammals,Specific,"('Llamas', 'Tigers')",Dogs,9.978070175438596
235,Mammals,Specific,"('Tigers', 'Rabbits')",Donkeys,9.149122807017545
236,Mammals,Specific,"('Camels', 'Squirrels')",Zebras,9.606359649122806
237,Mammals,Specific,"('Llamas', 'Horses')",Hamsters,8.216008771929825
238,Mammals,Specific,"('Llamas', 'Lions')",Hamsters,8.321271929824562
239,Mammals,Specific,"('Horses', 'Llamas')",Foxes,9.031798245614036
240,Mammals,Specific,"('Lions', 'Cats')",Elephants,9.173245614035087
