,domain,argtype,premises,conclusion,scm,is_osherson
29,Birds,General,"('Canaries', 'Robins')",Birds,9.468137254901961,0.0
5,Birds,General,"('Sparrows', 'Robins')",Birds,9.642156862745098,0.0
90,Birds,General,"('Ostriches', 'Pelicans')",Birds,9.676470588235295,0.0
81,Birds,General,"('Storks', 'Ostriches')",Birds,9.681372549019608,0.0
17,Birds,General,"('Eagles', 'Vultures')",Birds,9.70343137254902,0.0
79,Birds,General,"('Pelicans', 'Storks')",Birds,9.730392156862743,0.0
52,Birds,General,"('Sparrows', 'Canaries')",Birds,9.821078431372548,0.0
15,Birds,General,"('Swans', 'Ostriches')",Birds,9.843137254901961,0.0
28,Birds,General,"('Pelicans', 'Swans')",Birds,9.862745098039214,0.0
96,Birds,General,"('Ostriches', 'Eagles')",Birds,9.958333333333334,0.0
68,Birds,General,"('Vultures', 'Ostriches')",Birds,9.977941176470589,0.0
73,Birds,General,"('Ostriches', 'Peacocks')",Birds,9.977941176470589,0.0
6,Birds,General,"('Falcons', 'Eagles')",Birds,9.987745098039216,0.0
57,Birds,General,"('Swans', 'Ducks')",Birds,10.009803921568627,0.0
72,Birds,General,"('Robins', 'Blackbirds')",Birds,10.009803921568627,0.0
83,Birds,General,"('Roosters', 'Chickens')",Birds,10.031862745098039,0.0
11,Birds,General,"('Parrots', 'Canaries')",Birds,10.095588235294118,0.0
33,Birds,General,"('Canaries', 'Blackbirds')",Birds,10.122549019607844,0.0
80,Birds,General,"('Sparrows', 'Blackbirds')",Birds,10.137254901960784,0.0
89,Birds,General,"('Falcons', 'Vultures')",Birds,10.156862745098039,0.0
55,Birds,General,"('Roosters', 'Peacocks')",Birds,10.159313725490197,0.0
95,Birds,General,"('Ostriches', 'Parrots')",Birds,10.176470588235295,0.0
65,Birds,General,"('Ducks', 'Ostriches')",Birds,10.237745098039214,0.0
47,Birds,General,"('Parrots', 'Roosters')",Birds,10.272058823529411,0.0
94,Birds,General,"('Pelicans', 'Peacocks')",Birds,10.284313725490195,0.0
18,Birds,General,"('Herons', 'Storks')",Birds,10.28921568627451,0.0
