,prompt_generator,phenomenon,domain,rating_type,w_statistic,pvalue,significant
198,S3-C1-A1-Q3-O1,Asymmetry,Birds,gpt3_rating,82.0,0.9570860862731934,False
199,S3-C1-A1-Q3-O1,Asymmetry,Birds,gpt4_rating,199.0,0.03251814842224121,True
200,S3-C1-A1-Q3-O1,Asymmetry,Birds,human_rating,201.5,0.0013750947493822955,True
201,S3-C1-A1-Q3-O1,Asymmetry,Mammals,gpt3_rating,128.0,0.6230076551437378,False
202,S3-C1-A1-Q3-O1,Asymmetry,Mammals,gpt4_rating,106.0,0.8352973461151123,False
203,S3-C1-A1-Q3-O1,Asymmetry,Mammals,human_rating,129.0,0.46762590875008514,False
204,S3-C1-A1-Q3-O1,Asymmetry,Vehicles,gpt3_rating,239.0,0.0006393194198608398,True
205,S3-C1-A1-Q3-O1,Asymmetry,Vehicles,gpt4_rating,132.5,0.5768841505050659,False
206,S3-C1-A1-Q3-O1,Asymmetry,Vehicles,human_rating,206.5,0.004663602494510512,True
207,S3-C1-A1-Q3-O1,Diversity (General),Birds,gpt3_rating,201.0,0.07575047016143799,False
208,S3-C1-A1-Q3-O1,Diversity (General),Birds,gpt4_rating,300.0,5.960464477539063e-08,True
209,S3-C1-A1-Q3-O1,Diversity (General),Birds,human_rating,150.0,0.5055936574935913,False
210,S3-C1-A1-Q3-O1,Diversity (General),Mammals,gpt3_rating,95.0,0.9430193901062012,False
211,S3-C1-A1-Q3-O1,Diversity (General),Mammals,gpt4_rating,300.0,5.960464477539063e-08,True
212,S3-C1-A1-Q3-O1,Diversity (General),Mammals,human_rating,86.0,0.9676753282546997,False
213,S3-C1-A1-Q3-O1,Diversity (General),Vehicles,gpt3_rating,98.0,0.9322359561920166,False
214,S3-C1-A1-Q3-O1,Diversity (General),Vehicles,gpt4_rating,194.5,0.10910946130752563,False
215,S3-C1-A1-Q3-O1,Diversity (General),Vehicles,human_rating,58.5,0.9923222003427156,False
216,S3-C1-A1-Q3-O1,Diversity (Specific),Birds,gpt3_rating,171.0,0.28229445219039917,False
217,S3-C1-A1-Q3-O1,Diversity (Specific),Birds,gpt4_rating,155.5,0.449785053730011,False
218,S3-C1-A1-Q3-O1,Diversity (Specific),Birds,human_rating,112.0,0.7855865274413147,False
219,S3-C1-A1-Q3-O1,Diversity (Specific),Mammals,gpt3_rating,164.0,0.352378249168396,False
220,S3-C1-A1-Q3-O1,Diversity (Specific),Mammals,gpt4_rating,123.0,0.7805347442626953,False
221,S3-C1-A1-Q3-O1,Diversity (Specific),Mammals,human_rating,37.5,0.9997162222862244,False
222,S3-C1-A1-Q3-O1,Diversity (Specific),Vehicles,gpt3_rating,173.0,0.26352953910827637,False
223,S3-C1-A1-Q3-O1,Diversity (Specific),Vehicles,gpt4_rating,96.5,0.9395799040794373,False
224,S3-C1-A1-Q3-O1,Diversity (Specific),Vehicles,human_rating,104.0,0.8496950392741645,False
225,S3-C1-A1-Q3-O1,Inclusion Fallacy,Birds,gpt3_rating,212.0,0.039364635944366455,True
226,S3-C1-A1-Q3-O1,Inclusion Fallacy,Birds,gpt4_rating,40.0,0.9995768666267395,False
227,S3-C1-A1-Q3-O1,Inclusion Fallacy,Birds,human_rating,110.0,0.7041678595387945,False
228,S3-C1-A1-Q3-O1,Inclusion Fallacy,Mammals,gpt3_rating,236.0,0.0063024163246154785,True
229,S3-C1-A1-Q3-O1,Inclusion Fallacy,Mammals,gpt4_rating,72.0,0.9885339736938477,False
230,S3-C1-A1-Q3-O1,Inclusion Fallacy,Mammals,human_rating,202.0,0.07167518138885498,False
231,S3-C1-A1-Q3-O1,Inclusion Fallacy,Vehicles,gpt3_rating,244.0,0.0029488205909729004,True
232,S3-C1-A1-Q3-O1,Inclusion Fallacy,Vehicles,gpt4_rating,177.0,0.22793716192245483,False
233,S3-C1-A1-Q3-O1,Inclusion Fallacy,Vehicles,human_rating,272.5,8.7738037109375e-05,True
234,S3-C1-A1-Q3-O1,Monotonicity (General),Birds,gpt3_rating,300.0,5.960464477539063e-08,True
235,S3-C1-A1-Q3-O1,Monotonicity (General),Birds,gpt4_rating,300.0,5.960464477539063e-08,True
236,S3-C1-A1-Q3-O1,Monotonicity (General),Birds,human_rating,300.0,5.960464477539063e-08,True
237,S3-C1-A1-Q3-O1,Monotonicity (General),Mammals,gpt3_rating,300.0,5.960464477539063e-08,True
238,S3-C1-A1-Q3-O1,Monotonicity (General),Mammals,gpt4_rating,300.0,5.960464477539063e-08,True
239,S3-C1-A1-Q3-O1,Monotonicity (General),Mammals,human_rating,300.0,5.960464477539063e-08,True
240,S3-C1-A1-Q3-O1,Monotonicity (General),Vehicles,gpt3_rating,300.0,5.960464477539063e-08,True
241,S3-C1-A1-Q3-O1,Monotonicity (General),Vehicles,gpt4_rating,300.0,5.960464477539063e-08,True
242,S3-C1-A1-Q3-O1,Monotonicity (General),Vehicles,human_rating,294.0,8.344650268554688e-07,True
243,S3-C1-A1-Q3-O1,Monotonicity (Specific),Birds,gpt3_rating,300.0,5.960464477539063e-08,True
244,S3-C1-A1-Q3-O1,Monotonicity (Specific),Birds,gpt4_rating,300.0,5.960464477539063e-08,True
245,S3-C1-A1-Q3-O1,Monotonicity (Specific),Birds,human_rating,300.0,5.960464477539063e-08,True
246,S3-C1-A1-Q3-O1,Monotonicity (Specific),Mammals,gpt3_rating,300.0,5.960464477539063e-08,True
247,S3-C1-A1-Q3-O1,Monotonicity (Specific),Mammals,gpt4_rating,300.0,5.960464477539063e-08,True
248,S3-C1-A1-Q3-O1,Monotonicity (Specific),Mammals,human_rating,245.0,0.002665221691131592,True
249,S3-C1-A1-Q3-O1,Monotonicity (Specific),Vehicles,gpt3_rating,300.0,5.960464477539063e-08,True
250,S3-C1-A1-Q3-O1,Monotonicity (Specific),Vehicles,gpt4_rating,288.0,4.172325134277344e-06,True
251,S3-C1-A1-Q3-O1,Monotonicity (Specific),Vehicles,human_rating,169.5,0.08121527863407396,False
252,S3-C1-A1-Q3-O1,Nonmonotonicity (General),Birds,gpt3_rating,4.0,0.9999997019767761,False
253,S3-C1-A1-Q3-O1,Nonmonotonicity (General),Birds,gpt4_rating,277.5,3.814697265625e-05,True
254,S3-C1-A1-Q3-O1,Nonmonotonicity (General),Birds,human_rating,300.0,5.960464477539063e-08,True
255,S3-C1-A1-Q3-O1,Nonmonotonicity (General),Mammals,gpt3_rating,0.0,1.0,False
256,S3-C1-A1-Q3-O1,Nonmonotonicity (General),Mammals,gpt4_rating,220.0,0.022839844226837158,True
257,S3-C1-A1-Q3-O1,Nonmonotonicity (General),Mammals,human_rating,296.5,4.172325134277344e-07,True
258,S3-C1-A1-Q3-O1,Nonmonotonicity (General),Vehicles,gpt3_rating,11.0,0.9999974370002747,False
259,S3-C1-A1-Q3-O1,Nonmonotonicity (General),Vehicles,gpt4_rating,184.0,0.172438383102417,False
260,S3-C1-A1-Q3-O1,Nonmonotonicity (General),Vehicles,human_rating,258.5,0.0006189942359924316,True
261,S3-C1-A1-Q3-O1,Nonmonotonicity (Specific),Birds,gpt3_rating,16.0,0.9999918341636658,False
262,S3-C1-A1-Q3-O1,Nonmonotonicity (Specific),Birds,gpt4_rating,17.0,0.999989926815033,False
263,S3-C1-A1-Q3-O1,Nonmonotonicity (Specific),Birds,human_rating,299.0,1.1920928955078125e-07,True
264,S3-C1-A1-Q3-O1,Nonmonotonicity (Specific),Mammals,gpt3_rating,0.0,1.0,False
265,S3-C1-A1-Q3-O1,Nonmonotonicity (Specific),Mammals,gpt4_rating,0.0,1.0,False
266,S3-C1-A1-Q3-O1,Nonmonotonicity (Specific),Mammals,human_rating,224.5,0.016992568969726562,True
267,S3-C1-A1-Q3-O1,Nonmonotonicity (Specific),Vehicles,gpt3_rating,11.0,0.9999974370002747,False
268,S3-C1-A1-Q3-O1,Nonmonotonicity (Specific),Vehicles,gpt4_rating,5.5,0.9999995827674866,False
269,S3-C1-A1-Q3-O1,Nonmonotonicity (Specific),Vehicles,human_rating,258.5,0.0006189942359924316,True
270,S3-C1-A1-Q3-O1,Similarity,Birds,gpt3_rating,170.0,0.42659977078437805,False
271,S3-C1-A1-Q3-O1,Similarity,Birds,gpt4_rating,312.0,2.6226043701171875e-06,True
272,S3-C1-A1-Q3-O1,Similarity,Birds,human_rating,322.0,1.4901161193847656e-07,True
273,S3-C1-A1-Q3-O1,Similarity,Mammals,gpt3_rating,288.0,0.0016145706176757812,True
274,S3-C1-A1-Q3-O1,Similarity,Mammals,gpt4_rating,337.0,1.6391277313232422e-06,True
275,S3-C1-A1-Q3-O1,Similarity,Mammals,human_rating,350.0,2.9802322387695312e-08,True
276,S3-C1-A1-Q3-O1,Similarity,Vehicles,gpt3_rating,251.0,0.007986485958099365,True
277,S3-C1-A1-Q3-O1,Similarity,Vehicles,gpt4_rating,311.5,3.2782554626464844e-06,True
278,S3-C1-A1-Q3-O1,Similarity,Vehicles,human_rating,324.0,5.960464477539063e-08,True
279,S3-C1-A1-Q3-O1,Specificity,Birds,gpt3_rating,274.0,6.35385513305664e-05,True
280,S3-C1-A1-Q3-O1,Specificity,Birds,gpt4_rating,300.0,5.960464477539063e-08,True
281,S3-C1-A1-Q3-O1,Specificity,Birds,human_rating,300.0,5.960464477539063e-08,True
282,S3-C1-A1-Q3-O1,Specificity,Mammals,gpt3_rating,300.0,5.960464477539063e-08,True
283,S3-C1-A1-Q3-O1,Specificity,Mammals,gpt4_rating,300.0,5.960464477539063e-08,True
