phenomenon,domain,gpt3_pvalue,gpt4_pvalue,human_pvalue
Similarity,Mammals,0.8450,0.0000,0.0000
Similarity,Birds,0.4244,0.0000,0.0000
Similarity,Vehicles,0.2295,0.0000,0.0000
Typicality,Mammals,0.5413,0.1516,0.0000
Typicality,Birds,0.5413,0.0066,0.0000
Typicality,Vehicles,1.0000,0.0000,0.0000
Specificity,Mammals,0.8388,0.0000,0.0000
Specificity,Birds,0.8388,0.0000,0.0000
Specificity,Vehicles,0.5413,0.0000,0.0000
Monotonicity (General),Mammals,0.0000,0.0000,0.0000
Monotonicity (General),Birds,0.0000,0.0000,0.0000
Monotonicity (General),Vehicles,0.0000,0.0000,0.0000
Monotonicity (Specific),Mammals,0.0000,0.0000,0.0639
Monotonicity (Specific),Birds,0.0000,0.0000,0.0000
Monotonicity (Specific),Vehicles,0.0000,0.0000,0.2863
Diversity (General),Mammals,0.8388,0.0000,0.0639
Diversity (General),Birds,0.5413,0.0000,1.0000
Diversity (General),Vehicles,1.0000,0.0639,0.0347
Diversity (Specific),Mammals,1.0000,0.5413,0.0066
Diversity (Specific),Birds,0.5413,0.8388,0.6776
Diversity (Specific),Vehicles,0.3075,0.8388,0.6776
Nonmonotonicity (General),Mammals,0.0000,0.1516,0.0000
Nonmonotonicity (General),Birds,0.0015,0.0003,0.0000
Nonmonotonicity (General),Vehicles,0.0000,0.5413,0.0066
Nonmonotonicity (Specific),Mammals,0.0000,0.0000,0.1516
Nonmonotonicity (Specific),Birds,0.0000,0.0000,0.0000
Nonmonotonicity (Specific),Vehicles,0.0003,0.0000,0.0066
Asymmetry,Mammals,0.0931,0.4049,0.5235
Asymmetry,Birds,1.0000,0.0931,0.0002
Asymmetry,Vehicles,0.6776,1.0000,0.0525
Inclusion Fallacy,Mammals,0.8388,0.0227,0.0639
Inclusion Fallacy,Birds,0.8388,0.0015,1.0000
Inclusion Fallacy,Vehicles,0.8388,0.5413,0.0015
