,i,prompt_generator,domain,conclusion_type,is_single_premise,gpt3_spearmanr,gpt4_spearmanr,gpt3_scm_spearmanr,gpt4_scm_spearmanr,human_scm_spearmanr,gpt3_pval,gpt4_pval,gpt3_scm_pval,gpt4_scm_pval,human_scm_pval
24,0,S3-C1-A1-Q1-O1-T,Birds,General,False,0.2575921065837495,0.38149155288222913,-0.08304646821668264,0.22291925014173758,-0.040765456469498675,0.009671619429916381,8.998059676107204e-05,0.4113934385801984,0.025794134442306625,0.6871712858444998
25,0,S3-C1-A1-Q1-O1-T,Birds,General,True,0.5556525534701006,0.37449753382520035,0.35835879528590137,0.7450894805761678,0.3548668703622873,0.004817366063959118,0.07139163033850013,0.08552055768947678,2.95336193830387e-05,0.08883624973150399
26,0,S3-C1-A1-Q1-O1-T,Birds,Specific,False,0.4940010084017556,0.3816269404057128,0.5231828828353835,0.4600245826405519,0.3806981901869405,1.7597775615710876e-07,8.942074903231884e-05,2.3431456569615383e-08,1.4706009496540629e-06,9.332732666438374e-05
27,0,S3-C1-A1-Q1-O1-T,Birds,Specific,True,0.38912878674156354,0.4573393576172219,0.49110563519432804,0.49381938954939913,0.5547217164052728,2.2025049549067978e-07,5.855006876077893e-10,1.844844377338184e-11,1.3740871788413311e-11,8.858958388182754e-15
28,0,S3-C1-A1-Q1-O1-T,Mammals,General,False,0.4490271800543246,0.3705773115902278,0.36964375754400625,0.304978736814837,0.4150291761217117,2.7879978110983063e-06,0.00014750295339259524,0.00015374844659123125,0.0020334802774190225,1.7594327909134695e-05
29,0,S3-C1-A1-Q1-O1-T,Mammals,General,True,0.3624836029733275,-0.2567689730234162,0.7350240489724529,0.6930476606908614,0.5513773502404897,0.08172471600231922,0.22582271156827055,4.293510796448549e-05,0.00017389854392575502,0.005225182338027153
30,0,S3-C1-A1-Q1-O1-T,Mammals,Specific,False,0.5080123412461248,0.7049771749568075,0.6968161813753009,0.6912385050255262,0.7844855535855044,2.7170379492207192e-08,3.3266572104414886e-17,1.0832882828098783e-16,2.3737620072013334e-16,2.598484162797395e-23
31,0,S3-C1-A1-Q1-O1-T,Mammals,Specific,True,0.5905399359410839,0.6717422809238259,0.7392435291129013,0.77045526560344,0.8037994483296576,1.3291405702529655e-16,1.316857310140173e-22,2.8566421496663835e-29,4.2346821643437936e-33,6.363195667117179e-38
32,0,S3-C1-A1-Q1-O1-T,Vehicles,General,False,0.6966024138342781,0.493845062944894,0.4150421694084098,0.4861079895176911,0.6718546174645513,8.428666964050006e-16,1.7779565484389903e-07,1.7582600306184352e-05,2.941760705045753e-07,1.980565867052911e-14
33,0,S3-C1-A1-Q1-O1-T,Vehicles,General,True,0.8663755458515284,0.7566300833098247,0.45065502183406114,0.6410480349344977,0.8698689956331878,4.4462129625734555e-08,1.8822035018823508e-05,0.027102794515689272,0.0007371468108375716,3.379104543525734e-08
34,0,S3-C1-A1-Q1-O1-T,Vehicles,Specific,False,0.7987907750029993,0.8497361839262134,0.78446457410282,0.74013500945654,0.7770813002700766,2.3613171896948194e-23,5.352106929359117e-29,4.723617791346469e-22,1.3918677730447477e-18,2.026674425899126e-21
35,0,S3-C1-A1-Q1-O1-T,Vehicles,Specific,True,0.7613159640460666,0.8526187636017831,0.7108636111638801,0.7614892733901203,0.7783760485288274,2.6888052294184996e-32,1.5821838870829598e-47,1.5203386242413907e-26,2.554887193104042e-32,1.4141015416771874e-34
84,1,S3-C1-A1-Q1-O1-T,Birds,General,False,0.45428508256107064,0.3057039071036383,-0.007791968282564579,0.36284127133412813,0.06832540884935001,2.0591223910681657e-06,0.0019813991421312595,0.9386703244260528,0.0002072065916291352,0.4993874582020218
85,1,S3-C1-A1-Q1-O1-T,Birds,General,True,0.702276707530648,0.45954075657302845,0.4395796847635726,0.8003502626970227,0.022767075306479857,0.00013046987389265252,0.0238731726666962,0.03160897189369398,2.659112545930637e-06,0.915904025990442
