,domain,conclusion_type,argument,premises,conclusion,avg_ranking,avg_rating,is_osherson,is_single_premise,is_control,is_tutorial,num_ratings,premise_typicality,premise_conclusion_similarity,scm_score,best_scm_score,best_scm_alpha
0,Vehicles,General,"(('Airplanes', 'Buses'), 'All vehicles')","('Airplanes', 'Buses')",All vehicles,2.9,79.8,False,False,False,False,10,"(15.03571429, 18.5)","(None, None)",10.77222222222222,10.77222222222222,0.35
1,Vehicles,General,"(('Airplanes', 'Helicopters'), 'All vehicles')","('Airplanes', 'Helicopters')",All vehicles,5.6,58.4,False,False,False,False,10,"(15.03571429, 12.67857143)","(None, None)",8.063888888888888,8.063888888888888,0.35
2,Vehicles,General,"(('Airplanes', 'Taxis'), 'All vehicles')","('Airplanes', 'Taxis')",All vehicles,3.5,63.3,False,False,False,False,10,"(15.03571429, 17.5)","(None, None)",10.622222222222222,10.622222222222222,0.35
3,Vehicles,Specific,"(('Airplanes', 'Trams'), 'Trains')","('Airplanes', 'Trams')",Trains,4.3,74.9,False,False,False,False,10,"(15.03571429, 16.57142857)","(7.933333333333334, 16.533333333333335)",13.16388888888889,14.511666666666668,0.7
4,Vehicles,General,"(('Airplanes', 'Zeppelins'), 'All vehicles')","('Airplanes', 'Zeppelins')",All vehicles,7.0,27.4,False,False,False,False,10,"(15.03571429, 8.37037037)","(None, None)",8.252777777777778,8.252777777777778,0.35
5,Vehicles,General,"(('Airplanes',), 'All vehicles')","('Airplanes',)",All vehicles,8.878787878787879,37.41414141414141,False,True,False,False,99,"(15.03571429,)","(None,)",7.747222222222223,7.747222222222223,0.0
6,Vehicles,Specific,"(('Airplanes',), 'Bicycles')","('Airplanes',)",Bicycles,13.6,18.1,False,True,False,False,10,"(15.03571429,)","(4.866666666666666,)",6.3069444444444445,6.018888888888888,0.6
7,Vehicles,Specific,"(('Airplanes',), 'Helicopters')","('Airplanes',)",Helicopters,4.444444444444445,78.11111111111111,False,True,False,False,9,"(15.03571429,)","(14.533333333333333,)",11.140277777777778,11.818888888888889,0.6
8,Vehicles,Specific,"(('Airplanes',), 'Jeeps')","('Airplanes',)",Jeeps,13.4,30.6,False,True,False,False,10,"(15.03571429,)","(6.266666666666667,)",7.006944444444445,6.858888888888889,0.6
9,Vehicles,Specific,"(('Airplanes',), 'Skateboards')","('Airplanes',)",Skateboards,13.35,22.65,False,True,False,False,20,"(15.03571429,)","(4.933333333333334,)",6.340277777777779,6.058888888888889,0.6
10,Vehicles,Specific,"(('Airplanes',), 'Tractors')","('Airplanes',)",Tractors,9.666666666666666,47.888888888888886,False,True,False,False,9,"(15.03571429,)","(5.333333333333333,)",6.540277777777778,6.298888888888889,0.6
11,Vehicles,Specific,"(('Airplanes',), 'Trains')","('Airplanes',)",Trains,11.9,38.1,False,True,False,False,10,"(15.03571429,)","(7.933333333333334,)",7.840277777777779,7.858888888888889,0.6
12,Birds,General,"(('All animals', 'All organisms'), 'All birds')","('All animals', 'All organisms')",All birds,2.772727272727273,77.5,False,False,True,False,110,"(None, None)","(None, None)",0.0,0.0,0.3
13,Mammals,General,"(('All animals', 'All organisms'), 'All mammals')","('All animals', 'All organisms')",All mammals,2.717171717171717,77.39393939393939,False,False,True,False,99,"(None, None)","(None, None)",0.0,0.0,0.95
14,Birds,General,"(('All animals',), 'All birds')","('All animals',)",All birds,5.545454545454546,68.31818181818181,False,True,True,False,110,"(None,)","(None,)",0.0,0.0,0.45
15,Mammals,General,"(('All animals',), 'All mammals')","('All animals',)",All mammals,3.04040404040404,84.4949494949495,False,True,True,False,99,"(None,)","(None,)",0.0,0.0,0.15
16,Birds,General,"(('All living things',), 'All birds')","('All living things',)",All birds,4.4363636363636365,74.10909090909091,False,True,True,False,110,"(None,)","(None,)",0.0,0.0,0.45
17,Mammals,General,"(('All living things',), 'All mammals')","('All living things',)",All mammals,3.4343434343434343,82.74747474747475,False,True,True,False,99,"(None,)","(None,)",0.0,0.0,0.15
18,Vehicles,General,"(('All man-made things',), 'All vehicles')","('All man-made things',)",All vehicles,5.323232323232324,72.55555555555556,False,True,True,False,99,"(None,)","(None,)",0.0,0.0,0.0
19,Birds,General,"(('All plants and animals',), 'All birds')","('All plants and animals',)",All birds,4.472727272727273,73.97272727272727,False,True,True,False,110,"(None,)","(None,)",0.0,0.0,0.45
20,Mammals,General,"(('All plants and animals',), 'All mammals')","('All plants and animals',)",All mammals,3.5454545454545454,82.37373737373737,False,True,True,False,99,"(None,)","(None,)",0.0,0.0,0.15
21,Vehicles,General,"(('All things that can move',), 'All vehicles')","('All things that can move',)",All vehicles,3.757575757575758,80.60606060606061,False,True,True,False,99,"(None,)","(None,)",0.0,0.0,0.0
22,Vehicles,General,"(('All things',), 'All vehicles')","('All things',)",All vehicles,4.595959595959596,75.96969696969697,False,True,True,False,99,"(None,)","(None,)",0.0,0.0,0.0
23,Vehicles,General,"(('All transport', 'All moving things'), 'All vehicles')","('All transport', 'All moving things')",All vehicles,2.171717171717172,82.48484848484848,False,False,True,False,99,"(None, None)","(None, None)",0.0,0.0,0.35
24,Mammals,Specific,"(('Beavers', 'Camels'), 'Tigers')","('Beavers', 'Camels')",Tigers,5.9,50.9,False,False,False,False,10,"(14.0, 14.42857143)","(6.684210526315789, 7.473684210526316)",8.667763157894736,8.787171052631578,0.45
25,Mammals,General,"(('Beavers', 'Cats'), 'All mammals')","('Beavers', 'Cats')",All mammals,4.9,52.7,False,False,False,False,10,"(14.0, 18.53571429)","(None, None)",9.31140350877193,9.31140350877193,0.95
26,Mammals,Specific,"(('Beavers', 'Hedgehogs'), 'Elephants')","('Beavers', 'Hedgehogs')",Elephants,7.4,33.7,False,False,False,False,10,"(14.0, 13.17857143)","(5.421052631578948, 5.947368421052632)",7.178728070175439,7.30186403508772,0.45
27,Mammals,Specific,"(('Beavers', 'Horses'), 'Tigers')","('Beavers', 'Horses')",Tigers,4.777777777777778,62.888888888888886,False,False,False,False,9,"(14.0, 17.53571429)","(6.684210526315789, 8.210526315789474)",9.455043859649123,9.579495614035089,0.45
28,Mammals,Specific,"(('Beavers', 'Llamas'), 'Dogs')","('Beavers', 'Llamas')",Dogs,4.8,49.8,False,False,False,False,10,"(14.0, 14.64285714)","(7.2631578947368425, 8.157894736842104)",9.290570175438596,9.403837719298245,0.45
29,Mammals,General,"(('Beavers', 'Mice'), 'All mammals')","('Beavers', 'Mice')",All mammals,4.3,57.3,False,False,False,False,10,"(14.0, 15.67857143)","(None, None)",8.521929824561402,8.521929824561402,0.95
30,Mammals,Specific,"(('Beavers', 'Mice'), 'Giraffes')","('Beavers', 'Mice')",Giraffes,6.6,39.4,False,False,False,False,10,"(14.0, 15.67857143)","(5.631578947368421, 4.842105263157895)",7.076754385964912,7.221271929824562,0.45
31,Mammals,Specific,"(('Beavers', 'Mice'), 'Hamsters')","('Beavers', 'Mice')",Hamsters,3.9,66.0,False,False,False,False,10,"(14.0, 15.67857143)","(9.894736842105264, 13.473684210526315)",10.99780701754386,10.750219298245614,0.45
32,Mammals,General,"(('Beavers', 'Rabbits'), 'All mammals')","('Beavers', 'Rabbits')",All mammals,4.5,59.2,False,False,False,False,10,"(14.0, 16.64285714)","(None, None)",8.81140350877193,8.81140350877193,0.95
33,Mammals,Specific,"(('Beavers', 'Zebras'), 'Horses')","('Beavers', 'Zebras')",Horses,4.3,63.1,False,False,False,False,10,"(14.0, 16.03571429)","(6.473684210526316, 15.052631578947368)",12.763157894736842,12.53421052631579,0.45
34,Mammals,General,"(('Beavers',), 'All mammals')","('Beavers',)",All mammals,7.252525252525253,48.19191919191919,False,True,False,False,99,"(14.0,)","(None,)",7.778508771929824,7.778508771929824,0.15
35,Mammals,Specific,"(('Beavers',), 'Dogs')","('Beavers',)",Dogs,9.75,30.5,False,True,False,False,20,"(14.0,)","(7.2631578947368425,)",7.520833333333334,7.2631578947368425,1.0
36,Mammals,Specific,"(('Beavers',), 'Donkeys')","('Beavers',)",Donkeys,11.766666666666667,29.03333333333333,False,True,False,False,30,"(14.0,)","(6.526315789473684,)",7.152412280701754,6.526315789473684,1.0
37,Mammals,Specific,"(('Beavers',), 'Elephants')","('Beavers',)",Elephants,14.2,32.7,False,True,False,False,20,"(14.0,)","(5.421052631578948,)",6.599780701754386,5.421052631578948,1.0
38,Mammals,Specific,"(('Beavers',), 'Giraffes')","('Beavers',)",Giraffes,13.2,22.3,False,True,False,False,10,"(14.0,)","(5.631578947368421,)",6.705043859649123,5.631578947368421,1.0
39,Mammals,Specific,"(('Beavers',), 'Hamsters')","('Beavers',)",Hamsters,7.7,51.6,False,True,False,False,10,"(14.0,)","(9.894736842105264,)",8.836622807017545,9.894736842105264,1.0
40,Mammals,Specific,"(('Beavers',), 'Horses')","('Beavers',)",Horses,11.5,40.9,False,True,False,False,10,"(14.0,)","(6.473684210526316,)",7.12609649122807,6.473684210526316,1.0
41,Mammals,Specific,"(('Beavers',), 'Tigers')","('Beavers',)",Tigers,14.157894736842104,35.10526315789474,False,True,False,False,19,"(14.0,)","(6.684210526315789,)",7.2313596491228065,6.684210526315789,1.0
42,Vehicles,Specific,"(('Bicycles', 'Airplanes'), 'Skateboards')","('Bicycles', 'Airplanes')",Skateboards,6.1,40.5,False,False,False,False,10,"(17.07142857, 15.03571429)","(8.733333333333333, 4.933333333333334)",9.219444444444443,9.024999999999999,0.7
43,Vehicles,Specific,"(('Bicycles', 'Carts'), 'Carriages')","('Bicycles', 'Carts')",Carriages,3.7,71.6,False,False,False,False,10,"(17.07142857, 10.21428571)","(8.8, 15.0)",12.270833333333332,13.3625,0.7
44,Vehicles,General,"(('Bicycles', 'Mopeds'), 'All vehicles')","('Bicycles', 'Mopeds')",All vehicles,5.7,55.2,False,False,False,False,10,"(17.07142857, 16.75)","(None, None)",8.408333333333333,8.408333333333333,0.35
45,Vehicles,Specific,"(('Bicycles', 'Mopeds'), 'Rockets')","('Bicycles', 'Mopeds')",Rockets,8.9,17.0,False,False,False,False,10,"(17.07142857, 16.75)","(4.533333333333333, 4.6)",6.504166666666666,5.7425,0.7
46,Vehicles,General,"(('Bicycles', 'Motorbikes'), 'All vehicles')","('Bicycles', 'Motorbikes')",All vehicles,4.7,54.2,False,False,False,False,10,"(17.07142857, 17.25)","(None, None)",8.480555555555556,8.480555555555556,0.35
47,Vehicles,General,"(('Bicycles', 'Sleds'), 'All vehicles')","('Bicycles', 'Sleds')",All vehicles,5.9,41.7,False,False,False,False,10,"(17.07142857, 8.071428571)","(None, None)",8.527777777777779,8.527777777777779,0.35
48,Vehicles,General,"(('Bicycles', 'Submarines'), 'All vehicles')","('Bicycles', 'Submarines')",All vehicles,3.7,62.6,False,False,False,False,10,"(17.07142857, 7.321428571)","(None, None)",9.072222222222225,9.072222222222223,0.35
49,Vehicles,General,"(('Bicycles', 'Tractors'), 'All vehicles')","('Bicycles', 'Tractors')",All vehicles,3.6,76.4,False,False,False,False,10,"(17.07142857, 12.10714286)","(None, None)",9.15,9.15,0.35
