,domain,conclusion_type,argument,premises,conclusion,avg_ranking,avg_rating,is_osherson,is_single_premise,is_control,is_tutorial,num_ratings,premise_conclusion_similarity,scm_score,osherson_human_rating,best_scm_score,best_scm_alpha
0,Mammals,Specific,"(('Bananas', 'Watermelons'), 'Cherries')","('Bananas', 'Watermelons')",Cherries,5.825,63.75,True,False,False,True,40,"(None, None)",0.0,,0.0,1.0
1,Mammals,Specific,"(('Blackberries',), 'Raspberries')","('Blackberries',)",Raspberries,3.225,74.7,True,True,False,True,40,"(None,)",0.0,,0.0,0.0
2,Mammals,Specific,"(('Canines', 'Puppies'), 'Dogs')","('Canines', 'Puppies')",Dogs,1.5,94.35,True,False,True,False,40,"(None, None)",0.0,,0.0,1.0
3,Mammals,Specific,"(('Chimps', 'Dolphins'), 'Horses')","('Chimps', 'Dolphins')",Horses,8.0,55.8,True,False,False,False,10,"(0.6, 0.33)",0.6060000000000001,0.4,0.6,1.0
4,Mammals,Specific,"(('Chimps', 'Elephants'), 'Horses')","('Chimps', 'Elephants')",Horses,5.6,56.5,True,False,False,False,10,"(0.6, 0.8)",0.728,0.59,0.8,1.0
5,Mammals,Specific,"(('Chimps', 'Gorillas'), 'Horses')","('Chimps', 'Gorillas')",Horses,5.7,60.8,True,False,False,False,10,"(0.6, 0.62)",0.6335,0.23,0.62,1.0
6,Mammals,Specific,"(('Chimps', 'Mice'), 'Horses')","('Chimps', 'Mice')",Horses,3.8,60.6,True,False,False,False,10,"(0.6, 0.5)",0.6019999999999999,0.42,0.6,1.0
7,Mammals,Specific,"(('Chimps', 'Rhinos'), 'Horses')","('Chimps', 'Rhinos')",Horses,6.6,65.7,True,False,False,False,10,"(0.6, 0.74)",0.69,0.64,0.74,1.0
8,Mammals,Specific,"(('Chimps', 'Seals'), 'Horses')","('Chimps', 'Seals')",Horses,7.0,59.5,True,False,False,False,10,"(0.6, 0.37)",0.601,0.43,0.6,1.0
9,Mammals,Specific,"(('Chimps', 'Squirrels'), 'Horses')","('Chimps', 'Squirrels')",Horses,6.8,61.35,True,False,False,False,20,"(0.6, 0.54)",0.607,0.4,0.6,1.0
10,Mammals,Specific,"(('Chimps',), 'Horses')","('Chimps',)",Horses,6.3,48.4,True,True,False,False,40,"(0.6,)",0.5575,,0.515,0.0
11,Mammals,Specific,"(('Cows', 'Chimps'), 'Horses')","('Cows', 'Chimps')",Horses,4.1,71.7,True,False,False,False,10,"(0.93, 0.6)",0.7949999999999999,0.79,0.93,1.0
12,Mammals,Specific,"(('Cows', 'Dolphins'), 'Horses')","('Cows', 'Dolphins')",Horses,5.6,64.1,True,False,False,False,10,"(0.93, 0.33)",0.768,0.73,0.93,1.0
13,Mammals,Specific,"(('Cows', 'Elephants'), 'Horses')","('Cows', 'Elephants')",Horses,3.5,74.2,True,False,False,False,10,"(0.93, 0.8)",0.7785,0.75,0.93,1.0
14,Mammals,Specific,"(('Cows', 'Gorillas'), 'Horses')","('Cows', 'Gorillas')",Horses,3.4,68.0,True,False,False,False,10,"(0.93, 0.62)",0.785,0.75,0.93,1.0
