,domain,conclusion_type,argument_type,gpt3_mean_spearmanr,gpt4_mean_spearmanr,gpt3_scm_mean_spearmanr,gpt4_scm_mean_spearmanr,human_scm_mean_spearmanr,gpt3_se_spearmanr,gpt4_se_spearmanr,gpt3_scm_se_spearmanr,gpt4_scm_se_spearmanr,human_scm_se_spearmanr
0,Birds,General,multi,0.3001575133424517,0.22196884348885523,0.04748939925261403,0.2289917454616114,0.07015441681984184,0.07430670963177824,0.07255637110445744,0.05780192615821651,0.07529820887275719,0.06981989821222377
1,Birds,General,single,0.504473454954639,0.36814548147256504,0.46209402829848495,0.6228869475396551,0.08435677134793775,0.08131786354458194,0.08543969565210278,0.05511330570478237,0.07321989506637155,0.06846579516046257
2,Birds,Specific,multi,0.3700463480239765,0.26915478187437614,0.49928807052392826,0.5094077159513952,0.43510820748528245,0.054081052782917874,0.05579264729275573,0.05824739063953685,0.057478901026327106,0.06090536676627553
3,Birds,Specific,single,0.41617303356550883,0.40905230929011027,0.4899496576788786,0.48748338796955354,0.5282730165234076,0.030281133223224236,0.037585198476047674,0.03706613621881076,0.043347856049500776,0.03655462591855322
4,Mammals,General,multi,0.3149394423810831,0.1771154401780915,0.2525733188784307,0.2761301200211117,0.32434647879294287,0.07384137288023881,0.07901046245809967,0.0671954110926527,0.07413242434953557,0.07768650537650364
5,Mammals,General,single,0.27549745994679037,0.0034589065896970107,0.6059216412724877,0.689048148971128,0.5960604578052855,0.06665595811320665,0.08577651555383162,0.050812825310351965,0.0632916324085253,0.06894196440001321
6,Mammals,Specific,multi,0.6046106841770281,0.7466548339986179,0.7703529696998954,0.7706315262740665,0.8112578917883211,0.02825738375970245,0.03346187551585412,0.03184210235460688,0.03382254973746183,0.030364082966870667
7,Mammals,Specific,single,0.5912490328607016,0.7118272018939031,0.6953968596614203,0.7441889537649742,0.8125668140513131,0.021552302682853887,0.017392128129866766,0.0214053673171742,0.021373519082701575,0.01869723066389157
8,Vehicles,General,multi,0.5479345600248682,0.3924538856200839,0.35664304074916975,0.3974447135226587,0.5148483785230424,0.06389747287192028,0.057178055181200574,0.06656832083608151,0.05785164832843441,0.05829697961203364
9,Vehicles,General,single,0.8642695652173908,0.6374590299239198,0.431495652173913,0.6088869565217389,0.8613826086956524,0.017365855336961496,0.019318856006708084,0.04184888585258159,0.03217725534278312,0.020929534318974048
10,Vehicles,Specific,multi,0.7418664513688009,0.7914318677180977,0.736086277462881,0.715836521210821,0.7554372789139217,0.031566263422525366,0.03082728779506579,0.029038484862762833,0.028298883626450087,0.031408663270420106
11,Vehicles,Specific,single,0.7487583384923947,0.853883717380777,0.7702994761205081,0.7707244346756288,0.8102452157488534,0.023273286065554743,0.014997225869364467,0.018717742235156674,0.017510736634253798,0.017709013848843488
