,tid
0,tid_experiment2_dedeyne_participant0
1,tid_experiment2_dedeyne_participant1
2,tid_experiment2_dedeyne_participant2
3,tid_experiment2_dedeyne_participant3
4,tid_experiment2_dedeyne_participant4
5,tid_experiment2_dedeyne_participant30
6,tid_experiment2_dedeyne_participant31
7,tid_experiment2_dedeyne_participant32
8,tid_experiment2_dedeyne_participant33
9,tid_experiment2_dedeyne_participant34
10,tid_experiment2_dedeyne_participant60
11,tid_experiment2_dedeyne_participant61
12,tid_experiment2_dedeyne_participant62
13,tid_experiment2_dedeyne_participant63
14,tid_experiment2_dedeyne_participant64
15,tid_experiment2_dedeyne_participant90
16,tid_experiment2_dedeyne_participant91
17,tid_experiment2_dedeyne_participant92
18,tid_experiment2_dedeyne_participant93
19,tid_experiment2_dedeyne_participant94
20,tid_experiment2_dedeyne_participant120
21,tid_experiment2_dedeyne_participant121
22,tid_experiment2_dedeyne_participant122
23,tid_experiment2_dedeyne_participant123
24,tid_experiment2_dedeyne_participant124
25,tid_experiment2_dedeyne_participant150
26,tid_experiment2_dedeyne_participant151
27,tid_experiment2_dedeyne_participant152
28,tid_experiment2_dedeyne_participant153
29,tid_experiment2_dedeyne_participant154
30,tid_experiment2_dedeyne_participant180
31,tid_experiment2_dedeyne_participant181
32,tid_experiment2_dedeyne_participant182
33,tid_experiment2_dedeyne_participant183
34,tid_experiment2_dedeyne_participant184
35,tid_experiment2_dedeyne_participant210
36,tid_experiment2_dedeyne_participant211
37,tid_experiment2_dedeyne_participant212
38,tid_experiment2_dedeyne_participant213
39,tid_experiment2_dedeyne_participant214
40,tid_experiment2_dedeyne_participant240
41,tid_experiment2_dedeyne_participant241
42,tid_experiment2_dedeyne_participant242
43,tid_experiment2_dedeyne_participant243
44,tid_experiment2_dedeyne_participant244
45,tid_experiment2_dedeyne_participant270
46,tid_experiment2_dedeyne_participant271
47,tid_experiment2_dedeyne_participant272
48,tid_experiment2_dedeyne_participant273
49,tid_experiment2_dedeyne_participant274
50,tid_experiment2_dedeyne_participant300
51,tid_experiment2_dedeyne_participant301
52,tid_experiment2_dedeyne_participant302
53,tid_experiment2_dedeyne_participant303
54,tid_experiment2_dedeyne_participant304
55,tid_experiment2_dedeyne_participant305
56,tid_experiment2_dedeyne_participant306
57,tid_experiment2_dedeyne_participant307
58,tid_experiment2_dedeyne_participant308
59,tid_experiment2_dedeyne_participant309
60,tid_experiment2_dedeyne_participant335
61,tid_experiment2_dedeyne_participant336
62,tid_experiment2_dedeyne_participant337
63,tid_experiment2_dedeyne_participant338
64,tid_experiment2_dedeyne_participant339
65,tid_experiment2_dedeyne_participant365
66,tid_experiment2_dedeyne_participant366
67,tid_experiment2_dedeyne_participant367
68,tid_experiment2_dedeyne_participant368
69,tid_experiment2_dedeyne_participant369
70,tid_experiment2_dedeyne_participant395
71,tid_experiment2_dedeyne_participant396
72,tid_experiment2_dedeyne_participant397
73,tid_experiment2_dedeyne_participant398
74,tid_experiment2_dedeyne_participant399
75,tid_experiment2_dedeyne_participant425
76,tid_experiment2_dedeyne_participant426
77,tid_experiment2_dedeyne_participant427
78,tid_experiment2_dedeyne_participant428
79,tid_experiment2_dedeyne_participant429
80,tid_experiment2_dedeyne_participant455
81,tid_experiment2_dedeyne_participant456
82,tid_experiment2_dedeyne_participant457
83,tid_experiment2_dedeyne_participant458
84,tid_experiment2_dedeyne_participant459
85,tid_experiment2_dedeyne_participant485
86,tid_experiment2_dedeyne_participant486
87,tid_experiment2_dedeyne_participant487
88,tid_experiment2_dedeyne_participant488
89,tid_experiment2_dedeyne_participant489
90,tid_experiment2_dedeyne_participant515
91,tid_experiment2_dedeyne_participant516
92,tid_experiment2_dedeyne_participant517
93,tid_experiment2_dedeyne_participant518
94,tid_experiment2_dedeyne_participant519
95,tid_experiment2_dedeyne_participant545
96,tid_experiment2_dedeyne_participant546
97,tid_experiment2_dedeyne_participant547
98,tid_experiment2_dedeyne_participant548
99,tid_experiment2_dedeyne_participant549
100,tid_experiment2_dedeyne_participant575
101,tid_experiment2_dedeyne_participant576
102,tid_experiment2_dedeyne_participant577
103,tid_experiment2_dedeyne_participant578
104,tid_experiment2_dedeyne_participant579
105,tid_experiment2_dedeyne_participant605
106,tid_experiment2_dedeyne_participant606
107,tid_experiment2_dedeyne_participant607
108,tid_experiment2_dedeyne_participant608
109,tid_experiment2_dedeyne_participant609
