,model,prompt_name,domain,c1,c2,a_prob,b_prob,gpt3_rating
0,text-davinci-003,two_choice_similarity,Mammals,Beavers,Camels,0.0,0.9996312150179046,-0.9996312150179046
1,text-davinci-003,two_choice_similarity,Mammals,Beavers,Squirrels,0.004705374090341263,0.994547565375478,-0.9898421912851367
2,text-davinci-003,two_choice_similarity,Mammals,Beavers,Hedgehogs,0.0,0.9996201280396305,-0.9996201280396305
3,text-davinci-003,two_choice_similarity,Mammals,Beavers,Donkeys,0.0,0.9996384859219676,-0.9996384859219676
4,text-davinci-003,two_choice_similarity,Mammals,Beavers,Giraffes,0.0,0.9996154788172268,-0.9996154788172268
5,text-davinci-003,two_choice_similarity,Mammals,Beavers,Hamsters,0.0,0.9995794181493531,-0.9995794181493531
6,text-davinci-003,two_choice_similarity,Mammals,Beavers,Deer,0.0,0.9996227505764652,-0.9996227505764652
7,text-davinci-003,two_choice_similarity,Mammals,Beavers,Dogs,0.00012156882435042589,0.9992422949035928,-0.9991207260792424
8,text-davinci-003,two_choice_similarity,Mammals,Beavers,Cats,0.0,0.9995896095332141,-0.9995896095332141
9,text-davinci-003,two_choice_similarity,Mammals,Beavers,Cows,0.0,0.9996964809212382,-0.9996964809212382
10,text-davinci-003,two_choice_similarity,Mammals,Beavers,Rabbits,6.135444679696534e-06,0.9995956876362811,-0.9995895521916015
11,text-davinci-003,two_choice_similarity,Mammals,Beavers,Llamas,0.0,0.9995735756747075,-0.9995735756747075
12,text-davinci-003,two_choice_similarity,Mammals,Beavers,Lions,0.0,0.999672041490153,-0.999672041490153
13,text-davinci-003,two_choice_similarity,Mammals,Beavers,Mice,0.0,0.9995587945797496,-0.9995587945797496
14,text-davinci-003,two_choice_similarity,Mammals,Beavers,Rhinos,0.0,0.9996399159458301,-0.9996399159458301
15,text-davinci-003,two_choice_similarity,Mammals,Beavers,Hippos,0.0,0.9996756203224677,-0.9996756203224677
16,text-davinci-003,two_choice_similarity,Mammals,Beavers,Elephants,0.0,0.99970279802326,-0.99970279802326
17,text-davinci-003,two_choice_similarity,Mammals,Beavers,Horses,0.0,0.9996758567957637,-0.9996758567957637
18,text-davinci-003,two_choice_similarity,Mammals,Beavers,Sheep,0.0,0.9995962853347053,-0.9995962853347053
19,text-davinci-003,two_choice_similarity,Mammals,Beavers,Tigers,0.0,0.9996795557532285,-0.9996795557532285
20,text-davinci-003,two_choice_similarity,Mammals,Beavers,Foxes,0.00011031551276780925,0.9990477438838937,-0.9989374283711259
21,text-davinci-003,two_choice_similarity,Mammals,Beavers,Wolves,1.5735566902104718e-05,0.999602962110412,-0.9995872265435098
22,text-davinci-003,two_choice_similarity,Mammals,Beavers,Zebras,0.0,0.9995396012160611,-0.9995396012160611
23,text-davinci-003,two_choice_similarity,Mammals,Camels,Beavers,0.0,0.9996892086056544,-0.9996892086056544
24,text-davinci-003,two_choice_similarity,Mammals,Camels,Squirrels,0.0,0.9996291882676709,-0.9996291882676709
25,text-davinci-003,two_choice_similarity,Mammals,Camels,Hedgehogs,0.0,0.9996902830122117,-0.9996902830122117
26,text-davinci-003,two_choice_similarity,Mammals,Camels,Donkeys,2.5629833856326495e-05,0.999523091527015,-0.9994974616931587
27,text-davinci-003,two_choice_similarity,Mammals,Camels,Giraffes,0.0,0.9995504489883504,-0.9995504489883504
28,text-davinci-003,two_choice_similarity,Mammals,Camels,Hamsters,0.0,0.999646710281515,-0.999646710281515
29,text-davinci-003,two_choice_similarity,Mammals,Camels,Deer,0.0,0.9996184607046361,-0.9996184607046361
30,text-davinci-003,two_choice_similarity,Mammals,Camels,Dogs,0.0,0.999653982297938,-0.999653982297938
31,text-davinci-003,two_choice_similarity,Mammals,Camels,Cats,0.0,0.9996206037889512,-0.9996206037889512
32,text-davinci-003,two_choice_similarity,Mammals,Camels,Cows,3.514163317666587e-05,0.9994931698817985,-0.9994580282486218
33,text-davinci-003,two_choice_similarity,Mammals,Camels,Rabbits,0.0,0.9996270433256377,-0.9996270433256377
34,text-davinci-003,two_choice_similarity,Mammals,Camels,Llamas,0.0028078823271002378,0.9956708797735028,-0.9928629974464025
35,text-davinci-003,two_choice_similarity,Mammals,Camels,Lions,0.0,0.9996595841146403,-0.9996595841146403
36,text-davinci-003,two_choice_similarity,Mammals,Camels,Mice,0.0,0.9996551748858503,-0.9996551748858503
37,text-davinci-003,two_choice_similarity,Mammals,Camels,Rhinos,0.0,0.9996147619432432,-0.9996147619432432
38,text-davinci-003,two_choice_similarity,Mammals,Camels,Hippos,0.0,0.9996154788172268,-0.9996154788172268
39,text-davinci-003,two_choice_similarity,Mammals,Camels,Elephants,3.6131048247840954e-05,0.9994284988690181,-0.9993923678207702
40,text-davinci-003,two_choice_similarity,Mammals,Camels,Horses,0.0030663541389515615,0.9962858262700819,-0.9932194721311304
41,text-davinci-003,two_choice_similarity,Mammals,Camels,Sheep,2.6908202101229756e-06,0.9994795805152212,-0.9994768896950111
42,text-davinci-003,two_choice_similarity,Mammals,Camels,Tigers,0.0,0.9997124548490336,-0.9997124548490336
43,text-davinci-003,two_choice_similarity,Mammals,Camels,Foxes,0.0,0.9996253730901914,-0.9996253730901914
44,text-davinci-003,two_choice_similarity,Mammals,Camels,Wolves,0.0,0.9996573199282328,-0.9996573199282328
45,text-davinci-003,two_choice_similarity,Mammals,Camels,Zebras,0.0,0.9995124804962712,-0.9995124804962712
46,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Beavers,0.016646230243375276,0.9826162191727396,-0.9659699889293643
47,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Camels,0.0,0.9996258507113088,-0.9996258507113088
48,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Hedgehogs,3.021868851429546e-05,0.9992755519393014,-0.9992453332507871
49,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Donkeys,0.0,0.999631573435741,-0.999631573435741
50,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Giraffes,0.0,0.9996117838254077,-0.9996117838254077
51,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Hamsters,0.0009143860513766612,0.9973225970537849,-0.9964082110024083
52,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Deer,1.2421384676901512e-05,0.9993916015894132,-0.9993791802047363
53,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Dogs,0.0001651971415488761,0.9988514663702064,-0.9986862692286576
54,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Cats,0.00010477734323034729,0.9990559680188288,-0.9989511906755985
55,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Cows,0.0,0.9996670963947063,-0.9996670963947063
56,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Rabbits,0.043261910337037975,0.9544442596068041,-0.9111823492697662
57,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Llamas,0.0,0.9995898487950117,-0.9995898487950117
58,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Lions,0.0,0.999666498693928,-0.999666498693928
59,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Mice,0.05637750768112711,0.9403358530992809,-0.8839583454181538
60,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Rhinos,0.0,0.9996737126632951,-0.9996737126632951
61,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Hippos,0.0,0.9996859919108629,-0.9996859919108629
62,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Elephants,0.0,0.9996786014595801,-0.9996786014595801
63,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Horses,0.0,0.9996824158405289,-0.9996824158405289
64,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Sheep,0.0,0.9996668571244154,-0.9996668571244154
65,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Tigers,0.0,0.9996680506873686,-0.9996680506873686
66,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Foxes,0.00021443454879110644,0.9981208876464952,-0.9979064530977041
67,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Wolves,0.0,0.9996924300093505,-0.9996924300093505
68,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Zebras,0.0,0.999546040240926,-0.999546040240926
69,text-davinci-003,two_choice_similarity,Mammals,Hedgehogs,Beavers,0.0,0.9994270691376016,-0.9994270691376016
70,text-davinci-003,two_choice_similarity,Mammals,Hedgehogs,Camels,0.0,0.9995860948123959,-0.9995860948123959
71,text-davinci-003,two_choice_similarity,Mammals,Hedgehogs,Squirrels,0.005144238131800596,0.9921937205003613,-0.9870494823685606
72,text-davinci-003,two_choice_similarity,Mammals,Hedgehogs,Donkeys,0.0,0.9996092786114905,-0.9996092786114905
73,text-davinci-003,two_choice_similarity,Mammals,Hedgehogs,Giraffes,0.0,0.9996938609701189,-0.9996938609701189
