,domain,c1,c2,prompt_name,prompt
0,Mammals,Beavers,Camels,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and camels on a scale of 0 to 20? Answer with a single number.
Answer:"
1,Mammals,Beavers,Squirrels,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and squirrels on a scale of 0 to 20? Answer with a single number.
Answer:"
2,Mammals,Beavers,Hedgehogs,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and hedgehogs on a scale of 0 to 20? Answer with a single number.
Answer:"
3,Mammals,Beavers,Donkeys,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and donkeys on a scale of 0 to 20? Answer with a single number.
Answer:"
4,Mammals,Beavers,Giraffes,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and giraffes on a scale of 0 to 20? Answer with a single number.
Answer:"
5,Mammals,Beavers,Hamsters,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and hamsters on a scale of 0 to 20? Answer with a single number.
Answer:"
6,Mammals,Beavers,Deer,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and deer on a scale of 0 to 20? Answer with a single number.
Answer:"
7,Mammals,Beavers,Dogs,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and dogs on a scale of 0 to 20? Answer with a single number.
Answer:"
8,Mammals,Beavers,Cats,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and cats on a scale of 0 to 20? Answer with a single number.
Answer:"
9,Mammals,Beavers,Cows,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and cows on a scale of 0 to 20? Answer with a single number.
Answer:"
10,Mammals,Beavers,Rabbits,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and rabbits on a scale of 0 to 20? Answer with a single number.
Answer:"
11,Mammals,Beavers,Llamas,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and llamas on a scale of 0 to 20? Answer with a single number.
Answer:"
12,Mammals,Beavers,Lions,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and lions on a scale of 0 to 20? Answer with a single number.
Answer:"
13,Mammals,Beavers,Mice,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and mice on a scale of 0 to 20? Answer with a single number.
Answer:"
14,Mammals,Beavers,Rhinos,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and rhinos on a scale of 0 to 20? Answer with a single number.
Answer:"
15,Mammals,Beavers,Hippos,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and hippos on a scale of 0 to 20? Answer with a single number.
Answer:"
16,Mammals,Beavers,Elephants,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and elephants on a scale of 0 to 20? Answer with a single number.
Answer:"
17,Mammals,Beavers,Horses,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and horses on a scale of 0 to 20? Answer with a single number.
Answer:"
18,Mammals,Beavers,Sheep,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and sheep on a scale of 0 to 20? Answer with a single number.
Answer:"
19,Mammals,Beavers,Tigers,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and tigers on a scale of 0 to 20? Answer with a single number.
Answer:"
20,Mammals,Beavers,Foxes,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and foxes on a scale of 0 to 20? Answer with a single number.
Answer:"
21,Mammals,Beavers,Wolves,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and wolves on a scale of 0 to 20? Answer with a single number.
Answer:"
22,Mammals,Beavers,Zebras,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are beavers and zebras on a scale of 0 to 20? Answer with a single number.
Answer:"
23,Mammals,Camels,Beavers,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and beavers on a scale of 0 to 20? Answer with a single number.
Answer:"
24,Mammals,Camels,Squirrels,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and squirrels on a scale of 0 to 20? Answer with a single number.
Answer:"
25,Mammals,Camels,Hedgehogs,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and hedgehogs on a scale of 0 to 20? Answer with a single number.
Answer:"
26,Mammals,Camels,Donkeys,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and donkeys on a scale of 0 to 20? Answer with a single number.
Answer:"
27,Mammals,Camels,Giraffes,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and giraffes on a scale of 0 to 20? Answer with a single number.
Answer:"
28,Mammals,Camels,Hamsters,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and hamsters on a scale of 0 to 20? Answer with a single number.
Answer:"
29,Mammals,Camels,Deer,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and deer on a scale of 0 to 20? Answer with a single number.
Answer:"
30,Mammals,Camels,Dogs,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and dogs on a scale of 0 to 20? Answer with a single number.
Answer:"
31,Mammals,Camels,Cats,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and cats on a scale of 0 to 20? Answer with a single number.
Answer:"
32,Mammals,Camels,Cows,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and cows on a scale of 0 to 20? Answer with a single number.
Answer:"
33,Mammals,Camels,Rabbits,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and rabbits on a scale of 0 to 20? Answer with a single number.
Answer:"
34,Mammals,Camels,Llamas,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and llamas on a scale of 0 to 20? Answer with a single number.
Answer:"
35,Mammals,Camels,Lions,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and lions on a scale of 0 to 20? Answer with a single number.
Answer:"
36,Mammals,Camels,Mice,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and mice on a scale of 0 to 20? Answer with a single number.
Answer:"
37,Mammals,Camels,Rhinos,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and rhinos on a scale of 0 to 20? Answer with a single number.
Answer:"
38,Mammals,Camels,Hippos,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and hippos on a scale of 0 to 20? Answer with a single number.
Answer:"
39,Mammals,Camels,Elephants,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and elephants on a scale of 0 to 20? Answer with a single number.
Answer:"
40,Mammals,Camels,Horses,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and horses on a scale of 0 to 20? Answer with a single number.
Answer:"
41,Mammals,Camels,Sheep,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and sheep on a scale of 0 to 20? Answer with a single number.
Answer:"
42,Mammals,Camels,Tigers,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and tigers on a scale of 0 to 20? Answer with a single number.
Answer:"
43,Mammals,Camels,Foxes,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and foxes on a scale of 0 to 20? Answer with a single number.
Answer:"
44,Mammals,Camels,Wolves,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and wolves on a scale of 0 to 20? Answer with a single number.
Answer:"
45,Mammals,Camels,Zebras,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are camels and zebras on a scale of 0 to 20? Answer with a single number.
Answer:"
46,Mammals,Squirrels,Beavers,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and beavers on a scale of 0 to 20? Answer with a single number.
Answer:"
47,Mammals,Squirrels,Camels,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and camels on a scale of 0 to 20? Answer with a single number.
Answer:"
48,Mammals,Squirrels,Hedgehogs,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and hedgehogs on a scale of 0 to 20? Answer with a single number.
Answer:"
49,Mammals,Squirrels,Donkeys,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and donkeys on a scale of 0 to 20? Answer with a single number.
Answer:"
50,Mammals,Squirrels,Giraffes,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and giraffes on a scale of 0 to 20? Answer with a single number.
Answer:"
51,Mammals,Squirrels,Hamsters,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and hamsters on a scale of 0 to 20? Answer with a single number.
Answer:"
52,Mammals,Squirrels,Deer,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and deer on a scale of 0 to 20? Answer with a single number.
Answer:"
53,Mammals,Squirrels,Dogs,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and dogs on a scale of 0 to 20? Answer with a single number.
Answer:"
54,Mammals,Squirrels,Cats,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and cats on a scale of 0 to 20? Answer with a single number.
Answer:"
55,Mammals,Squirrels,Cows,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and cows on a scale of 0 to 20? Answer with a single number.
Answer:"
56,Mammals,Squirrels,Rabbits,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and rabbits on a scale of 0 to 20? Answer with a single number.
Answer:"
57,Mammals,Squirrels,Llamas,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and llamas on a scale of 0 to 20? Answer with a single number.
Answer:"
58,Mammals,Squirrels,Lions,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and lions on a scale of 0 to 20? Answer with a single number.
Answer:"
59,Mammals,Squirrels,Mice,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and mice on a scale of 0 to 20? Answer with a single number.
Answer:"
60,Mammals,Squirrels,Rhinos,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and rhinos on a scale of 0 to 20? Answer with a single number.
Answer:"
61,Mammals,Squirrels,Hippos,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and hippos on a scale of 0 to 20? Answer with a single number.
Answer:"
62,Mammals,Squirrels,Elephants,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and elephants on a scale of 0 to 20? Answer with a single number.
Answer:"
63,Mammals,Squirrels,Horses,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and horses on a scale of 0 to 20? Answer with a single number.
Answer:"
64,Mammals,Squirrels,Sheep,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and sheep on a scale of 0 to 20? Answer with a single number.
Answer:"
65,Mammals,Squirrels,Tigers,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and tigers on a scale of 0 to 20? Answer with a single number.
Answer:"
66,Mammals,Squirrels,Foxes,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and foxes on a scale of 0 to 20? Answer with a single number.
Answer:"
67,Mammals,Squirrels,Wolves,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and wolves on a scale of 0 to 20? Answer with a single number.
Answer:"
68,Mammals,Squirrels,Zebras,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are squirrels and zebras on a scale of 0 to 20? Answer with a single number.
Answer:"
69,Mammals,Hedgehogs,Beavers,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are hedgehogs and beavers on a scale of 0 to 20? Answer with a single number.
Answer:"
70,Mammals,Hedgehogs,Camels,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are hedgehogs and camels on a scale of 0 to 20? Answer with a single number.
Answer:"
71,Mammals,Hedgehogs,Squirrels,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are hedgehogs and squirrels on a scale of 0 to 20? Answer with a single number.
Answer:"
72,Mammals,Hedgehogs,Donkeys,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are hedgehogs and donkeys on a scale of 0 to 20? Answer with a single number.
Answer:"
73,Mammals,Hedgehogs,Giraffes,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are hedgehogs and giraffes on a scale of 0 to 20? Answer with a single number.
Answer:"
74,Mammals,Hedgehogs,Hamsters,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are hedgehogs and hamsters on a scale of 0 to 20? Answer with a single number.
Answer:"
75,Mammals,Hedgehogs,Deer,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are hedgehogs and deer on a scale of 0 to 20? Answer with a single number.
Answer:"
76,Mammals,Hedgehogs,Dogs,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are hedgehogs and dogs on a scale of 0 to 20? Answer with a single number.
Answer:"
77,Mammals,Hedgehogs,Cats,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are hedgehogs and cats on a scale of 0 to 20? Answer with a single number.
Answer:"
78,Mammals,Hedgehogs,Cows,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are hedgehogs and cows on a scale of 0 to 20? Answer with a single number.
Answer:"
79,Mammals,Hedgehogs,Rabbits,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are hedgehogs and rabbits on a scale of 0 to 20? Answer with a single number.
Answer:"
80,Mammals,Hedgehogs,Llamas,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are hedgehogs and llamas on a scale of 0 to 20? Answer with a single number.
Answer:"
81,Mammals,Hedgehogs,Lions,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are hedgehogs and lions on a scale of 0 to 20? Answer with a single number.
Answer:"
82,Mammals,Hedgehogs,Mice,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are hedgehogs and mice on a scale of 0 to 20? Answer with a single number.
Answer:"
83,Mammals,Hedgehogs,Rhinos,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are hedgehogs and rhinos on a scale of 0 to 20? Answer with a single number.
Answer:"
84,Mammals,Hedgehogs,Hippos,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are hedgehogs and hippos on a scale of 0 to 20? Answer with a single number.
Answer:"
85,Mammals,Hedgehogs,Elephants,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are hedgehogs and elephants on a scale of 0 to 20? Answer with a single number.
Answer:"
86,Mammals,Hedgehogs,Horses,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are hedgehogs and horses on a scale of 0 to 20? Answer with a single number.
Answer:"
87,Mammals,Hedgehogs,Sheep,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are hedgehogs and sheep on a scale of 0 to 20? Answer with a single number.
Answer:"
88,Mammals,Hedgehogs,Tigers,two_choice_similarity,"You are an expert on mammals and the different properties that they have. With these properties in mind, we will ask you whether two mammals are similar or not.

Question: With their respective properties in mind, how similar are hedgehogs and tigers on a scale of 0 to 20? Answer with a single number.
Answer:"
