"uid","tid","trialId","premises0","conclusion0","conclusionType","rating"
"0hfJf7ESSEYVVsuYAFuo","tid_experiment2_dedeyne_participant317","tc0","Beavers:Rabbits","All mammals","specific",7
"0hfJf7ESSEYVVsuYAFuo","tid_experiment2_dedeyne_participant317","tc10","Deer:Squirrels","All mammals","specific",85
"0hfJf7ESSEYVVsuYAFuo","tid_experiment2_dedeyne_participant317","tc11","Dogs","All mammals","specific",36
"0hfJf7ESSEYVVsuYAFuo","tid_experiment2_dedeyne_participant317","tc12","Mice","All mammals","specific",52
"0hfJf7ESSEYVVsuYAFuo","tid_experiment2_dedeyne_participant317","tc13","Tigers","All mammals","specific",55
"0hfJf7ESSEYVVsuYAFuo","tid_experiment2_dedeyne_participant317","tc14","Hedgehogs","All mammals","specific",58
"0hfJf7ESSEYVVsuYAFuo","tid_experiment2_dedeyne_participant317","tc15","Cats","All mammals","specific",60
"0hfJf7ESSEYVVsuYAFuo","tid_experiment2_dedeyne_participant317","tc16","All animals","All mammals","specific",96
"0hfJf7ESSEYVVsuYAFuo","tid_experiment2_dedeyne_participant317","tc17","Lions","All mammals","specific",63
"0hfJf7ESSEYVVsuYAFuo","tid_experiment2_dedeyne_participant317","tc18","Deer","All mammals","specific",67
"0hfJf7ESSEYVVsuYAFuo","tid_experiment2_dedeyne_participant317","tc19","Foxes","All mammals","specific",69
"0hfJf7ESSEYVVsuYAFuo","tid_experiment2_dedeyne_participant317","tc1","Hippos:Hedgehogs","All mammals","specific",22
"0hfJf7ESSEYVVsuYAFuo","tid_experiment2_dedeyne_participant317","tc20","Llamas","All mammals","specific",70
"0hfJf7ESSEYVVsuYAFuo","tid_experiment2_dedeyne_participant317","tc21","Hippos","All mammals","specific",70
"0hfJf7ESSEYVVsuYAFuo","tid_experiment2_dedeyne_participant317","tc22","Donkeys","All mammals","specific",63
"0hfJf7ESSEYVVsuYAFuo","tid_experiment2_dedeyne_participant317","tc23","Cows","All mammals","specific",69
"0hfJf7ESSEYVVsuYAFuo","tid_experiment2_dedeyne_participant317","tc24","All living things","All mammals","specific",100
"0hfJf7ESSEYVVsuYAFuo","tid_experiment2_dedeyne_participant317","tc25","Camels","All mammals","specific",69
"0hfJf7ESSEYVVsuYAFuo","tid_experiment2_dedeyne_participant317","tc26","Rabbits","All mammals","specific",70
"0hfJf7ESSEYVVsuYAFuo","tid_experiment2_dedeyne_participant317","tc27","Elephants","All mammals","specific",70
"0hfJf7ESSEYVVsuYAFuo","tid_experiment2_dedeyne_participant317","tc28","Rhinos","All mammals","specific",73
