"uid","tid","trialId","premises0","conclusion0","conclusionType","rating"
"05tXmlRVdAMzA5dQvsSC","tid_experiment2_dedeyne_participant144","tc0","Airplanes","All vehicles","general",64
"05tXmlRVdAMzA5dQvsSC","tid_experiment2_dedeyne_participant144","tc10","Mopeds","All vehicles","general",34
"05tXmlRVdAMzA5dQvsSC","tid_experiment2_dedeyne_participant144","tc11","Sleds","All vehicles","general",62
"05tXmlRVdAMzA5dQvsSC","tid_experiment2_dedeyne_participant144","tc12","Submarines","All vehicles","general",47
"05tXmlRVdAMzA5dQvsSC","tid_experiment2_dedeyne_participant144","tc13","Trucks","All vehicles","general",63
"05tXmlRVdAMzA5dQvsSC","tid_experiment2_dedeyne_participant144","tc14","Carriages","All vehicles","general",38
"05tXmlRVdAMzA5dQvsSC","tid_experiment2_dedeyne_participant144","tc15","Jeeps","All vehicles","general",68
"05tXmlRVdAMzA5dQvsSC","tid_experiment2_dedeyne_participant144","tc16","All things","All vehicles","general",67
"05tXmlRVdAMzA5dQvsSC","tid_experiment2_dedeyne_participant144","tc17","Boats","All vehicles","general",35
"05tXmlRVdAMzA5dQvsSC","tid_experiment2_dedeyne_participant144","tc18","Buses","All vehicles","general",54
"05tXmlRVdAMzA5dQvsSC","tid_experiment2_dedeyne_participant144","tc19","Taxis","All vehicles","general",35
"05tXmlRVdAMzA5dQvsSC","tid_experiment2_dedeyne_participant144","tc1","Carts","All vehicles","general",64
"05tXmlRVdAMzA5dQvsSC","tid_experiment2_dedeyne_participant144","tc20","Hovercraft","All vehicles","general",66
"05tXmlRVdAMzA5dQvsSC","tid_experiment2_dedeyne_participant144","tc21","Helicopters","All vehicles","general",31
"05tXmlRVdAMzA5dQvsSC","tid_experiment2_dedeyne_participant144","tc22","Cars","All vehicles","general",57
"05tXmlRVdAMzA5dQvsSC","tid_experiment2_dedeyne_participant144","tc23","Tractors","All vehicles","general",51
"05tXmlRVdAMzA5dQvsSC","tid_experiment2_dedeyne_participant144","tc24","All things that can move","All vehicles","general",39
"05tXmlRVdAMzA5dQvsSC","tid_experiment2_dedeyne_participant144","tc25","Trams","All vehicles","general",53
"05tXmlRVdAMzA5dQvsSC","tid_experiment2_dedeyne_participant144","tc26","Trains","All vehicles","general",45
"05tXmlRVdAMzA5dQvsSC","tid_experiment2_dedeyne_participant144","tc27","Carriages:Boats","All vehicles","general",50
