,argument_id,domain,conclusion_type,is_single_premise,premises,conclusion,human_raw_rating,gpt3_raw_rating,prompt_generator,gpt4_raw_rating,human_ranking,gpt3_ranking,gpt4_ranking,human_normalised_rating,gpt3_normalised_rating,gpt4_normalised_rating,drop,human_maxsim,gpt3_maxsim,gpt4_maxsim,human_meansim,gpt3_meansim,gpt4_meansim,human_scm,gpt3_scm,gpt4_scm
0,"(('Airplanes', 'Buses'), 'All vehicles')",Vehicles,General,False,"('Airplanes', 'Buses')",All vehicles,2.9,63.91353837831196,S1-C1-A1-Q1-O1,60.0,44.0,43.0,2.0,0.088,0.914,0.996,False,,,,,,,0.7583031400966185,0.6521739130434783,0.7270531400966184
1,"(('Airplanes', 'Buses'), 'All vehicles')",Vehicles,General,False,"('Airplanes', 'Buses')",All vehicles,2.9,63.91353837831196,S3-C1-A1-Q1-O1,70.0,44.0,43.0,1.0,0.088,0.914,0.998,False,,,,,,,0.7583031400966185,0.6521739130434783,0.7270531400966184
2,"(('Airplanes', 'Buses'), 'All vehicles')",Vehicles,General,False,"('Airplanes', 'Buses')",All vehicles,2.9,63.91353837831196,S3-C1-A1-Q3-O1,60.0,44.0,43.0,2.0,0.088,0.914,0.996,False,,,,,,,0.7583031400966185,0.6521739130434783,0.7270531400966184
3,"(('Airplanes', 'Buses'), 'All vehicles')",Vehicles,General,False,"('Airplanes', 'Buses')",All vehicles,2.9,63.91353837831196,S3-C1-A1-Q4-O1,75.0,44.0,43.0,4.0,0.088,0.914,0.992,False,,,,,,,0.7583031400966185,0.6521739130434783,0.7270531400966184
4,"(('Airplanes', 'Buses'), 'All vehicles')",Vehicles,General,False,"('Airplanes', 'Buses')",All vehicles,2.9,63.91353837831196,S3-C1-A1-Q1-O1-T,70.0,44.0,43.0,1.0,0.088,0.914,0.998,False,,,,,,,0.7583031400966185,0.6521739130434783,0.7270531400966184
5,"(('Airplanes', 'Helicopters'), 'All vehicles')",Vehicles,General,False,"('Airplanes', 'Helicopters')",All vehicles,5.6,38.77461362320022,S1-C1-A1-Q1-O1,60.0,14.0,94.0,2.0,0.028,0.812,0.996,False,,,,,,,0.5191727053140097,0.44368961352657,0.5203804347826088
6,"(('Airplanes', 'Helicopters'), 'All vehicles')",Vehicles,General,False,"('Airplanes', 'Helicopters')",All vehicles,5.6,38.77461362320022,S3-C1-A1-Q1-O1,60.0,14.0,94.0,2.0,0.028,0.812,0.996,False,,,,,,,0.5191727053140097,0.44368961352657,0.5203804347826088
7,"(('Airplanes', 'Helicopters'), 'All vehicles')",Vehicles,General,False,"('Airplanes', 'Helicopters')",All vehicles,5.6,38.77461362320022,S3-C1-A1-Q3-O1,40.0,14.0,94.0,3.0,0.028,0.812,0.994,False,,,,,,,0.5191727053140097,0.44368961352657,0.5203804347826088
8,"(('Airplanes', 'Helicopters'), 'All vehicles')",Vehicles,General,False,"('Airplanes', 'Helicopters')",All vehicles,5.6,38.77461362320022,S3-C1-A1-Q4-O1,40.0,14.0,94.0,8.0,0.028,0.812,0.984,False,,,,,,,0.5191727053140097,0.44368961352657,0.5203804347826088
9,"(('Airplanes', 'Helicopters'), 'All vehicles')",Vehicles,General,False,"('Airplanes', 'Helicopters')",All vehicles,5.6,38.77461362320022,S3-C1-A1-Q1-O1-T,55.0,14.0,94.0,3.0,0.028,0.812,0.994,False,,,,,,,0.5191727053140097,0.44368961352657,0.5203804347826088
10,"(('Airplanes', 'Taxis'), 'All vehicles')",Vehicles,General,False,"('Airplanes', 'Taxis')",All vehicles,3.5,65.71933320291585,S1-C1-A1-Q1-O1,60.0,40.0,39.0,2.0,0.08,0.922,0.996,False,,,,,,,0.7507548309178743,0.5729166666666666,0.7193538647342995
11,"(('Airplanes', 'Taxis'), 'All vehicles')",Vehicles,General,False,"('Airplanes', 'Taxis')",All vehicles,3.5,65.71933320291585,S3-C1-A1-Q1-O1,70.0,40.0,39.0,1.0,0.08,0.922,0.998,False,,,,,,,0.7507548309178743,0.5729166666666666,0.7193538647342995
12,"(('Airplanes', 'Taxis'), 'All vehicles')",Vehicles,General,False,"('Airplanes', 'Taxis')",All vehicles,3.5,65.71933320291585,S3-C1-A1-Q3-O1,60.0,40.0,39.0,2.0,0.08,0.922,0.996,False,,,,,,,0.7507548309178743,0.5729166666666666,0.7193538647342995
13,"(('Airplanes', 'Taxis'), 'All vehicles')",Vehicles,General,False,"('Airplanes', 'Taxis')",All vehicles,3.5,65.71933320291585,S3-C1-A1-Q4-O1,70.0,40.0,39.0,5.0,0.08,0.922,0.99,False,,,,,,,0.7507548309178743,0.5729166666666666,0.7193538647342995
14,"(('Airplanes', 'Taxis'), 'All vehicles')",Vehicles,General,False,"('Airplanes', 'Taxis')",All vehicles,3.5,65.71933320291585,S3-C1-A1-Q1-O1-T,70.0,40.0,39.0,1.0,0.08,0.922,0.998,False,,,,,,,0.7507548309178743,0.5729166666666666,0.7193538647342995
15,"(('Airplanes', 'Trams'), 'Trains')",Vehicles,Specific,False,"('Airplanes', 'Trams')",Trains,4.3,90.72923974067945,S1-C1-A1-Q1-O1,70.0,42.0,12.0,3.0,0.084,0.976,0.994,False,0.9818840579710145,0.9855072463768116,0.9855072463768116,0.8333333333333334,0.8894927536231885,0.7916666666666667,0.8165006038647342,0.8194444444444444,0.8187650966183575
