,i,domain,conclusion_type,is_single_premise,statistic,pvalue
0,0,Birds,General,False,0.1179272191746904,0.14656067017008675
1,0,Birds,General,True,0.09753191672202183,1.0324420017180247e-08
2,0,Birds,Specific,False,0.018300330708990273,0.8073589089296247
3,0,Birds,Specific,True,0.6229948003889498,1.447109430714326e-125
4,0,Mammals,General,False,7.228393157713938e-05,0.9994305088829849
5,0,Mammals,General,True,0.18594931055459088,4.111829678721577e-20
6,0,Mammals,Specific,False,0.33056287748609864,4.796161385400051e-08
7,0,Mammals,Specific,True,0.7200691084851222,5.322181533619969e-196
8,0,Vehicles,General,False,0.21568953942066582,0.031145067897686583
9,0,Vehicles,General,True,0.5708198542266482,1.3980968995518666e-207
10,0,Vehicles,Specific,False,0.6471291688380968,8.911560567771452e-17
11,0,Vehicles,Specific,True,0.7639061271554397,1.1417090956479904e-171
12,1,Birds,General,False,-0.0015347757549385892,0.9849779557850522
13,1,Birds,General,True,0.08955971825975015,1.4774042609042948e-07
14,1,Birds,Specific,False,0.17721927362205206,0.017314934691400545
15,1,Birds,Specific,True,0.6051981259485466,9.802276988681949e-117
16,1,Mammals,General,False,0.11043630797745344,0.27403030361780767
17,1,Mammals,General,True,0.21989979485479957,1.1408806508192535e-27
18,1,Mammals,Specific,False,0.4501294467359282,2.2444072552984037e-14
19,1,Mammals,Specific,True,0.7013887970557613,9.332962799188958e-182
20,1,Vehicles,General,False,0.33024869931059964,0.0007918294598998418
21,1,Vehicles,General,True,0.5918510551753249,7.798856428746231e-227
22,1,Vehicles,Specific,False,0.6590703636932741,1.5353201263628265e-17
23,1,Vehicles,Specific,True,0.7486066808295646,3.382034518277551e-161
24,2,Birds,General,False,0.09171668228118415,0.2595110919893194
25,2,Birds,General,True,0.07929264634239815,3.3056224465628852e-06
26,2,Birds,Specific,False,0.1490879092361886,0.04577450660885806
27,2,Birds,Specific,True,0.6474763622900296,1.0882765251192355e-138
28,2,Mammals,General,False,0.18106666770551835,0.071414138027287
29,2,Mammals,General,True,0.18869276202117674,1.1301919033111063e-20
30,2,Mammals,Specific,False,0.25914060856763516,2.3277874079148055e-05
31,2,Mammals,Specific,True,0.7095555317213997,7.627584357163438e-188
32,2,Vehicles,General,False,0.3546466922073614,0.0002942650380914521
33,2,Vehicles,General,True,0.5109159318664931,9.617586017539623e-160
34,2,Vehicles,Specific,False,0.6562149607527707,2.3548543083399176e-17
35,2,Vehicles,Specific,True,0.7562889368356958,2.3348147743441517e-166
36,3,Birds,General,False,0.033563706320050846,0.6804335728476512
37,3,Birds,General,True,0.10499743793038842,7.008235572507346e-10
38,3,Birds,Specific,False,0.14114777899996908,0.05876112439596781
39,3,Birds,Specific,True,0.5746787238213104,7.913955103624718e-103
40,3,Mammals,General,False,-0.048044236607563254,0.6350177267281973
41,3,Mammals,General,True,0.20484521136146205,3.755306415270593e-24
42,3,Mammals,Specific,False,0.29436790024542286,1.3575581046749565e-06
43,3,Mammals,Specific,True,0.7310311523592021,6.492923404242114e-205
44,3,Vehicles,General,False,0.2970414505273752,0.0026899256090049174
45,3,Vehicles,General,True,0.5560929375026181,6.6099089525658324e-195
46,3,Vehicles,Specific,False,0.6407877434495415,2.1974962064458324e-16
47,3,Vehicles,Specific,True,0.760234749874288,4.3857620568681215e-169
48,4,Birds,General,False,-0.05476331741384862,0.5013707685296485
49,4,Birds,General,True,0.11495850304958936,1.43234162582558e-11
50,4,Birds,Specific,False,0.12365681599979393,0.09816291342569287
51,4,Birds,Specific,True,0.6149029522753271,1.7612546159330294e-121
52,4,Mammals,General,False,-0.05365786286580081,0.5959630677064347
53,4,Mammals,General,True,0.17981981699345057,6.856484553721291e-19
54,4,Mammals,Specific,False,0.2896202861101493,2.0374769549493368e-06
55,4,Mammals,Specific,True,0.735406023794032,1.3523783593685e-208
56,4,Vehicles,General,False,0.2567978413425302,0.00990589983736822
57,4,Vehicles,General,True,0.5094725491366158,1.0497579635084803e-158
58,4,Vehicles,Specific,False,0.6915094700109712,8.416988749505044e-20
59,4,Vehicles,Specific,True,0.750783193762178,1.2195746216924664e-162
60,5,Birds,General,False,0.11154125121756635,0.16985747687509822
61,5,Birds,General,True,0.13200564237648374,8.196465646200024e-15
62,5,Birds,Specific,False,0.2197592070740397,0.003035094731720101
63,5,Birds,Specific,True,0.5953605708499853,4.340304550478861e-112
64,5,Mammals,General,False,-0.012069967882092712,0.905127592545396
65,5,Mammals,General,True,0.1971771812036286,1.8354295777416956e-22
66,5,Mammals,Specific,False,0.3287226324395094,5.7468005479944605e-08
67,5,Mammals,Specific,True,0.7102556922776461,2.2418282015013807e-188
68,5,Vehicles,General,False,0.3048881436828547,0.0020400727584091783
69,5,Vehicles,General,True,0.5622878050262604,3.683820552565531e-200
70,5,Vehicles,Specific,False,0.6316235600266138,7.807057238746596e-16
71,5,Vehicles,Specific,True,0.7588294619362835,4.1591499818992945e-168
72,6,Birds,General,False,-0.05406364946024433,0.5068618926905123
73,6,Birds,General,True,0.10419132334582959,9.457684685959365e-10
74,6,Birds,Specific,False,0.07997275923470695,0.28588942409785495
