,domain,phenomenon_number,phenomenon_name,sample_num,arg1_premises,arg1_conclusion,arg2_premises,arg2_conclusion,is_osherson,arg2_is_stronger
0,Birds,1,Premise-conclusion Similarity,-1,"['robin', 'bluejay']",sparrow,"['robin', 'bluejay']",goose,True,False
1,Birds,1,Premise-conclusion Similarity,0,['Falcons'],Herons,['Penguins'],Herons,False,False
2,Birds,1,Premise-conclusion Similarity,1,['Ostriches'],Seagulls,['Magpies'],Seagulls,False,True
3,Birds,1,Premise-conclusion Similarity,2,['Magpies'],Sparrows,['Storks'],Sparrows,False,False
4,Birds,1,Premise-conclusion Similarity,3,['Ostriches'],Storks,['Roosters'],Storks,False,False
5,Birds,1,Premise-conclusion Similarity,4,['Ostriches'],Turkeys,['Penguins'],Turkeys,False,False
6,Birds,1,Premise-conclusion Similarity,5,['Falcons'],Swallows,['Penguins'],Swallows,False,False
7,Birds,1,Premise-conclusion Similarity,7,['Parrots'],Canaries,['Penguins'],Canaries,False,False
8,Birds,1,Premise-conclusion Similarity,10,['Swans'],Falcons,['Vultures'],Falcons,False,True
9,Birds,1,Premise-conclusion Similarity,11,['Roosters'],Turkeys,['Penguins'],Turkeys,False,False
10,Birds,1,Premise-conclusion Similarity,12,['Chickens'],Eagles,['Owls'],Eagles,False,True
11,Birds,1,Premise-conclusion Similarity,13,['Vultures'],Herons,['Penguins'],Herons,False,False
12,Birds,1,Premise-conclusion Similarity,14,['Ducks'],Doves,['Ostriches'],Doves,False,False
13,Birds,1,Premise-conclusion Similarity,16,['Penguins'],Vultures,['Ostriches'],Vultures,False,True
14,Birds,1,Premise-conclusion Similarity,19,['Owls'],Eagles,['Ducks'],Eagles,False,False
15,Birds,1,Premise-conclusion Similarity,20,['Falcons'],Canaries,['Parrots'],Canaries,False,True
16,Birds,1,Premise-conclusion Similarity,21,['Swallows'],Magpies,['Swans'],Magpies,False,False
17,Birds,1,Premise-conclusion Similarity,23,['Roosters'],Peacocks,['Penguins'],Peacocks,False,False
18,Birds,1,Premise-conclusion Similarity,24,['Ducks'],Eagles,['Herons'],Eagles,False,True
19,Birds,1,Premise-conclusion Similarity,25,['Ostriches'],Doves,['Seagulls'],Doves,False,True
20,Birds,1,Premise-conclusion Similarity,26,['Penguins'],Doves,['Magpies'],Doves,False,True
21,Birds,1,Premise-conclusion Similarity,28,['Swallows'],Seagulls,['Ostriches'],Seagulls,False,False
22,Birds,1,Premise-conclusion Similarity,30,['Roosters'],Chickens,['Penguins'],Chickens,False,False
23,Birds,1,Premise-conclusion Similarity,34,['Storks'],Blackbirds,['Doves'],Blackbirds,False,True
24,Birds,2,Premise Typicality,-1,['robin'],Birds,['penguin'],Birds,True,False
25,Birds,2,Premise Typicality,0,['Penguins'],Birds,['Sparrows'],Birds,False,True
26,Birds,2,Premise Typicality,1,['Ostriches'],Birds,['Blackbirds'],Birds,False,True
27,Birds,2,Premise Typicality,3,['Ostriches'],Birds,['Doves'],Birds,False,True
28,Birds,2,Premise Typicality,4,['Blackbirds'],Birds,['Chickens'],Birds,False,False
29,Birds,2,Premise Typicality,5,['Chickens'],Birds,['Doves'],Birds,False,True
30,Birds,2,Premise Typicality,6,['Blackbirds'],Birds,['Turkeys'],Birds,False,False
31,Birds,2,Premise Typicality,7,['Roosters'],Birds,['Doves'],Birds,False,True
32,Birds,2,Premise Typicality,9,['Chickens'],Birds,['Crows'],Birds,False,True
33,Birds,2,Premise Typicality,10,['Robins'],Birds,['Chickens'],Birds,False,False
34,Birds,2,Premise Typicality,12,['Ostriches'],Birds,['Robins'],Birds,False,True
35,Birds,2,Premise Typicality,13,['Penguins'],Birds,['Blackbirds'],Birds,False,True
36,Birds,2,Premise Typicality,14,['Doves'],Birds,['Penguins'],Birds,False,False
37,Birds,2,Premise Typicality,16,['Roosters'],Birds,['Crows'],Birds,False,True
38,Birds,2,Premise Typicality,18,['Blackbirds'],Birds,['Roosters'],Birds,False,False
39,Birds,2,Premise Typicality,19,['Crows'],Birds,['Turkeys'],Birds,False,False
40,Birds,2,Premise Typicality,22,['Crows'],Birds,['Penguins'],Birds,False,False
41,Birds,2,Premise Typicality,24,['Doves'],Birds,['Turkeys'],Birds,False,False
42,Birds,2,Premise Typicality,31,['Sparrows'],Birds,['Turkeys'],Birds,False,False
43,Birds,2,Premise Typicality,34,['Roosters'],Birds,['Sparrows'],Birds,False,True
