,pid,tid,domain,conclusion_type,is_osherson,premises,conclusion,rating,argument,is_single_premise,is_control,cut_participant
0,101,0,Mammals,General,False,"('Elephants',)",All mammals,42,"(('Elephants',), 'All mammals')",True,False,False
1,101,1,Mammals,General,False,"('Cows',)",All mammals,27,"(('Cows',), 'All mammals')",True,False,False
2,101,10,Mammals,General,False,"('Horses',)",All mammals,40,"(('Horses',), 'All mammals')",True,False,False
3,101,11,Mammals,General,False,"('Rhinos',)",All mammals,31,"(('Rhinos',), 'All mammals')",True,False,False
4,101,12,Mammals,General,False,"('Dogs',)",All mammals,41,"(('Dogs',), 'All mammals')",True,False,False
5,101,13,Mammals,General,False,"('Hippos',)",All mammals,38,"(('Hippos',), 'All mammals')",True,False,False
6,101,14,Mammals,General,False,"('Hedgehogs',)",All mammals,29,"(('Hedgehogs',), 'All mammals')",True,False,False
7,101,15,Mammals,General,False,"('Zebras',)",All mammals,23,"(('Zebras',), 'All mammals')",True,False,False
8,101,16,Mammals,General,False,"('All living things',)",All mammals,100,"(('All living things',), 'All mammals')",True,True,False
9,101,17,Mammals,General,False,"('Deer',)",All mammals,39,"(('Deer',), 'All mammals')",True,False,False
10,101,18,Mammals,General,False,"('Beavers',)",All mammals,23,"(('Beavers',), 'All mammals')",True,False,False
11,101,19,Mammals,General,False,"('Squirrels',)",All mammals,18,"(('Squirrels',), 'All mammals')",True,False,False
12,101,2,Mammals,General,False,"('Giraffes',)",All mammals,32,"(('Giraffes',), 'All mammals')",True,False,False
13,101,20,Mammals,General,False,"('Donkeys',)",All mammals,31,"(('Donkeys',), 'All mammals')",True,False,False
14,101,21,Mammals,General,False,"('Cats',)",All mammals,23,"(('Cats',), 'All mammals')",True,False,False
15,101,22,Mammals,General,False,"('Llamas',)",All mammals,28,"(('Llamas',), 'All mammals')",True,False,False
16,101,23,Mammals,General,False,"('Sheep',)",All mammals,25,"(('Sheep',), 'All mammals')",True,False,False
17,101,24,Mammals,General,False,"('All plants and animals',)",All mammals,100,"(('All plants and animals',), 'All mammals')",True,True,False
18,101,25,Mammals,General,False,"('Camels',)",All mammals,26,"(('Camels',), 'All mammals')",True,False,False
19,101,26,Mammals,General,False,"('Tigers',)",All mammals,23,"(('Tigers',), 'All mammals')",True,False,False
20,101,27,Mammals,General,False,"('Camels', 'Giraffes')",All mammals,55,"(('Camels', 'Giraffes'), 'All mammals')",False,False,False
21,101,28,Mammals,General,False,"('Sheep', 'Beavers')",All mammals,71,"(('Sheep', 'Beavers'), 'All mammals')",False,False,False
22,101,29,Mammals,General,False,"('Tigers', 'Hedgehogs')",All mammals,63,"(('Tigers', 'Hedgehogs'), 'All mammals')",False,False,False
