,pid,tid,domain,conclusion_type,is_osherson,premises,conclusion,rating,argument,is_single_premise,is_control,is_tutorial,light_cut,medium_cut,hard_cut
0,0,0,Mammals,Specific,True,"('Cows',)",Horses,19,"(('Cows',), 'Horses')",True,False,False,False,False,False
1,0,1,Mammals,Specific,True,"('Mice',)",Horses,0,"(('Mice',), 'Horses')",True,False,False,False,False,False
2,0,10,Mammals,Specific,True,"('Mice', 'Seals')",Horses,39,"(('Mice', 'Seals'), 'Horses')",False,False,False,False,False,False
3,0,11,Mammals,Specific,True,"('Chimps', 'Mice')",Horses,31,"(('Chimps', 'Mice'), 'Horses')",False,False,False,False,False,False
4,0,12,Mammals,Specific,True,"('Mice', 'Rhinos')",Horses,39,"(('Mice', 'Rhinos'), 'Horses')",False,False,False,False,False,False
5,0,13,Mammals,Specific,True,"('Seals', 'Elephants')",Horses,48,"(('Seals', 'Elephants'), 'Horses')",False,False,False,False,False,False
6,0,14,Mammals,Specific,True,"('Squirrels', 'Dolphins')",Horses,50,"(('Squirrels', 'Dolphins'), 'Horses')",False,False,False,False,False,False
7,0,15,Mammals,Specific,True,"('Cows', 'Gorillas')",Horses,51,"(('Cows', 'Gorillas'), 'Horses')",False,False,False,False,False,False
8,0,16,Mammals,Specific,True,"('Canines', 'Puppies')",Dogs,100,"(('Canines', 'Puppies'), 'Dogs')",False,True,False,False,False,False
9,0,17,Mammals,Specific,True,"('Chimps', 'Elephants')",Horses,33,"(('Chimps', 'Elephants'), 'Horses')",False,False,False,False,False,False
10,0,18,Mammals,Specific,True,"('Cows', 'Seals')",Horses,50,"(('Cows', 'Seals'), 'Horses')",False,False,False,False,False,False
11,0,19,Mammals,Specific,True,"('Gorillas', 'Seals')",Horses,31,"(('Gorillas', 'Seals'), 'Horses')",False,False,False,False,False,False
12,0,2,Mammals,Specific,True,"('Rhinos',)",Horses,21,"(('Rhinos',), 'Horses')",True,False,False,False,False,False
13,0,20,Mammals,Specific,True,"('Seals', 'Rhinos')",Horses,27,"(('Seals', 'Rhinos'), 'Horses')",False,False,False,False,False,False
14,0,3,Mammals,Specific,True,"('Elephants',)",Horses,18,"(('Elephants',), 'Horses')",True,False,False,False,False,False
15,0,4,Mammals,Specific,True,"('Gorillas',)",Horses,2,"(('Gorillas',), 'Horses')",True,False,False,False,False,False
16,0,5,Mammals,Specific,True,"('Chimps',)",Horses,1,"(('Chimps',), 'Horses')",True,False,False,False,False,False
17,0,6,Mammals,Specific,True,"('Dolphins',)",Horses,0,"(('Dolphins',), 'Horses')",True,False,False,False,False,False
18,0,7,Mammals,Specific,True,"('Seals',)",Horses,1,"(('Seals',), 'Horses')",True,False,False,False,False,False
19,0,8,Mammals,Specific,True,"('Dogs',)",Canines,100,"(('Dogs',), 'Canines')",True,False,False,False,False,False
20,0,9,Mammals,Specific,True,"('Squirrels',)",Horses,14,"(('Squirrels',), 'Horses')",True,False,False,False,False,False
21,0,training_3_0,Mammals,Specific,True,"('Pineapples',)",Raspberries,56,"(('Pineapples',), 'Raspberries')",True,False,True,False,False,False
