,domain,conclusion_type,argument_type,gpt3_mean_spearmanr,gpt4_mean_spearmanr,gpt3_scm_mean_spearmanr,gpt4_scm_mean_spearmanr,human_scm_mean_spearmanr,gpt3_se_spearmanr,gpt4_se_spearmanr,gpt3_scm_se_spearmanr,gpt4_scm_se_spearmanr,human_scm_se_spearmanr
0,Birds,General,multi,0.1642558455806861,0.12009457698987296,0.020921932408221752,0.12606128142258152,0.07295689536174323,0.07425735831864215,0.08282674946213131,0.06320962589331182,0.07058893028447667,0.07777058631260281
1,Birds,General,single,0.4853209685568647,0.344530636828775,0.496169275060685,0.623966918715541,0.16017294467272314,0.05957880385263113,0.06634255999141274,0.05217591269425102,0.06192203613428163,0.04664924027190207
2,Birds,Specific,multi,0.30165102291936724,0.21749471325450997,0.37718386308339774,0.4064276558686008,0.3872127432233784,0.061091479908059375,0.058975242890405,0.059858413371087105,0.06146981318456459,0.056688680956017784
3,Birds,Specific,single,0.4143209612394487,0.40915345594215674,0.5033900368352372,0.48649898501297817,0.5424075035135424,0.03358008000252756,0.033642902820561066,0.03739975722659464,0.0413735797640329,0.038194421975480786
4,Mammals,General,multi,0.2625257020105353,0.17982112920333293,0.2064505329210031,0.23026891379473502,0.2899543271594964,0.08298345353418989,0.07916587300505448,0.07365247768251174,0.07371599630398706,0.07665008427938941
5,Mammals,General,single,0.28613905724824534,-0.05217961897631672,0.5624780950010139,0.6648612644671704,0.6014071118813085,0.05305031708270722,0.06709649673987611,0.05282185899277516,0.05243738905802846,0.05062819835866876
6,Mammals,Specific,multi,0.5830492145811218,0.6531135413180794,0.7023746322005082,0.7289759486447045,0.7174923904719627,0.0343001922326789,0.031727764728921436,0.032313505281709995,0.031484832303567446,0.030776089680520844
7,Mammals,Specific,single,0.5736446081996309,0.6794117689008361,0.6669917648613736,0.7190413581173613,0.7780554320145058,0.030616931746545128,0.030281909690743524,0.026351970573307515,0.03136585394405909,0.024200330320529182
8,Vehicles,General,multi,0.5308688046330107,0.37851287868218897,0.3567991370415967,0.3711144924771827,0.48887575341580414,0.05959707235594931,0.05030514694293504,0.05755885855751076,0.054386388361807446,0.05432727483007262
9,Vehicles,General,single,0.8709144628083386,0.6465485383573811,0.4713395978762691,0.6345011071036005,0.880027907154959,0.018019500573743453,0.019815225230210065,0.033237419055469515,0.02981987116613212,0.01965184168756823
10,Vehicles,Specific,multi,0.6646702656877895,0.720614777239302,0.6793525236713046,0.6556090959251516,0.7280970677840085,0.03681398335305741,0.033267390066981206,0.03660669941580828,0.03504281032767713,0.03308587573452399
11,Vehicles,Specific,single,0.7024903157904354,0.816898669386852,0.7572211564369096,0.7482633988770356,0.8008000761145212,0.025677249625616898,0.022567269753072487,0.021998951200370726,0.020785410338254314,0.019610931312693133
