,prompt_generator,domain,conclusion_type,is_single_premise,gpt3_scm_beats_gpt3,gpt4_beats_gpt3,gpt4_beats_gpt3_scm,gpt3_beats_gpt4_scm,gpt3_beats_gpt4,gpt4_scm_beats_gpt4,human_scm_beats_gpt4,human_scm_beats_gpt4_scm,human_scm_beats_gpt3,human_scm_beats_gpt3_scm
0,S1-C1-A1-Q1-O1,Birds,General,False,0.0,0.006,0.866,0.91,0.994,0.816,0.304,0.076,0.007,0.717
1,S1-C1-A1-Q1-O1,Birds,General,True,0.506,0.0,0.0,0.107,0.0,0.0,0.0,0.044,0.121,0.074
2,S1-C1-A1-Q1-O1,Birds,Specific,False,0.937,0.566,0.066,0.12,0.434,0.827,0.494,0.104,0.563,0.03
3,S1-C1-A1-Q1-O1,Birds,Specific,True,0.931,0.001,0.0,0.09,0.866,0.867,0.867,0.843,0.987,0.821
4,S1-C1-A1-Q1-O1,Mammals,General,False,0.164,0.0,0.003,0.826,1.0,0.999,1.0,0.832,0.446,0.83
5,S1-C1-A1-Q1-O1,Mammals,General,True,0.85,0.0,0.0,0.035,0.0,0.0,0.0,0.339,0.865,0.586
6,S1-C1-A1-Q1-O1,Mammals,Specific,False,0.998,0.353,0.01,0.004,0.647,0.986,1.0,0.998,1.0,0.993
7,S1-C1-A1-Q1-O1,Mammals,Specific,True,0.989,0.0,0.0,0.001,0.961,0.961,0.961,0.939,1.0,0.993
8,S1-C1-A1-Q1-O1,Vehicles,General,False,0.002,0.0,0.24,0.995,1.0,0.888,1.0,0.998,0.309,0.999
9,S1-C1-A1-Q1-O1,Vehicles,General,True,0.0,0.0,0.041,0.988,0.993,0.983,0.993,0.994,0.554,1.0
10,S1-C1-A1-Q1-O1,Vehicles,Specific,False,0.576,0.033,0.032,0.627,0.967,0.869,0.938,0.654,0.434,0.318
11,S1-C1-A1-Q1-O1,Vehicles,Specific,True,0.555,0.0,0.0,0.415,0.991,0.991,0.991,0.9,0.806,0.892
12,S3-C1-A1-Q1-O1,Birds,General,False,0.0,0.076,0.944,0.933,0.924,0.543,0.108,0.068,0.006,0.714
13,S3-C1-A1-Q1-O1,Birds,General,True,0.47,0.031,0.088,0.116,0.969,0.991,0.616,0.036,0.092,0.069
14,S3-C1-A1-Q1-O1,Birds,Specific,False,0.95,0.547,0.075,0.099,0.453,0.849,0.55,0.113,0.577,0.018
15,S3-C1-A1-Q1-O1,Birds,Specific,True,0.933,0.149,0.012,0.088,0.851,0.992,0.997,0.856,0.969,0.818
16,S3-C1-A1-Q1-O1,Mammals,General,False,0.143,0.002,0.047,0.841,0.998,0.968,0.994,0.836,0.42,0.841
17,S3-C1-A1-Q1-O1,Mammals,General,True,0.869,0.25,0.014,0.044,0.75,0.997,0.966,0.314,0.879,0.594
18,S3-C1-A1-Q1-O1,Mammals,Specific,False,0.999,0.738,0.012,0.005,0.262,0.983,1.0,0.996,1.0,0.992
19,S3-C1-A1-Q1-O1,Mammals,Specific,True,0.988,0.405,0.002,0.002,0.595,0.999,1.0,0.941,0.999,0.995
20,S3-C1-A1-Q1-O1,Vehicles,General,False,0.0,0.0,0.14,0.994,1.0,0.929,1.0,0.999,0.32,1.0
21,S3-C1-A1-Q1-O1,Vehicles,General,True,0.0,0.0,0.333,0.983,1.0,0.893,1.0,0.998,0.579,1.0
22,S3-C1-A1-Q1-O1,Vehicles,Specific,False,0.568,0.255,0.225,0.625,0.745,0.568,0.661,0.633,0.446,0.314
23,S3-C1-A1-Q1-O1,Vehicles,Specific,True,0.553,0.135,0.058,0.411,0.865,0.966,0.993,0.917,0.814,0.886
24,S3-C1-A1-Q1-O1-T,Birds,General,False,0.0,0.111,0.97,0.918,0.889,0.506,0.112,0.077,0.012,0.737
25,S3-C1-A1-Q1-O1-T,Birds,General,True,0.487,0.136,0.239,0.132,0.864,0.954,0.266,0.038,0.114,0.084
26,S3-C1-A1-Q1-O1-T,Birds,Specific,False,0.946,0.182,0.013,0.116,0.818,0.987,0.834,0.099,0.542,0.02
27,S3-C1-A1-Q1-O1-T,Birds,Specific,True,0.928,0.501,0.074,0.077,0.499,0.971,0.991,0.856,0.977,0.83
28,S3-C1-A1-Q1-O1-T,Mammals,General,False,0.157,0.025,0.248,0.832,0.975,0.778,0.907,0.823,0.408,0.838
29,S3-C1-A1-Q1-O1-T,Mammals,General,True,0.855,0.032,0.005,0.055,0.93,0.961,0.945,0.335,0.86,0.566
30,S3-C1-A1-Q1-O1-T,Mammals,Specific,False,0.999,1.0,0.82,0.006,0.0,0.127,0.864,0.997,1.0,0.987
31,S3-C1-A1-Q1-O1-T,Mammals,Specific,True,0.987,0.973,0.468,0.0,0.027,0.837,0.995,0.956,1.0,0.996
32,S3-C1-A1-Q1-O1-T,Vehicles,General,False,0.001,0.0,0.533,0.996,1.0,0.607,0.996,0.998,0.327,1.0
33,S3-C1-A1-Q1-O1-T,Vehicles,General,True,0.0,0.02,0.902,0.982,0.975,0.409,0.973,0.996,0.545,1.0
34,S3-C1-A1-Q1-O1-T,Vehicles,Specific,False,0.584,0.869,0.771,0.631,0.131,0.14,0.178,0.646,0.457,0.304
35,S3-C1-A1-Q1-O1-T,Vehicles,Specific,True,0.553,1.0,1.0,0.418,0.0,0.0,0.0,0.892,0.816,0.873
36,S3-C1-A1-Q3-O1,Birds,General,False,0.001,0.049,0.912,0.928,0.951,0.652,0.178,0.06,0.005,0.738
37,S3-C1-A1-Q3-O1,Birds,General,True,0.5,0.006,0.0,0.128,0.994,0.998,0.908,0.034,0.12,0.085
38,S3-C1-A1-Q3-O1,Birds,Specific,False,0.939,0.214,0.008,0.128,0.786,0.985,0.857,0.115,0.543,0.021
39,S3-C1-A1-Q3-O1,Birds,Specific,True,0.911,0.015,0.001,0.105,0.985,1.0,1.0,0.853,0.974,0.848
40,S3-C1-A1-Q3-O1,Mammals,General,False,0.157,0.132,0.435,0.826,0.868,0.567,0.813,0.84,0.425,0.834
41,S3-C1-A1-Q3-O1,Mammals,General,True,0.839,0.334,0.021,0.037,0.666,0.979,0.976,0.347,0.863,0.584
42,S3-C1-A1-Q3-O1,Mammals,Specific,False,0.997,0.847,0.083,0.007,0.153,0.912,1.0,0.995,1.0,0.993
43,S3-C1-A1-Q3-O1,Mammals,Specific,True,0.988,0.348,0.005,0.002,0.652,0.999,1.0,0.941,1.0,0.996
44,S3-C1-A1-Q3-O1,Vehicles,General,False,0.002,0.009,0.544,0.994,0.991,0.633,0.985,0.999,0.331,1.0
45,S3-C1-A1-Q3-O1,Vehicles,General,True,0.001,0.007,0.417,0.982,0.993,0.834,0.997,0.993,0.537,1.0
46,S3-C1-A1-Q3-O1,Vehicles,Specific,False,0.58,0.182,0.084,0.636,0.818,0.707,0.812,0.644,0.457,0.316
47,S3-C1-A1-Q3-O1,Vehicles,Specific,True,0.568,0.819,0.817,0.411,0.181,0.168,0.437,0.881,0.799,0.853
48,S3-C1-A1-Q4-O1,Birds,General,False,0.0,0.028,0.945,0.93,0.972,0.737,0.169,0.073,0.008,0.733
49,S3-C1-A1-Q4-O1,Birds,General,True,0.483,0.115,0.156,0.117,0.885,0.979,0.437,0.035,0.091,0.062
50,S3-C1-A1-Q4-O1,Birds,Specific,False,0.933,0.001,0.0,0.136,0.999,1.0,0.996,0.104,0.562,0.032
51,S3-C1-A1-Q4-O1,Birds,Specific,True,0.926,0.0,0.0,0.063,1.0,1.0,1.0,0.846,0.976,0.834
52,S3-C1-A1-Q4-O1,Mammals,General,False,0.163,0.043,0.122,0.841,0.957,0.869,0.961,0.84,0.444,0.853
