,index,tid
0,0,tid_experiment1_0
1,1,tid_experiment1_1
2,2,tid_experiment1_2
3,3,tid_experiment1_3
4,4,tid_experiment1_4
5,5,tid_experiment1_5
6,6,tid_experiment1_6
7,7,tid_experiment1_7
8,8,tid_experiment1_8
9,9,tid_experiment1_9
10,10,tid_experiment1_10
11,11,tid_experiment1_11
12,12,tid_experiment1_12
13,13,tid_experiment1_13
14,14,tid_experiment1_14
15,15,tid_experiment1_15
16,16,tid_experiment1_16
17,17,tid_experiment1_17
18,18,tid_experiment1_18
19,19,tid_experiment1_19
20,20,tid_experiment1_20
21,21,tid_experiment1_21
22,22,tid_experiment1_22
23,23,tid_experiment1_23
24,24,tid_experiment1_24
25,25,tid_experiment1_25
26,26,tid_experiment1_26
27,27,tid_experiment1_27
28,28,tid_experiment1_28
29,29,tid_experiment1_29
30,30,tid_experiment1_30
31,31,tid_experiment1_31
32,32,tid_experiment1_32
33,33,tid_experiment1_33
34,34,tid_experiment1_34
35,35,tid_experiment1_35
36,36,tid_experiment1_36
37,37,tid_experiment1_37
38,38,tid_experiment1_38
39,39,tid_experiment1_39
40,40,tid_experiment1_40
41,41,tid_experiment1_41
42,42,tid_experiment1_42
43,43,tid_experiment1_43
44,44,tid_experiment1_44
45,45,tid_experiment1_45
46,46,tid_experiment1_46
47,47,tid_experiment1_47
48,48,tid_experiment1_48
49,49,tid_experiment1_49
50,50,tid_experiment1_50
51,51,tid_experiment1_51
52,52,tid_experiment1_52
53,53,tid_experiment1_53
54,54,tid_experiment1_54
55,55,tid_experiment1_55
56,56,tid_experiment1_56
57,57,tid_experiment1_57
58,58,tid_experiment1_58
59,59,tid_experiment1_59
60,60,tid_experiment1_60
61,61,tid_experiment1_61
62,62,tid_experiment1_62
63,63,tid_experiment1_63
64,64,tid_experiment1_64
65,65,tid_experiment1_65
66,66,tid_experiment1_66
67,67,tid_experiment1_67
68,68,tid_experiment1_68
69,69,tid_experiment1_69
70,70,tid_experiment1_70
71,71,tid_experiment1_71
72,72,tid_experiment1_72
73,73,tid_experiment1_73
74,74,tid_experiment1_74
75,75,tid_experiment1_75
76,76,tid_experiment1_76
77,77,tid_experiment1_77
78,78,tid_experiment1_78
79,79,tid_experiment1_79
80,80,tid_experiment1_80
81,81,tid_experiment1_81
82,82,tid_experiment1_82
83,83,tid_experiment1_83
84,84,tid_experiment1_84
85,85,tid_experiment1_85
86,86,tid_experiment1_86
87,87,tid_experiment1_87
88,88,tid_experiment1_88
89,89,tid_experiment1_89
90,90,tid_experiment1_90
91,91,tid_experiment1_91
92,92,tid_experiment1_92
93,93,tid_experiment1_93
94,94,tid_experiment1_94
95,95,tid_experiment1_95
96,96,tid_experiment1_96
97,97,tid_experiment1_97
98,98,tid_experiment1_98
99,99,tid_experiment1_99
100,100,tid_experiment1_100
101,101,tid_experiment1_101
102,102,tid_experiment1_102
103,103,tid_experiment1_103
104,104,tid_experiment1_104
105,105,tid_experiment1_105
106,106,tid_experiment1_106
107,107,tid_experiment1_107
108,108,tid_experiment1_108
109,109,tid_experiment1_109
110,110,tid_experiment1_110
111,111,tid_experiment1_111
112,112,tid_experiment1_112
113,113,tid_experiment1_113
114,114,tid_experiment1_114
115,115,tid_experiment1_115
116,116,tid_experiment1_116
117,117,tid_experiment1_117
118,118,tid_experiment1_118
119,119,tid_experiment1_119
