,model,prompt_name,domain,c1,c2,gpt3_rating
0,text-davinci-003,two_choice_similarity,Mammals,Beavers,Camels,8.715437435656824
1,text-davinci-003,two_choice_similarity,Mammals,Beavers,Squirrels,11.682725826682342
2,text-davinci-003,two_choice_similarity,Mammals,Beavers,Hedgehogs,8.694568771059574
3,text-davinci-003,two_choice_similarity,Mammals,Beavers,Donkeys,7.837370347930311
4,text-davinci-003,two_choice_similarity,Mammals,Beavers,Giraffes,1.3815486195355973
5,text-davinci-003,two_choice_similarity,Mammals,Beavers,Hamsters,9.048480811921923
6,text-davinci-003,two_choice_similarity,Mammals,Beavers,Deer,11.090771494172854
7,text-davinci-003,two_choice_similarity,Mammals,Beavers,Dogs,11.320176793056048
8,text-davinci-003,two_choice_similarity,Mammals,Beavers,Cats,8.44160265172395
9,text-davinci-003,two_choice_similarity,Mammals,Beavers,Cows,8.717431309868164
10,text-davinci-003,two_choice_similarity,Mammals,Beavers,Rabbits,10.779155404131311
11,text-davinci-003,two_choice_similarity,Mammals,Beavers,Llamas,8.768816854440601
12,text-davinci-003,two_choice_similarity,Mammals,Beavers,Lions,7.740557947845896
13,text-davinci-003,two_choice_similarity,Mammals,Beavers,Mice,10.069603435615956
14,text-davinci-003,two_choice_similarity,Mammals,Beavers,Rhinos,8.041398031540673
15,text-davinci-003,two_choice_similarity,Mammals,Beavers,Hippos,8.65967572126673
16,text-davinci-003,two_choice_similarity,Mammals,Beavers,Elephants,7.340883949488959
17,text-davinci-003,two_choice_similarity,Mammals,Beavers,Horses,9.260527244649948
18,text-davinci-003,two_choice_similarity,Mammals,Beavers,Sheep,8.997847325784043
19,text-davinci-003,two_choice_similarity,Mammals,Beavers,Tigers,6.63681794330618
20,text-davinci-003,two_choice_similarity,Mammals,Beavers,Foxes,10.028751439292483
21,text-davinci-003,two_choice_similarity,Mammals,Beavers,Wolves,10.31139083083545
22,text-davinci-003,two_choice_similarity,Mammals,Beavers,Zebras,5.959552294908216
23,text-davinci-003,two_choice_similarity,Mammals,Camels,Beavers,9.216524579881524
24,text-davinci-003,two_choice_similarity,Mammals,Camels,Squirrels,5.758762902941817
25,text-davinci-003,two_choice_similarity,Mammals,Camels,Hedgehogs,8.23044279577333
26,text-davinci-003,two_choice_similarity,Mammals,Camels,Donkeys,11.354106478994954
27,text-davinci-003,two_choice_similarity,Mammals,Camels,Giraffes,9.170594026213973
28,text-davinci-003,two_choice_similarity,Mammals,Camels,Hamsters,7.984024088905011
29,text-davinci-003,two_choice_similarity,Mammals,Camels,Deer,9.761959078868712
30,text-davinci-003,two_choice_similarity,Mammals,Camels,Dogs,9.519499009339317
31,text-davinci-003,two_choice_similarity,Mammals,Camels,Cats,9.249355269083159
32,text-davinci-003,two_choice_similarity,Mammals,Camels,Cows,11.683407873624601
33,text-davinci-003,two_choice_similarity,Mammals,Camels,Rabbits,8.221623455194598
34,text-davinci-003,two_choice_similarity,Mammals,Camels,Llamas,11.145107886460018
35,text-davinci-003,two_choice_similarity,Mammals,Camels,Lions,9.445654921489826
36,text-davinci-003,two_choice_similarity,Mammals,Camels,Mice,7.456128951397924
37,text-davinci-003,two_choice_similarity,Mammals,Camels,Rhinos,10.255786101962814
38,text-davinci-003,two_choice_similarity,Mammals,Camels,Hippos,9.208680245493515
39,text-davinci-003,two_choice_similarity,Mammals,Camels,Elephants,10.08082449157586
40,text-davinci-003,two_choice_similarity,Mammals,Camels,Horses,14.577686588298459
41,text-davinci-003,two_choice_similarity,Mammals,Camels,Sheep,9.900779966249544
42,text-davinci-003,two_choice_similarity,Mammals,Camels,Tigers,8.250856410855343
43,text-davinci-003,two_choice_similarity,Mammals,Camels,Foxes,7.681237740523019
44,text-davinci-003,two_choice_similarity,Mammals,Camels,Wolves,8.982466856920002
45,text-davinci-003,two_choice_similarity,Mammals,Camels,Zebras,9.014590794136952
46,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Beavers,14.3835370109423
47,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Camels,8.68273575758985
48,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Hedgehogs,12.02273823161596
49,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Donkeys,7.793412082107124
50,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Giraffes,2.5719926447712673
51,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Hamsters,12.072774860538942
52,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Deer,13.953611261006628
53,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Dogs,11.699089294521022
54,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Cats,11.466331167934431
55,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Cows,8.410973013423055
56,text-davinci-003,two_choice_similarity,Mammals,Squirrels,Rabbits,15.055173896993884
