"uid","tid","trialId","premises0","conclusion0","conclusionType","rating"
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","tc0","Chimps:Dolphins","Horses","specific",57
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","tc10","Gorillas:Dolphins","Horses","specific",54
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","tc11","Dolphins","Horses","specific",53
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","tc12","Rhinos","Horses","specific",56
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","tc13","Mice","Horses","specific",54
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","tc14","Elephants","Horses","specific",56
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","tc15","Seals","Horses","specific",52
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","tc16","Dogs","Canines","specific",100
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","tc17","Cows","Horses","specific",63
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","tc18","Chimps","Horses","specific",52
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","tc19","Squirrels","Horses","specific",53
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","tc1","Gorillas:Elephants","Horses","specific",56
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","tc20","Gorillas","Horses","specific",55
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","tc2","Chimps:Gorillas","Horses","specific",55
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","tc3","Chimps:Seals","Horses","specific",54
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","tc4","Mice:Elephants","Horses","specific",54
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","tc5","Cows:Mice","Horses","specific",54
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","tc6","Gorillas:Rhinos","Horses","specific",55
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","tc7","Cows:Elephants","Horses","specific",66
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","tc8","Canines:Puppies","Dogs","specific",100
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","tc9","Squirrels:Elephants","Horses","specific",54
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","training_3_0","Pineapples","Raspberries","specific",54
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","training_3_1","Blackberries","Raspberries","specific",100
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","training_4_0","Lemons:Limes","Cherries","specific",19
"0tP13imejaUhygKVXOJL","tid_experiment2_osherson_participant32","training_4_1","Bananas:Watermelons","Cherries","specific",59
"3CYaFRwVe2JZ1Zjywcw1","tid_experiment2_osherson_participant27","tc0","Mice:Squirrels","Horses","specific",7
"3CYaFRwVe2JZ1Zjywcw1","tid_experiment2_osherson_participant27","tc10","Elephants:Rhinos","Horses","specific",19
"3CYaFRwVe2JZ1Zjywcw1","tid_experiment2_osherson_participant27","tc11","Dolphins","Horses","specific",11
"3CYaFRwVe2JZ1Zjywcw1","tid_experiment2_osherson_participant27","tc12","Elephants","Horses","specific",61
"3CYaFRwVe2JZ1Zjywcw1","tid_experiment2_osherson_participant27","tc13","Gorillas","Horses","specific",42
"3CYaFRwVe2JZ1Zjywcw1","tid_experiment2_osherson_participant27","tc14","Cows","Horses","specific",91
"3CYaFRwVe2JZ1Zjywcw1","tid_experiment2_osherson_participant27","tc15","Squirrels","Horses","specific",53
"3CYaFRwVe2JZ1Zjywcw1","tid_experiment2_osherson_participant27","tc16","Dogs","Canines","specific",96
"3CYaFRwVe2JZ1Zjywcw1","tid_experiment2_osherson_participant27","tc17","Rhinos","Horses","specific",70
"3CYaFRwVe2JZ1Zjywcw1","tid_experiment2_osherson_participant27","tc18","Seals","Horses","specific",11
"3CYaFRwVe2JZ1Zjywcw1","tid_experiment2_osherson_participant27","tc19","Mice","Horses","specific",19
"3CYaFRwVe2JZ1Zjywcw1","tid_experiment2_osherson_participant27","tc1","Gorillas:Squirrels","Horses","specific",56
"3CYaFRwVe2JZ1Zjywcw1","tid_experiment2_osherson_participant27","tc20","Chimps","Horses","specific",47
"3CYaFRwVe2JZ1Zjywcw1","tid_experiment2_osherson_participant27","tc2","Chimps:Rhinos","Horses","specific",49
"3CYaFRwVe2JZ1Zjywcw1","tid_experiment2_osherson_participant27","tc3","Squirrels:Seals","Horses","specific",89
"3CYaFRwVe2JZ1Zjywcw1","tid_experiment2_osherson_participant27","tc4","Cows:Rhinos","Horses","specific",89
"3CYaFRwVe2JZ1Zjywcw1","tid_experiment2_osherson_participant27","tc5","Squirrels:Rhinos","Horses","specific",81
"3CYaFRwVe2JZ1Zjywcw1","tid_experiment2_osherson_participant27","tc6","Dolphins:Elephants","Horses","specific",59
"3CYaFRwVe2JZ1Zjywcw1","tid_experiment2_osherson_participant27","tc7","Cows:Dolphins","Horses","specific",63
"3CYaFRwVe2JZ1Zjywcw1","tid_experiment2_osherson_participant27","tc8","Canines:Puppies","Dogs","specific",100
