,domain,phenomenon_number,phenomenon_name,sample_num,arg1_premises,arg1_conclusion,arg2_premises,arg2_conclusion,is_osherson
0,Birds,1,Premise Typicality,-1,['robin'],Birds,['penguin'],Birds,1
1,Mammals,2,Premise Diversity (General),-1,"['hippo', 'hamster']",Mammals,"['hippo', 'rhinocerose']",Mammals,1
2,Birds,3,Conclusion Specificity,-1,"['bluejay', 'falcon']",Birds,"['bluejay', 'falcon']",Animals,1
3,Birds,4,Premise Monotonicity (General),-1,"['hawk', 'sparrow', 'eagle']",Birds,"['sparrow', 'eagle']",Birds,1
4,Birds,5,Premise-conclusion Similarity,-1,"['robin', 'bluejay']",sparrow,"['robin', 'bluejay']",goose,1
5,Mammals,6,Premise Diversity (Specific),-1,"['lion', 'giraffe']",rabbit,"['lion', 'tiger']",rabbit,1
6,Mammals,7,Premise Monotonicity (Specific),-1,"['fox', 'pig', 'wolf']",gorilla,"['pig', 'wolf']",gorilla,1
7,Mammals,8,Premise-conclusion Asymmetry,-1,['mouse'],bat,['bat'],mouse,1
8,Birds,9,Nonmonotonicity (General),-1,"['crow', 'peacock']",Birds,"['crow', 'peacock', 'rabbit']",Birds,1
9,Birds,10,Nonmonotonicity (Specific),-1,['fly'],bee,"['fly', 'orangutan']",bee,1
10,Birds,11,Inclusion Fallacy,-1,['robin'],Birds,['robin'],ostrich,1
