,domain,argtype,premises,conclusion,scm
0,Mammals,Specific,"('Cats', 'Elephants')",Foxes,10.514254385964913
1,Mammals,Specific,"('Cats', 'Elephants')",Beavers,9.514254385964913
2,Mammals,Specific,"('Zebras', 'Mice')",Foxes,9.119517543859649
3,Mammals,Specific,"('Hippos', 'Horses')",Tigers,9.707236842105264
4,Mammals,Specific,"('Giraffes', 'Rhinos')",Hamsters,6.938596491228069
5,Mammals,Specific,"('Mice', 'Dogs')",Elephants,8.633771929824562
6,Mammals,Specific,"('Cows', 'Hippos')",Hedgehogs,7.68859649122807
7,Mammals,Specific,"('Elephants', 'Cows')",Squirrels,7.495614035087719
8,Mammals,Specific,"('Hippos', 'Hedgehogs')",Zebras,10.06688596491228
9,Mammals,Specific,"('Hedgehogs', 'Hippos')",Elephants,10.56688596491228
10,Mammals,Specific,"('Camels', 'Hippos')",Sheep,8.734649122807017
11,Mammals,Specific,"('Elephants', 'Foxes')",Mice,8.242324561403509
12,Mammals,Specific,"('Tigers', 'Cats')",Sheep,8.804824561403509
13,Mammals,Specific,"('Mice', 'Cats')",Rabbits,9.339912280701753
14,Mammals,Specific,"('Hippos', 'Wolves')",Lions,10.845394736842106
15,Mammals,Specific,"('Tigers', 'Llamas')",Hippos,9.87280701754386
16,Mammals,Specific,"('Mice', 'Sheep')",Squirrels,9.248903508771928
17,Mammals,Specific,"('Hedgehogs', 'Hippos')",Horses,9.514254385964913
18,Mammals,Specific,"('Hedgehogs', 'Elephants')",Donkeys,8.767543859649123
19,Mammals,Specific,"('Donkeys', 'Mice')",Sheep,9.694078947368421
20,Mammals,Specific,"('Deer', 'Hedgehogs')",Sheep,9.12609649122807
22,Mammals,Specific,"('Dogs', 'Cows')",Mice,8.544956140350877
23,Mammals,Specific,"('Cows', 'Horses')",Hedgehogs,7.908991228070175
24,Mammals,Specific,"('Dogs', 'Cows')",Beavers,8.80811403508772
25,Mammals,Specific,"('Camels', 'Foxes')",Beavers,9.299342105263158
26,Mammals,Specific,"('Lions', 'Hippos')",Mice,7.678728070175438
27,Mammals,Specific,"('Elephants', 'Wolves')",Zebras,9.461622807017545
28,Mammals,Specific,"('Mice', 'Donkeys')",Hamsters,11.930921052631579
29,Mammals,Specific,"('Foxes', 'Cows')",Hedgehogs,8.596491228070175
30,Mammals,Specific,"('Dogs', 'Mice')",Rabbits,9.50219298245614
31,Mammals,Specific,"('Squirrels', 'Beavers')",Rabbits,9.731359649122808
32,Mammals,Specific,"('Wolves', 'Horses')",Hamsters,8.542763157894736
33,Mammals,Specific,"('Zebras', 'Mice')",Beavers,9.145833333333332
34,Mammals,Specific,"('Hedgehogs', 'Rhinos')",Beavers,8.838815789473685
35,Mammals,Specific,"('Zebras', 'Hippos')",Horses,12.450657894736842
36,Mammals,Specific,"('Hedgehogs', 'Giraffes')",Dogs,8.098684210526315
37,Mammals,Specific,"('Mice', 'Tigers')",Giraffes,9.75767543859649
38,Mammals,Specific,"('Dogs', 'Zebras')",Cats,11.321271929824562
39,Mammals,Specific,"('Squirrels', 'Horses')",Rhinos,10.334429824561404
40,Mammals,Specific,"('Sheep', 'Hippos')",Squirrels,8.42543859649123
41,Mammals,Specific,"('Donkeys', 'Mice')",Lions,9.220394736842106
42,Mammals,Specific,"('Sheep', 'Cows')",Giraffes,8.827850877192983
43,Mammals,Specific,"('Cats', 'Wolves')",Hippos,8.31030701754386
44,Mammals,Specific,"('Hamsters', 'Tigers')",Wolves,10.711622807017545
45,Mammals,Specific,"('Hedgehogs', 'Horses')",Squirrels,10.337719298245613
46,Mammals,Specific,"('Mice', 'Foxes')",Hamsters,11.582236842105264
47,Mammals,Specific,"('Camels', 'Deer')",Cats,8.62938596491228
48,Mammals,Specific,"('Hippos', 'Dogs')",Cats,11.12938596491228
49,Mammals,Specific,"('Lions', 'Squirrels')",Deer,9.039473684210526
50,Mammals,Specific,"('Rabbits', 'Wolves')",Beavers,10.098684210526315
51,Mammals,Specific,"('Camels', 'Lions')",Zebras,9.714912280701753
52,Mammals,Specific,"('Donkeys', 'Dogs')",Lions,9.928728070175438
53,Mammals,Specific,"('Hedgehogs', 'Rhinos')",Deer,8.944078947368421
54,Mammals,Specific,"('Camels', 'Giraffes')",Tigers,9.145833333333332
55,Mammals,Specific,"('Cats', 'Foxes')",Horses,8.661184210526315
56,Mammals,Specific,"('Tigers', 'Hamsters')",Llamas,10.343201754385966
57,Mammals,Specific,"('Hedgehogs', 'Tigers')",Deer,9.287280701754387
58,Mammals,Specific,"('Beavers', 'Mice')",Horses,7.49780701754386
