,domain,phenomenon_number,phenomenon_name,sample_num,arg1_premises,arg1_conclusion,arg2_premises,arg2_conclusion,is_osherson,arg2_is_stronger
0,Birds,1,Premise-conclusion Similarity,-1,"['robin', 'bluejay']",sparrow,"['robin', 'bluejay']",goose,True,False
1,Birds,1,Premise-conclusion Similarity,2,['Robins'],Blackbirds,['Penguins'],Blackbirds,False,False
2,Birds,1,Premise-conclusion Similarity,3,['Vultures'],Falcons,['Penguins'],Falcons,False,False
3,Birds,1,Premise-conclusion Similarity,4,['Ostriches'],Blackbirds,['Robins'],Blackbirds,False,True
4,Birds,1,Premise-conclusion Similarity,5,['Falcons'],Swallows,['Penguins'],Swallows,False,False
5,Birds,1,Premise-conclusion Similarity,8,['Crows'],Blackbirds,['Herons'],Blackbirds,False,False
6,Birds,1,Premise-conclusion Similarity,9,['Roosters'],Chickens,['Penguins'],Chickens,False,False
7,Birds,1,Premise-conclusion Similarity,10,['Ducks'],Woodpeckers,['Parrots'],Woodpeckers,False,True
8,Birds,1,Premise-conclusion Similarity,11,['Storks'],Robins,['Doves'],Robins,False,True
9,Birds,1,Premise-conclusion Similarity,12,['Storks'],Herons,['Penguins'],Herons,False,False
10,Birds,1,Premise-conclusion Similarity,16,['Vultures'],Crows,['Penguins'],Crows,False,False
11,Birds,1,Premise-conclusion Similarity,17,['Owls'],Eagles,['Penguins'],Eagles,False,False
12,Birds,1,Premise-conclusion Similarity,19,['Ostriches'],Vultures,['Ducks'],Vultures,False,False
13,Birds,1,Premise-conclusion Similarity,21,['Swallows'],Doves,['Ostriches'],Doves,False,False
14,Birds,1,Premise-conclusion Similarity,22,['Swallows'],Seagulls,['Ostriches'],Seagulls,False,False
15,Birds,1,Premise-conclusion Similarity,24,['Swallows'],Magpies,['Penguins'],Magpies,False,False
16,Birds,1,Premise-conclusion Similarity,25,['Herons'],Robins,['Doves'],Robins,False,True
17,Birds,1,Premise-conclusion Similarity,26,['Penguins'],Robins,['Canaries'],Robins,False,True
18,Birds,1,Premise-conclusion Similarity,28,['Falcons'],Eagles,['Penguins'],Eagles,False,False
19,Birds,1,Premise-conclusion Similarity,30,['Ostriches'],Doves,['Magpies'],Doves,False,True
20,Birds,1,Premise-conclusion Similarity,31,['Roosters'],Storks,['Pelicans'],Storks,False,True
21,Birds,1,Premise-conclusion Similarity,35,['Swallows'],Magpies,['Ostriches'],Magpies,False,False
22,Birds,1,Premise-conclusion Similarity,44,['Canaries'],Robins,['Eagles'],Robins,False,False
23,Birds,1,Premise-conclusion Similarity,46,['Chickens'],Eagles,['Owls'],Eagles,False,True
