,domain,argtype,premises,conclusion,scm,is_osherson,human_rating
25,Birds,General,"('Robins', 'Canaries')",Birds,9.468137254901961,0.0,
50,Birds,General,"('Robins', 'Sparrows')",Birds,9.642156862745098,0.0,
20,Birds,General,"('Pelicans', 'Ostriches')",Birds,9.676470588235295,0.0,
86,Birds,General,"('Ostriches', 'Storks')",Birds,9.681372549019608,0.0,
5,Birds,General,"('Vultures', 'Eagles')",Birds,9.70343137254902,0.0,
39,Birds,General,"('Storks', 'Pelicans')",Birds,9.730392156862743,0.0,
81,Birds,General,"('Sparrows', 'Canaries')",Birds,9.821078431372548,0.0,
35,Birds,General,"('Swans', 'Ostriches')",Birds,9.843137254901961,0.0,
87,Birds,General,"('Pelicans', 'Swans')",Birds,9.862745098039214,0.0,
98,Birds,General,"('Ostriches', 'Eagles')",Birds,9.958333333333334,0.0,
10,Birds,General,"('Peacocks', 'Ostriches')",Birds,9.977941176470589,0.0,
18,Birds,General,"('Ostriches', 'Vultures')",Birds,9.977941176470589,0.0,
63,Birds,General,"('Falcons', 'Eagles')",Birds,9.987745098039216,0.0,
66,Birds,General,"('Ducks', 'Swans')",Birds,10.009803921568627,0.0,
70,Birds,General,"('Robins', 'Blackbirds')",Birds,10.009803921568627,0.0,
44,Birds,General,"('Chickens', 'Roosters')",Birds,10.031862745098039,0.0,
38,Birds,General,"('Swans', 'Storks')",Birds,10.07843137254902,0.0,
73,Birds,General,"('Parrots', 'Canaries')",Birds,10.095588235294118,0.0,
41,Birds,General,"('Canaries', 'Blackbirds')",Birds,10.122549019607844,0.0,
24,Birds,General,"('Blackbirds', 'Sparrows')",Birds,10.137254901960784,0.0,
21,Birds,General,"('Vultures', 'Falcons')",Birds,10.156862745098039,0.0,
2,Birds,General,"('Roosters', 'Peacocks')",Birds,10.159313725490197,0.0,
53,Birds,General,"('Ostriches', 'Ducks')",Birds,10.237745098039214,0.0,
61,Birds,General,"('Peacocks', 'Parrots')",Birds,10.269607843137253,0.0,
80,Birds,General,"('Ducks', 'Roosters')",Birds,10.29656862745098,0.0,
67,Birds,General,"('Turkeys', 'Roosters')",Birds,10.301470588235295,0.0,
6,Birds,General,"('Ducks', 'Turkeys')",Birds,10.316176470588236,0.0,
59,Birds,General,"('Robins', 'Parrots')",Birds,10.352941176470587,0.0,
17,Birds,General,"('Ostriches', 'Turkeys')",Birds,10.357843137254903,0.0,
3,Birds,General,"('Ducks', 'Chickens')",Birds,10.41421568627451,0.0,
14,Birds,General,"('Parrots', 'Eagles')",Birds,10.41421568627451,0.0,
79,Birds,General,"('Herons', 'Ostriches')",Birds,10.455882352941176,0.0,
4,Birds,General,"('Pelicans', 'Ducks')",Birds,10.458333333333334,0.0,
34,Birds,General,"('Storks', 'Peacocks')",Birds,10.468137254901961,0.0,
72,Birds,General,"('Falcons', 'Ostriches')",Birds,10.519607843137255,0.0,
16,Birds,General,"('Sparrows', 'Parrots')",Birds,10.519607843137257,0.0,
36,Birds,General,"('Magpies', 'Woodpeckers')",Birds,10.553921568627452,0.0,
74,Birds,General,"('Seagulls', 'Ostriches')",Birds,10.553921568627452,0.0,
78,Birds,General,"('Eagles', 'Herons')",Birds,10.558823529411766,0.0,
46,Birds,General,"('Parrots', 'Falcons')",Birds,10.598039215686276,0.0,
92,Birds,General,"('Seagulls', 'Parrots')",Birds,10.61029411764706,0.0,
49,Birds,General,"('Blackbirds', 'Magpies')",Birds,10.622549019607844,0.0,
52,Birds,General,"('Roosters', 'Swans')",Birds,10.654411764705882,0.0,
7,Birds,General,"('Woodpeckers', 'Robins')",Birds,10.713235294117647,0.0,
26,Birds,General,"('Parrots', 'Crows')",Birds,10.715686274509805,0.0,
82,Birds,General,"('Crows', 'Eagles')",Birds,10.727941176470589,0.0,
62,Birds,General,"('Ostriches', 'Crows')",Birds,10.730392156862743,0.0,
83,Birds,General,"('Parrots', 'Swallows')",Birds,10.752450980392156,0.0,
23,Birds,General,"('Ducks', 'Canaries')",Birds,10.754901960784311,0.0,
0,Birds,General,"('Seagulls', 'Pelicans')",Birds,10.78921568627451,0.0,
64,Birds,General,"('Woodpeckers', 'Sparrows')",Birds,10.791666666666666,0.0,
68,Birds,General,"('Crows', 'Canaries')",Birds,10.872549019607844,0.0,
71,Birds,General,"('Falcons', 'Peacocks')",Birds,10.904411764705884,0.0,
55,Birds,General,"('Falcons', 'Storks')",Birds,10.92156862745098,0.0,
12,Birds,General,"('Storks', 'Turkeys')",Birds,10.924019607843137,0.0,
33,Birds,General,"('Falcons', 'Swallows')",Birds,10.936274509803923,0.0,
40,Birds,General,"('Blackbirds', 'Seagulls')",Birds,10.936274509803923,0.0,
