,participant_id,indices
0,0,"[107, 34, 754, 35, 755, 682, 371, 586, 635, 683, 706, 659, 154, 178, 299, 538, 370, 179, 130, 515, 611, 731, 203, 202, 778, 490, 251, 658, 779, 587, 346, 11, 298, 539, 250, 322, 155, 10, 610, 467, 347, 323, 131, 58, 275, 634, 395, 563, 419, 491, 82, 418, 562, 226, 730, 83, 394, 466, 514, 59, 274, 227, 442, 106, 443, 707]"
1,1,"[214, 110, 302, 734, 478, 182, 70, 446, 470, 46, 398, 502, 158, 230, 134, 22, 790, 278, 766, 374, 566, 190, 550, 262, 638, 542, 518, 326, 782, 614, 622, 758, 598, 430, 38, 358, 454, 710, 206, 334, 406, 526, 14, 62, 742, 118, 670, 662, 86, 94, 166, 142, 254, 694, 310, 590, 286, 422, 238, 382, 350, 646, 718, 574, 686, 494]"
2,2,"[169, 409, 289, 457, 284, 356, 265, 500, 721, 116, 361, 601, 337, 769, 92, 217, 692, 236, 73, 668, 49, 788, 25, 121, 577, 433, 145, 625, 740, 260, 241, 452, 193, 548, 20, 649, 97, 644, 140, 212, 44, 188, 68, 385, 620, 596, 476, 404, 716, 428, 308, 524, 764, 164, 1, 481, 313, 505, 380, 332, 697, 553, 572, 745, 529, 673]"
3,3,"[781, 229, 757, 709, 647, 277, 37, 397, 71, 167, 565, 349, 311, 421, 373, 205, 23, 599, 541, 671, 637, 791, 695, 13, 517, 575, 239, 61, 743, 493, 119, 431, 719, 383, 157, 143, 503, 253, 733, 455, 301, 527, 85, 181, 263, 469, 133, 287, 191, 551, 589, 47, 359, 685, 407, 335, 623, 767, 109, 479, 215, 95, 613, 445, 325, 661]"
4,4,"[512, 688, 296, 736, 256, 520, 160, 176, 680, 80, 104, 320, 224, 400, 608, 704, 368, 152, 656, 392, 448, 568, 328, 632, 536, 112, 128, 464, 544, 136, 760, 728, 40, 712, 496, 376, 664, 640, 64, 272, 784, 32, 200, 184, 344, 208, 440, 232, 488, 752, 424, 280, 16, 592, 776, 472, 56, 8, 88, 416, 352, 560, 584, 304, 616, 248]"
5,5,"[678, 198, 233, 401, 318, 785, 185, 462, 534, 449, 222, 606, 726, 569, 294, 737, 113, 209, 65, 630, 342, 713, 617, 377, 665, 353, 473, 774, 582, 270, 558, 521, 425, 761, 78, 161, 486, 510, 137, 750, 150, 41, 257, 702, 593, 174, 281, 89, 246, 414, 641, 6, 126, 329, 438, 545, 497, 54, 654, 30, 366, 102, 17, 689, 305, 390]"
6,6,"[2, 748, 292, 194, 266, 772, 554, 220, 724, 530, 314, 412, 602, 50, 28, 290, 698, 626, 580, 770, 604, 26, 122, 170, 316, 722, 628, 362, 508, 148, 52, 76, 482, 436, 700, 196, 364, 74, 98, 242, 674, 340, 218, 172, 434, 410, 532, 338, 650, 100, 388, 146, 676, 4, 460, 556, 268, 458, 386, 484, 244, 746, 652, 124, 578, 506]"
7,7,"[594, 341, 677, 570, 738, 53, 629, 557, 258, 245, 762, 653, 354, 509, 149, 42, 293, 437, 125, 701, 29, 546, 618, 786, 450, 186, 114, 90, 269, 461, 690, 221, 389, 581, 413, 485, 522, 749, 666, 162, 498, 426, 365, 306, 725, 773, 173, 474, 66, 642, 210, 402, 18, 282, 714, 330, 533, 234, 77, 378, 138, 5, 101, 197, 605, 317]"
8,8,"[9, 607, 583, 7, 55, 31, 657, 129, 417, 513, 535, 465, 439, 271, 105, 511, 151, 177, 561, 81, 201, 681, 247, 127, 343, 297, 367, 321, 175, 153, 103, 585, 295, 489, 633, 273, 537, 33, 393, 655, 223, 199, 369, 705, 345, 463, 775, 57, 703, 751, 679, 777, 415, 79, 391, 249, 487, 729, 441, 559, 225, 319, 727, 753, 631, 609]"
9,9,"[579, 675, 451, 267, 459, 427, 555, 315, 339, 195, 211, 243, 43, 499, 99, 739, 3, 147, 123, 363, 595, 235, 603, 747, 619, 723, 627, 715, 355, 19, 51, 571, 667, 475, 435, 187, 651, 171, 699, 379, 307, 27, 763, 691, 523, 787, 259, 67, 643, 91, 139, 547, 283, 483, 387, 507, 771, 291, 219, 163, 411, 75, 115, 531, 403, 331]"
10,10,"[693, 789, 525, 144, 381, 600, 216, 312, 309, 456, 720, 288, 261, 384, 717, 213, 549, 72, 669, 360, 552, 597, 96, 240, 285, 741, 0, 576, 621, 189, 165, 672, 504, 573, 501, 405, 696, 624, 141, 765, 45, 357, 69, 192, 645, 264, 480, 24, 429, 120, 648, 528, 408, 48, 477, 21, 93, 237, 168, 333, 432, 336, 453, 117, 744, 768]"
11,11,"[783, 279, 732, 687, 420, 780, 300, 519, 231, 87, 111, 252, 39, 60, 492, 447, 444, 135, 348, 180, 396, 15, 156, 303, 423, 471, 684, 255, 351, 543, 12, 735, 756, 228, 63, 708, 540, 636, 399, 564, 711, 612, 375, 567, 204, 327, 36, 84, 588, 132, 615, 660, 108, 495, 591, 468, 324, 372, 516, 183, 159, 276, 639, 759, 663, 207]"
