,batch_num,domain,argtype,is_osherson,is_single_premise,argument
0,0,Birds,General,0.0,False,"[['Robins', 'Sparrows'], 'Birds']"
1,0,Birds,General,0.0,False,"[['Parrots', 'Canaries'], 'Birds']"
2,0,Birds,General,0.0,False,"[['Roosters', 'Peacocks'], 'Birds']"
3,0,Birds,General,0.0,False,"[['Herons', 'Ostriches'], 'Birds']"
4,0,Birds,General,0.0,False,"[['Ducks', 'Canaries'], 'Birds']"
5,0,Birds,General,0.0,False,"[['Woodpeckers', 'Sparrows'], 'Birds']"
6,0,Birds,General,0.0,False,"[['Sparrows', 'Falcons'], 'Birds']"
7,0,Birds,General,0.0,False,"[['Chickens', 'Doves'], 'Birds']"
8,0,Birds,General,0.0,False,"[['Pelicans', 'Magpies'], 'Birds']"
9,0,Birds,General,0.0,False,"[['Magpies', 'Storks'], 'Birds']"
0,0,Birds,General,0.0,True,"[['Swans'], 'Birds']"
1,0,Birds,General,0.0,True,"[['Seagulls'], 'Birds']"
2,0,Birds,General,0.0,True,"[['Peacocks'], 'Birds']"
3,0,Birds,General,0.0,True,"[['Woodpeckers'], 'Birds']"
4,0,Birds,General,0.0,True,"[['Eagles'], 'Birds']"
5,0,Birds,General,0.0,True,"[['Storks'], 'Birds']"
6,0,Birds,General,0.0,True,"[['Doves'], 'Birds']"
7,0,Birds,General,0.0,True,"[['Pelicans'], 'Birds']"
8,0,Birds,General,0.0,True,"[['Crows'], 'Birds']"
9,0,Birds,General,0.0,True,"[['Parrots'], 'Birds']"
10,0,Birds,General,0.0,True,"[['Ducks'], 'Birds']"
11,0,Birds,General,0.0,True,"[['Canaries'], 'Birds']"
12,0,Birds,General,0.0,True,"[['Blackbirds'], 'Birds']"
13,0,Birds,General,0.0,True,"[['Roosters'], 'Birds']"
14,0,Birds,General,0.0,True,"[['Ostriches'], 'Birds']"
15,0,Birds,General,0.0,True,"[['Robins'], 'Birds']"
16,0,Birds,General,0.0,True,"[['Magpies'], 'Birds']"
17,0,Birds,General,0.0,True,"[['Swallows'], 'Birds']"
18,0,Birds,General,0.0,True,"[['Chickens'], 'Birds']"
19,0,Birds,General,0.0,True,"[['Falcons'], 'Birds']"
20,0,Birds,General,0.0,True,"[['Turkeys'], 'Birds']"
21,0,Birds,General,0.0,True,"[['Herons'], 'Birds']"
22,0,Birds,General,0.0,True,"[['Vultures'], 'Birds']"
23,0,Birds,General,0.0,True,"[['Sparrows'], 'Birds']"
310,0,Birds,Specific,0.0,False,"[['Canaries', 'Sparrows'], 'Storks']"
311,0,Birds,Specific,0.0,False,"[['Eagles', 'Blackbirds'], 'Swans']"
312,0,Birds,Specific,0.0,False,"[['Parrots', 'Crows'], 'Robins']"
313,0,Birds,Specific,0.0,False,"[['Falcons', 'Ducks'], 'Peacocks']"
314,0,Birds,Specific,0.0,False,"[['Herons', 'Parrots'], 'Woodpeckers']"
315,0,Birds,Specific,0.0,False,"[['Herons', 'Canaries'], 'Eagles']"
316,0,Birds,Specific,0.0,False,"[['Woodpeckers', 'Roosters'], 'Swallows']"
317,0,Birds,Specific,0.0,False,"[['Storks', 'Robins'], 'Herons']"
318,0,Birds,Specific,0.0,False,"[['Magpies', 'Chickens'], 'Crows']"
319,0,Birds,Specific,0.0,False,"[['Seagulls', 'Roosters'], 'Chickens']"
0,0,Birds,Specific,0.0,True,"[['Magpies'], 'Crows']"
1,0,Birds,Specific,0.0,True,"[['Ducks'], 'Peacocks']"
2,0,Birds,Specific,0.0,True,"[['Canaries'], 'Storks']"
3,0,Birds,Specific,0.0,True,"[['Sparrows'], 'Storks']"
4,0,Birds,Specific,0.0,True,"[['Roosters'], 'Sparrows']"
5,0,Birds,Specific,0.0,True,"[['Chickens'], 'Crows']"
6,0,Birds,Specific,0.0,True,"[['Seagulls'], 'Chickens']"
7,0,Birds,Specific,0.0,True,"[['Canaries'], 'Eagles']"
8,0,Birds,Specific,0.0,True,"[['Roosters'], 'Chickens']"
9,0,Birds,Specific,0.0,True,"[['Roosters'], 'Swallows']"
10,0,Birds,Specific,0.0,True,"[['Woodpeckers'], 'Swallows']"
11,0,Birds,Specific,0.0,True,"[['Parrots'], 'Woodpeckers']"
12,0,Birds,Specific,0.0,True,"[['Falcons'], 'Pelicans']"
13,0,Birds,Specific,0.0,True,"[['Blackbirds'], 'Swans']"
14,0,Birds,Specific,0.0,True,"[['Eagles'], 'Swans']"
15,0,Birds,Specific,0.0,True,"[['Robins'], 'Herons']"
16,0,Birds,Specific,0.0,True,"[['Falcons'], 'Blackbirds']"
17,0,Birds,Specific,0.0,True,"[['Storks'], 'Herons']"
18,0,Birds,Specific,0.0,True,"[['Falcons'], 'Peacocks']"
19,0,Birds,Specific,0.0,True,"[['Storks'], 'Vultures']"
20,0,Birds,Specific,0.0,True,"[['Herons'], 'Woodpeckers']"
21,0,Birds,Specific,0.0,True,"[['Herons'], 'Eagles']"
22,0,Birds,Specific,0.0,True,"[['Crows'], 'Robins']"
23,0,Birds,Specific,0.0,True,"[['Parrots'], 'Robins']"
110,0,Mammals,General,0.0,False,"[['Hamsters', 'Squirrels'], 'Mammals']"
111,0,Mammals,General,0.0,False,"[['Beavers', 'Rabbits'], 'Mammals']"
112,0,Mammals,General,0.0,False,"[['Wolves', 'Dogs'], 'Mammals']"
113,0,Mammals,General,0.0,False,"[['Foxes', 'Beavers'], 'Mammals']"
