,tid
0,tid_experiment2_dedeyne_participant5
1,tid_experiment2_dedeyne_participant6
2,tid_experiment2_dedeyne_participant7
3,tid_experiment2_dedeyne_participant8
4,tid_experiment2_dedeyne_participant9
5,tid_experiment2_dedeyne_participant35
6,tid_experiment2_dedeyne_participant36
7,tid_experiment2_dedeyne_participant37
8,tid_experiment2_dedeyne_participant38
9,tid_experiment2_dedeyne_participant39
10,tid_experiment2_dedeyne_participant65
11,tid_experiment2_dedeyne_participant66
12,tid_experiment2_dedeyne_participant67
13,tid_experiment2_dedeyne_participant68
14,tid_experiment2_dedeyne_participant69
15,tid_experiment2_dedeyne_participant95
16,tid_experiment2_dedeyne_participant96
17,tid_experiment2_dedeyne_participant97
18,tid_experiment2_dedeyne_participant98
19,tid_experiment2_dedeyne_participant99
20,tid_experiment2_dedeyne_participant125
21,tid_experiment2_dedeyne_participant126
22,tid_experiment2_dedeyne_participant127
23,tid_experiment2_dedeyne_participant128
24,tid_experiment2_dedeyne_participant129
25,tid_experiment2_dedeyne_participant155
26,tid_experiment2_dedeyne_participant156
27,tid_experiment2_dedeyne_participant157
28,tid_experiment2_dedeyne_participant158
29,tid_experiment2_dedeyne_participant159
30,tid_experiment2_dedeyne_participant185
31,tid_experiment2_dedeyne_participant186
32,tid_experiment2_dedeyne_participant187
33,tid_experiment2_dedeyne_participant188
34,tid_experiment2_dedeyne_participant189
35,tid_experiment2_dedeyne_participant215
36,tid_experiment2_dedeyne_participant216
37,tid_experiment2_dedeyne_participant217
38,tid_experiment2_dedeyne_participant218
39,tid_experiment2_dedeyne_participant219
40,tid_experiment2_dedeyne_participant245
41,tid_experiment2_dedeyne_participant246
42,tid_experiment2_dedeyne_participant247
43,tid_experiment2_dedeyne_participant248
44,tid_experiment2_dedeyne_participant249
45,tid_experiment2_dedeyne_participant275
46,tid_experiment2_dedeyne_participant276
47,tid_experiment2_dedeyne_participant277
48,tid_experiment2_dedeyne_participant278
49,tid_experiment2_dedeyne_participant279
50,tid_experiment2_dedeyne_participant310
51,tid_experiment2_dedeyne_participant311
52,tid_experiment2_dedeyne_participant312
53,tid_experiment2_dedeyne_participant313
54,tid_experiment2_dedeyne_participant314
55,tid_experiment2_dedeyne_participant340
56,tid_experiment2_dedeyne_participant341
57,tid_experiment2_dedeyne_participant342
58,tid_experiment2_dedeyne_participant343
59,tid_experiment2_dedeyne_participant344
60,tid_experiment2_dedeyne_participant370
61,tid_experiment2_dedeyne_participant371
62,tid_experiment2_dedeyne_participant372
63,tid_experiment2_dedeyne_participant373
64,tid_experiment2_dedeyne_participant374
65,tid_experiment2_dedeyne_participant400
66,tid_experiment2_dedeyne_participant401
67,tid_experiment2_dedeyne_participant402
68,tid_experiment2_dedeyne_participant403
69,tid_experiment2_dedeyne_participant404
70,tid_experiment2_dedeyne_participant430
71,tid_experiment2_dedeyne_participant431
72,tid_experiment2_dedeyne_participant432
73,tid_experiment2_dedeyne_participant433
74,tid_experiment2_dedeyne_participant434
75,tid_experiment2_dedeyne_participant460
76,tid_experiment2_dedeyne_participant461
77,tid_experiment2_dedeyne_participant462
78,tid_experiment2_dedeyne_participant463
79,tid_experiment2_dedeyne_participant464
80,tid_experiment2_dedeyne_participant490
81,tid_experiment2_dedeyne_participant491
82,tid_experiment2_dedeyne_participant492
83,tid_experiment2_dedeyne_participant493
84,tid_experiment2_dedeyne_participant494
85,tid_experiment2_dedeyne_participant520
86,tid_experiment2_dedeyne_participant521
87,tid_experiment2_dedeyne_participant522
88,tid_experiment2_dedeyne_participant523
89,tid_experiment2_dedeyne_participant524
90,tid_experiment2_dedeyne_participant550
91,tid_experiment2_dedeyne_participant551
92,tid_experiment2_dedeyne_participant552
93,tid_experiment2_dedeyne_participant553
94,tid_experiment2_dedeyne_participant554
95,tid_experiment2_dedeyne_participant580
96,tid_experiment2_dedeyne_participant581
97,tid_experiment2_dedeyne_participant582
98,tid_experiment2_dedeyne_participant583
99,tid_experiment2_dedeyne_participant584
