,tid
0,tid_experiment2_dedeyne_participant10
1,tid_experiment2_dedeyne_participant11
2,tid_experiment2_dedeyne_participant12
3,tid_experiment2_dedeyne_participant13
4,tid_experiment2_dedeyne_participant14
5,tid_experiment2_dedeyne_participant40
6,tid_experiment2_dedeyne_participant41
7,tid_experiment2_dedeyne_participant42
8,tid_experiment2_dedeyne_participant43
9,tid_experiment2_dedeyne_participant44
10,tid_experiment2_dedeyne_participant70
11,tid_experiment2_dedeyne_participant71
12,tid_experiment2_dedeyne_participant72
13,tid_experiment2_dedeyne_participant73
14,tid_experiment2_dedeyne_participant74
15,tid_experiment2_dedeyne_participant100
16,tid_experiment2_dedeyne_participant101
17,tid_experiment2_dedeyne_participant102
18,tid_experiment2_dedeyne_participant103
19,tid_experiment2_dedeyne_participant104
20,tid_experiment2_dedeyne_participant130
21,tid_experiment2_dedeyne_participant131
22,tid_experiment2_dedeyne_participant132
23,tid_experiment2_dedeyne_participant133
24,tid_experiment2_dedeyne_participant134
25,tid_experiment2_dedeyne_participant160
26,tid_experiment2_dedeyne_participant161
27,tid_experiment2_dedeyne_participant162
28,tid_experiment2_dedeyne_participant163
29,tid_experiment2_dedeyne_participant164
30,tid_experiment2_dedeyne_participant190
31,tid_experiment2_dedeyne_participant191
32,tid_experiment2_dedeyne_participant192
33,tid_experiment2_dedeyne_participant193
34,tid_experiment2_dedeyne_participant194
35,tid_experiment2_dedeyne_participant220
36,tid_experiment2_dedeyne_participant221
37,tid_experiment2_dedeyne_participant222
38,tid_experiment2_dedeyne_participant223
39,tid_experiment2_dedeyne_participant224
40,tid_experiment2_dedeyne_participant250
41,tid_experiment2_dedeyne_participant251
42,tid_experiment2_dedeyne_participant252
43,tid_experiment2_dedeyne_participant253
44,tid_experiment2_dedeyne_participant254
45,tid_experiment2_dedeyne_participant280
46,tid_experiment2_dedeyne_participant281
47,tid_experiment2_dedeyne_participant282
48,tid_experiment2_dedeyne_participant283
49,tid_experiment2_dedeyne_participant284
50,tid_experiment2_dedeyne_participant315
51,tid_experiment2_dedeyne_participant316
52,tid_experiment2_dedeyne_participant317
53,tid_experiment2_dedeyne_participant318
54,tid_experiment2_dedeyne_participant319
55,tid_experiment2_dedeyne_participant345
56,tid_experiment2_dedeyne_participant346
57,tid_experiment2_dedeyne_participant347
58,tid_experiment2_dedeyne_participant348
59,tid_experiment2_dedeyne_participant349
60,tid_experiment2_dedeyne_participant375
61,tid_experiment2_dedeyne_participant376
62,tid_experiment2_dedeyne_participant377
63,tid_experiment2_dedeyne_participant378
64,tid_experiment2_dedeyne_participant379
65,tid_experiment2_dedeyne_participant405
66,tid_experiment2_dedeyne_participant406
67,tid_experiment2_dedeyne_participant407
68,tid_experiment2_dedeyne_participant408
69,tid_experiment2_dedeyne_participant409
70,tid_experiment2_dedeyne_participant435
71,tid_experiment2_dedeyne_participant436
72,tid_experiment2_dedeyne_participant437
73,tid_experiment2_dedeyne_participant438
74,tid_experiment2_dedeyne_participant439
75,tid_experiment2_dedeyne_participant465
76,tid_experiment2_dedeyne_participant466
77,tid_experiment2_dedeyne_participant467
78,tid_experiment2_dedeyne_participant468
79,tid_experiment2_dedeyne_participant469
80,tid_experiment2_dedeyne_participant495
81,tid_experiment2_dedeyne_participant496
82,tid_experiment2_dedeyne_participant497
83,tid_experiment2_dedeyne_participant498
84,tid_experiment2_dedeyne_participant499
85,tid_experiment2_dedeyne_participant525
86,tid_experiment2_dedeyne_participant526
87,tid_experiment2_dedeyne_participant527
88,tid_experiment2_dedeyne_participant528
89,tid_experiment2_dedeyne_participant529
90,tid_experiment2_dedeyne_participant555
91,tid_experiment2_dedeyne_participant556
92,tid_experiment2_dedeyne_participant557
93,tid_experiment2_dedeyne_participant558
94,tid_experiment2_dedeyne_participant559
95,tid_experiment2_dedeyne_participant585
96,tid_experiment2_dedeyne_participant586
97,tid_experiment2_dedeyne_participant587
98,tid_experiment2_dedeyne_participant588
99,tid_experiment2_dedeyne_participant589
