,i,domain,model,spearmanr,pval
0,0,Birds,GPT-3 Embeddings,0.19132575444972247,5.987452795556152e-06
1,0,Birds,GPT-3.5,0.47438362513025567,2.538599078277983e-32
2,0,Birds,GPT-4,0.5891718090030423,6.892893223917385e-53
3,0,Clothing,GPT-3 Embeddings,0.2790084978363662,5.519291881679507e-15
4,0,Clothing,GPT-3.5,0.579314925647169,5.67033569488168e-69
5,0,Clothing,GPT-4,0.6534198244070234,3.045060173722702e-93
6,0,Fish,GPT-3 Embeddings,-0.06516812110988682,0.16198460240295326
7,0,Fish,GPT-3.5,0.6431743526893053,2.708989617893561e-55
8,0,Fish,GPT-4,0.7653907816138537,5.251064717360372e-73
9,0,Fruit,GPT-3 Embeddings,0.2137352798484381,2.925082189382866e-09
10,0,Fruit,GPT-3.5,0.5568210840981765,8.921430389919344e-63
11,0,Fruit,GPT-4,0.6596957582572373,1.2816175409177355e-95
12,0,Insects,GPT-3 Embeddings,0.289287110452346,4.207854348981834e-12
13,0,Insects,GPT-3.5,0.6419771288104649,1.8807980477086295e-65
14,0,Insects,GPT-4,0.6087923200013252,2.787977209371767e-57
15,0,KitchenUtensils,GPT-3 Embeddings,0.4813320263142216,2.557465928480522e-48
16,0,KitchenUtensils,GPT-3.5,0.5710797459378606,1.830443082346981e-71
17,0,KitchenUtensils,GPT-4,0.7664241519968462,7.071400667220929e-158
18,0,Mammals,GPT-3 Embeddings,0.6111790715612275,7.758549705019464e-58
19,0,Mammals,GPT-3.5,0.7168409796517227,3.4239479295582593e-88
20,0,Mammals,GPT-4,0.7545495067023812,1.0937118285418549e-102
21,0,MusicalInstruments,GPT-3 Embeddings,0.23311789565791116,4.0395734407043854e-07
22,0,MusicalInstruments,GPT-3.5,0.6187042935008437,3.76798352229266e-50
23,0,MusicalInstruments,GPT-4,0.7290179124630254,9.483741800475501e-78
24,0,Professions,GPT-3 Embeddings,0.390407323531919,5.597172780547247e-27
25,0,Professions,GPT-3.5,0.6427612534978411,4.538000831442542e-83
26,0,Professions,GPT-4,0.7075201185389464,1.2317475328285216e-107
27,0,Reptiles,GPT-3 Embeddings,0.6023432224021102,4.341476718137735e-25
28,0,Reptiles,GPT-3.5,0.5468397308419367,4.0658535770556724e-20
29,0,Reptiles,GPT-4,0.5254669444685874,1.943887828800192e-18
30,0,Sports,GPT-3 Embeddings,0.29695871112646893,1.1109950006441091e-13
31,0,Sports,GPT-3.5,0.5599274515969608,8.235319679705603e-51
32,0,Sports,GPT-4,0.6918169024581212,1.2709317380448927e-86
33,0,Tools,GPT-3 Embeddings,0.03239759270845378,0.5078762810981088
34,0,Tools,GPT-3.5,0.5854228083011335,5.3891148848197654e-40
35,0,Tools,GPT-4,0.6538642249406881,1.3906447666015236e-52
36,0,Vegetables,GPT-3 Embeddings,0.19443870184129583,1.5970166189931663e-06
37,0,Vegetables,GPT-3.5,0.3930340121002667,1.335976370968994e-23
38,0,Vegetables,GPT-4,0.552061208122755,3.680552154260637e-49
39,0,Vehicles,GPT-3 Embeddings,0.46713349766181445,2.874486801153706e-31
40,0,Vehicles,GPT-3.5,0.8207231420841531,8.002466615747436e-136
41,0,Vehicles,GPT-4,0.8574945471621844,7.190853425719878e-161
42,0,Weapons,GPT-3 Embeddings,0.3081056103598537,2.1638471468036175e-07
43,0,Weapons,GPT-3.5,0.7633647459347106,3.6216297897075955e-53
44,0,Weapons,GPT-4,0.8768612462761344,7.229044001092314e-88
45,1,Birds,GPT-3 Embeddings,0.2491335815930375,2.958958988959081e-09
46,1,Birds,GPT-3.5,0.5325700425288664,9.244004667837892e-42
47,1,Birds,GPT-4,0.613328278726071,2.429358635189546e-58
48,1,Clothing,GPT-3 Embeddings,0.3338186420381849,3.899277749483309e-21
49,1,Clothing,GPT-3.5,0.544385618308192,1.5065950744688726e-59
50,1,Clothing,GPT-4,0.6686386744412648,4.183945808178596e-99
51,1,Fish,GPT-3 Embeddings,-0.09303726346529212,0.045643022222179974
52,1,Fish,GPT-3.5,0.6282417461232785,4.227216581735133e-52
53,1,Fish,GPT-4,0.7338490263396694,2.8067833813384166e-64
54,1,Fruit,GPT-3 Embeddings,0.18249068701362298,4.3756850697793183e-07
55,1,Fruit,GPT-3.5,0.6130340515366394,3.227874502042902e-79
56,1,Fruit,GPT-4,0.6567052798535413,1.765846556689722e-94
57,1,Insects,GPT-3 Embeddings,0.3289235196482133,2.15282045991446e-15
58,1,Insects,GPT-3.5,0.5889454440010852,7.715098523717076e-53
59,1,Insects,GPT-4,0.611534831828833,6.405787697694454e-58
60,1,KitchenUtensils,GPT-3 Embeddings,0.4501006975593251,9.399661931909005e-42
61,1,KitchenUtensils,GPT-3.5,0.629047593632097,1.1353061196366305e-90
62,1,KitchenUtensils,GPT-4,0.7605744706295716,4.169651179204719e-154
63,1,Mammals,GPT-3 Embeddings,0.6361697334891638,5.981538720401865e-64
64,1,Mammals,GPT-3.5,0.7670062658912599,4.5326755093872756e-108
65,1,Mammals,GPT-4,0.7451104676960406,8.068943084277869e-99
66,1,MusicalInstruments,GPT-3 Embeddings,0.23296624769039806,4.1121080941180853e-07
67,1,MusicalInstruments,GPT-3.5,0.6498119218389797,9.025958035769542e-57
68,1,MusicalInstruments,GPT-4,0.7510199753455543,5.871369680602579e-85
69,1,Professions,GPT-3 Embeddings,0.3551807159489633,2.6725901505586855e-22
70,1,Professions,GPT-3.5,0.5865579111997261,4.1159369285598373e-66
