,domain,model,spearmanr_mean,standard_error
0,Birds,GPT-3 Embeddings,0.22943614174778787,0.04242171799221706
1,Birds,GPT-3.5,0.5321837044268608,0.03446592161023813
2,Birds,GPT-4,0.6077877032465678,0.028483089665492584
3,Clothing,GPT-3 Embeddings,0.2996638286332851,0.03396765012534733
4,Clothing,GPT-3.5,0.5590710302778873,0.02695990551491787
5,Clothing,GPT-4,0.6553459002593203,0.02338521439240005
6,Fish,GPT-3 Embeddings,-0.08704606981532373,0.04854371231543635
7,Fish,GPT-3.5,0.610528016567112,0.031031075839918855
8,Fish,GPT-4,0.7262396436110887,0.023649604083613766
9,Fruit,GPT-3 Embeddings,0.21389181507490304,0.03594560091125109
10,Fruit,GPT-3.5,0.5474367834447985,0.02896356044426173
11,Fruit,GPT-4,0.6733734495583688,0.022367502352657203
12,Insects,GPT-3 Embeddings,0.3406354058501784,0.03932267132922435
13,Insects,GPT-3.5,0.5762311661881417,0.031677748857008727
14,Insects,GPT-4,0.6092164751155779,0.030667900026125006
15,KitchenUtensils,GPT-3 Embeddings,0.4533935830804796,0.028953953253989393
16,KitchenUtensils,GPT-3.5,0.5878992723004485,0.024465559664294697
17,KitchenUtensils,GPT-4,0.7495589831763297,0.01733156904052608
18,Mammals,GPT-3 Embeddings,0.6091661787466052,0.02677824915780662
19,Mammals,GPT-3.5,0.7383702739058893,0.021753593881921864
20,Mammals,GPT-4,0.7609186902498696,0.021204555782048273
21,MusicalInstruments,GPT-3 Embeddings,0.218229594619964,0.048360201676412924
22,MusicalInstruments,GPT-3.5,0.6390491586389029,0.03281595797238353
23,MusicalInstruments,GPT-4,0.729698236452748,0.025825856803359245
24,Professions,GPT-3 Embeddings,0.4116156852079504,0.03162662120455318
25,Professions,GPT-3.5,0.6325812165027221,0.024542654459024527
26,Professions,GPT-4,0.7025679296877584,0.023149815094755992
27,Reptiles,GPT-3 Embeddings,0.5786860645679515,0.0492682339917944
28,Reptiles,GPT-3.5,0.4607957394338541,0.057005600077858154
29,Reptiles,GPT-4,0.5321057595354012,0.0480880601991686
30,Sports,GPT-3 Embeddings,0.25209147522681324,0.04413040575413676
31,Sports,GPT-3.5,0.5917273394051242,0.03010724861642693
32,Sports,GPT-4,0.705034414769011,0.024465810795313073
33,Tools,GPT-3 Embeddings,0.15054745241106132,0.052024848079663844
34,Tools,GPT-3.5,0.5571392293699742,0.036316668352895966
35,Tools,GPT-4,0.7205049027672823,0.029070005550379203
36,Vegetables,GPT-3 Embeddings,0.18195193721411254,0.03948011478105945
37,Vegetables,GPT-3.5,0.4085453125331593,0.03729497303446883
38,Vegetables,GPT-4,0.525473909088909,0.030735096016633556
39,Vehicles,GPT-3 Embeddings,0.5000923009397575,0.03489922554021645
40,Vehicles,GPT-3.5,0.8070271283655726,0.019074166772553955
41,Vehicles,GPT-4,0.8396726901602481,0.01623908656832174
42,Weapons,GPT-3 Embeddings,0.35072293693106393,0.05450956648165574
43,Weapons,GPT-3.5,0.7704102951127136,0.030481230968233287
44,Weapons,GPT-4,0.8867733277558373,0.016170826750536767
