,i,domain,conclusion_type,is_single_premise,gpt3_spearmanr,gpt4_spearmanr,gpt3_scm_spearmanr,gpt4_scm_spearmanr,human_scm_spearmanr,gpt3_pval,gpt4_pval,gpt3_scm_pval,gpt4_scm_pval,human_scm_pval
0,0,Birds,General,False,0.23132595286809304,0.11947478624111975,0.006283250387443406,0.12611509731816922,-0.018027533460171802,0.020575775620073733,0.23642368381012333,0.95052847165772,0.21119216638107208,0.8587046944712503
1,0,Birds,General,True,0.4556521739130434,0.3002041466140479,0.44,0.6347826086956522,0.02695652173913043,0.02524605564204541,0.15406905355812456,0.03142771515017861,0.0008620162988746089,0.9004982689028822
2,0,Birds,Specific,False,0.287780318588711,0.28717364086043135,0.48994545231410686,0.47506916134360444,0.37817223907627784,0.003692463771255823,0.0037685402442789663,2.295173262417985e-07,5.908177603248347e-07,0.00010476945517850906
3,0,Birds,Specific,True,0.3934405155905403,0.37812666708934295,0.5023322743492926,0.4681952367095359,0.5328318984235595,1.572423795644114e-07,5.093360111823893e-07,5.361385238833425e-12,2.0068430292650537e-10,1.4731606609712346e-13
4,0,Mammals,General,False,0.33789022804199964,0.19924647996098582,0.2533921862480678,0.2835204217902643,0.35061272170939517,0.0005857606095900157,0.0468792937970469,0.01096780230450108,0.00425702927404603,0.0003485272488051987
5,0,Mammals,General,True,0.32521739130434785,0.04919585929182765,0.5756521739130435,0.7408695652173911,0.6147826086956522,0.12097787354372341,0.8194275032032885,0.0032464428872563678,3.4620205532400836e-05,0.0013898820033517755
6,0,Mammals,Specific,False,0.5462297589596462,0.7247454198824119,0.7304166766049751,0.7473093287788128,0.7775180716005177,4.1452685247506704e-09,1.540670118760819e-17,6.475465362356052e-18,4.278980861354488e-19,1.8622636268425747e-21
7,0,Mammals,Specific,True,0.5930532926416576,0.7123485869665781,0.6926510771384085,0.7574076672739075,0.8217391921186253,1.774526005585124e-16,6.39736059739892e-26,4.802892151044888e-24,7.199536705678857e-31,3.4939235408175616e-40
8,0,Vehicles,General,False,0.5257864366301733,0.32918556361055384,0.33282224308428493,0.36120212770236176,0.4600765144854388,1.9391477482269966e-08,0.0008252406077058638,0.0007160053996407358,0.00022243483646550039,1.4660877252076227e-06
9,0,Vehicles,General,True,0.8417391304347825,0.6429931888585614,0.4252173913043478,0.6069565217391303,0.8599999999999999,2.5354935854452587e-07,0.0007017009736875792,0.03832022472876961,0.0016613144755187755,7.197415508022946e-08
10,0,Vehicles,Specific,False,0.7958641151767991,0.8115646484588882,0.7622045276119406,0.7503945671327745,0.7903539423009576,4.4396605238431887e-23,1.3221103019270166e-24,3.2419269971014615e-20,2.5452525409042254e-19,1.4180105263361032e-22
11,0,Vehicles,Specific,True,0.7948161267709882,0.8747871830619667,0.7939591308274231,0.8007563339634779,0.8414598313883024,5.674575486079778e-37,7.455263970005914e-53,7.659743819029652e-37,6.816162608458154e-38,3.629280837300615e-45
12,1,Birds,General,False,0.20695573419544444,0.3260152658982958,0.051923930991848714,0.20185071861795129,0.049070292959238274,0.03883214451764215,0.0009326637626254756,0.6079111068695078,0.04401901008198768,0.6277999109628842
13,1,Birds,General,True,0.4313043478260869,0.270382542645765,0.4904347826086956,0.6791304347826086,0.08173913043478259,0.035350455924713656,0.20130339606745218,0.014969705434406802,0.00026315190442545406,0.7041697144360882
14,1,Birds,Specific,False,0.3994983035087368,0.39098986544752534,0.36411536829035746,0.41214278188477566,0.355251630956988,3.828864615388257e-05,5.76881615617933e-05,0.00019604207471679417,2.0389429378399644e-05,0.00028683520430261523
15,1,Birds,Specific,True,0.4668580487155333,0.5279696020041257,0.5278724049072738,0.5653142030147797,0.5554526571605731,2.2944370937701928e-10,2.677097455416376e-13,2.708992081674152e-13,2.108016878468359e-15,8.036444348775946e-15
16,1,Mammals,General,False,0.21615150049251328,0.13836801540742708,0.23218256465945283,0.23655088168272703,0.26964775157922966,0.030777120914624742,0.16978416561530685,0.02009890744281297,0.017812065250855005,0.006667243716404595
17,1,Mammals,General,True,0.21652173913043476,-0.03708610931230084,0.5608695652173912,0.6069565217391303,0.64,0.30951989756230047,0.8634030597865507,0.004356259737992493,0.0016613144755187755,0.0007568767697969986
18,1,Mammals,Specific,False,0.5868426991231305,0.7139032090776619,0.7898762305622641,0.7742014874381246,0.8051429022727584,1.3950806276021884e-10,7.620089062003674e-17,1.5656353160205425e-22,3.523588291281766e-21,5.7833995993229116e-24
19,1,Mammals,Specific,True,0.5878566683996759,0.7243103787965509,0.6970615675317116,0.7444994846525225,0.8101415851490361,3.7495141998020585e-16,3.8747861358384634e-27,1.8826226850827718e-24,2.4025956686697985e-29,3.023410081413058e-38
20,1,Vehicles,General,False,0.5543413693792385,0.3729078515055969,0.41222995726812783,0.42250706670438265,0.5389506159477191,2.1828721380763993e-09,0.0001329232858980944,2.0299239160880346e-05,1.193221259546145e-05,7.265500213929023e-09
21,1,Vehicles,General,True,0.863478260869565,0.6423796457394216,0.4156521739130434,0.588695652173913,0.8608695652173911,5.550668362063421e-08,0.0007127190974707539,0.043381548380330745,0.002475761518903454,6.749197195108883e-08
22,1,Vehicles,Specific,False,0.7543477497685659,0.8183519598961987,0.7548218313118205,0.7223682492115651,0.7571277703924478,1.293606820795206e-19,2.610278621450912e-25,1.1917359233275139e-19,2.2015476213896005e-17,7.975400761708343e-20
23,1,Vehicles,Specific,True,0.7581212655428243,0.8605113336155076,0.7578995337906218,0.7721757560106592,0.8139799829703783,6.84231939244216e-32,2.5627314124015224e-49,7.296655958949291e-32,1.0038433917110767e-33,4.657210943024269e-40
24,2,Birds,General,False,0.19825907519751373,0.19316937974339754,0.17039739840853857,0.2613092174016692,0.11838784924335027,0.048003280939649305,0.05415616859267535,0.09008102126731563,0.008638650862708848,0.24074567254139845
25,2,Birds,General,True,0.37043478260869556,0.38768085158767773,0.5069565217391303,0.6478260869565217,0.09391304347826085,0.0747679168688463,0.061231670353791415,0.011461586292892815,0.0006199285470361291,0.6624853858393347
26,2,Birds,Specific,False,0.4055354032385859,0.23011946819360884,0.573877873778101,0.5469329966669352,0.4926591729267607,2.8430619762952886e-05,0.02126387082838184,4.3322010350496966e-10,3.923725834761496e-09,1.9221640658201822e-07
27,2,Birds,Specific,True,0.4181664709012027,0.3829589148238968,0.5071050135939246,0.4755417298882399,0.5121260158664989,2.0704054779399043e-08,3.537784786954251e-07,3.127012122752725e-12,9.515890720218479e-11,1.7573085393511152e-12
28,2,Mammals,General,False,0.3603162462205751,0.2329972091398107,0.32871763661315617,0.29157115278781637,0.3966935209622499,0.00023108926301438184,0.019654243050416065,0.0008403501818035715,0.003247451527205324,4.3882357294468586e-05
29,2,Mammals,General,True,0.18956521739130433,-0.08779568735156934,0.5756521739130435,0.6747826086956521,0.5478260869565217,0.3749803911439147,0.6833193735291758,0.0032464428872563678,0.0002981865350547613,0.005585606044072471
30,2,Mammals,Specific,False,0.6312760661727136,0.7847980577647653,0.7971616313708476,0.8030723997734001,0.8226409436929166,1.9093322388898936e-12,4.416937382509284e-22,3.3600096595112074e-23,9.199678463588735e-24,9.03915934033754e-26
31,2,Mammals,Specific,True,0.5943263078390126,0.6995866227954706,0.6999245428443686,0.7430648021617506,0.8349562968036075,1.4743493137679276e-16,1.0928592759310535e-24,1.0157043572085816e-24,3.5022638273886676e-29,1.4341481979110914e-42
32,2,Vehicles,General,False,0.5495286282100805,0.3866719042961305,0.3658695395478769,0.3904021224961584,0.4615714673207373,3.2001930407101964e-09,7.072706812170098e-05,0.00018157973019847603,5.93205492879286e-05,1.3416481798446784e-06
33,2,Vehicles,General,True,0.8452173913043477,0.6166108347355479,0.43478260869565216,0.5904347826086956,0.8521739130434782,2.0198318553448652e-07,0.0013322575771815837,0.033737255575550164,0.002385855329015202,1.260185034238605e-07
34,2,Vehicles,Specific,False,0.7261565792204812,0.7787532401488054,0.7023634147166451,0.692996168867846,0.7375925256299524,1.2442851762413007e-17,1.4644782496721285e-21,3.8591735781951095e-16,1.361742707629683e-15,2.0946788282797963e-18
35,2,Vehicles,Specific,True,0.6868822487675241,0.8276778233015772,0.7346400481114729,0.7358877741941908,0.7659720918704216,3.183484886212523e-24,1.7177018968396327e-42,4.313522308673615e-29,3.116081178251781e-29,6.711564952764662e-33
36,3,Birds,General,False,0.415265197310682,0.3767591554602167,0.06235035022997771,0.3263341718485262,0.051695426421747605,1.7382437265053224e-05,0.00011172591089793045,0.5377199241433368,0.0009213080064427584,0.6094934793599622
37,3,Birds,General,True,0.46782608695652167,0.434401364471321,0.48260869565217385,0.6260869565217391,0.014782608695652172,0.021148364845632338,0.03391116575862874,0.016914299258078327,0.0010652327596246908,0.9453421257736343
38,3,Birds,Specific,False,0.45883705101172056,0.31971220929406097,0.5365571185989606,0.5973781274011133,0.47424183932895053,1.5774659803332894e-06,0.0011849761342352422,8.712554784862503e-09,5.350702802522828e-11,6.219083477950334e-07
39,3,Birds,Specific,True,0.47483326133374765,0.4415818807143964,0.5570325771528543,0.5620548688662416,0.6079469321662433,1.0233801450256533e-10,2.595022502801931e-09,6.504869368957547e-15,3.29681464038898e-15,3.751409346591292e-18
40,3,Mammals,General,False,0.2922792576668902,0.22029494887699466,0.26338956222492804,0.3512270356380524,0.33854610521363443,0.0031698728253674543,0.02763816151251719,0.008103985519943943,0.00033970896732714,0.0005705942365204769
41,3,Mammals,General,True,0.2452173913043478,0.13699154664339697,0.6217391304347826,0.7565217391304346,0.6669565217391304,0.24812129907550184,0.5232703394341613,0.001181409133127283,1.890394343040655e-05,0.0003715401816914552
42,3,Mammals,Specific,False,0.6468795018848711,0.7999102530202676,0.8103576586842666,0.8275984172366734,0.8371639477387744,3.5744189683126926e-13,1.849587120929278e-23,1.7522055827509557e-24,2.5591907903485698e-26,1.993422049033184e-27
43,3,Mammals,Specific,True,0.5903877214326961,0.6986988195515477,0.6675229955157465,0.7275790083591791,0.8109190135178377,2.6089213969894134e-16,1.3240113845435279e-24,7.35228810242084e-22,1.7550281145896354e-27,2.263815084831492e-38
44,3,Vehicles,General,False,0.6365935858316727,0.46027723361602607,0.4321866335186903,0.4738400801017041,0.5826552179667316,1.0902731111580813e-12,1.4487668503600062e-06,7.118388372414536e-06,6.375604046569779e-07,2.0226008288575135e-10
45,3,Vehicles,General,True,0.8695652173913043,0.6294952402374849,0.3782608695652173,0.5947826086956521,0.8521739130434782,3.461787327652242e-08,0.0009811547890508224,0.06836896832220618,0.0021731439845524927,1.260185034238605e-07
46,3,Vehicles,Specific,False,0.713493176094164,0.7532507461500914,0.7191639643380432,0.6982630590963173,0.7128253600653993,8.083243763320923e-17,1.562866539412901e-19,3.5412954675334375e-17,6.741961084875443e-16,8.896645021014423e-17
47,3,Vehicles,Specific,True,0.7270333120647705,0.846623287725882,0.755469311681958,0.7546595912256839,0.8007895261502997,3.0120809835833895e-28,3.096978552732931e-46,1.469539900326318e-31,1.8522537702409394e-31,6.734570183529999e-38
48,4,Birds,General,False,0.2572425617477133,0.2568725611403728,0.12641701956145185,0.2359228259485584,0.18352932049920612,0.00977411696400817,0.009883649973872536,0.210092375361481,0.01812636583670517,0.0675829851182415
49,4,Birds,General,True,0.5156521739130434,0.24553120600552922,0.48260869565217385,0.6043478260869565,0.07478260869565216,0.009906970265358948,0.24749726811700207,0.016914299258078327,0.0017613115382687772,0.7283751615575544
50,4,Birds,Specific,False,0.31676323592413247,0.28688808710084057,0.5103954458803325,0.5146202359320639,0.40461966540900096,0.001323128726656685,0.0038048312877393114,5.802446671365982e-08,4.3180557693499864e-08,2.975483454807054e-05
51,4,Birds,Specific,True,0.4466918914445954,0.4571673551280913,0.5397313031388052,0.5352579175287931,0.5766853743103035,1.6145360684903323e-09,5.953396269346996e-10,6.208003684997378e-14,1.0895746806667287e-13,4.258888554236979e-16
52,4,Mammals,General,False,0.3984349226284827,0.2491379801755649,0.3349726358334022,0.34395225632593585,0.40015722920429336,4.0325963964571744e-05,0.012433210190115748,0.0006578070571777904,0.00045863545618827475,3.7074919255593654e-05
53,4,Mammals,General,True,0.1843478260869565,-0.0007568593737204253,0.5356521739130434,0.6739130434782608,0.5878260869565216,0.3885058997417008,0.9971995211483654,0.006983184749703951,0.0003056600303861522,0.0025217833030871436
54,4,Mammals,Specific,False,0.611259297819485,0.7951159048843355,0.742970815523066,0.7687502442011188,0.8138342403971645,1.4336297522966965e-11,5.208748775797892e-23,8.772940415826352e-19,9.820175630755803e-21,7.742276427151079e-25
55,4,Mammals,Specific,True,0.5875712961515335,0.7148012769691838,0.6937949029576207,0.7712394007366554,0.8324926819376013,3.905247244686707e-16,3.6425418192657176e-26,3.773299199235802e-24,1.3045463698447992e-32,4.141764210264785e-42
56,4,Vehicles,General,False,0.4974496839040874,0.33096151611741603,0.3231090042228995,0.40219387215599356,0.4660191845392067,1.4001770076309317e-07,0.0007701249763692177,0.0010421895846539472,3.3546940718934215e-05,1.027892600122514e-06
57,4,Vehicles,General,True,0.8547826086956521,0.6294952402374849,0.4547826086956522,0.6313043478260869,0.8565217391304346,1.0493389191403902e-07,0.0009811547890508224,0.025561579704034474,0.0009388911528619091,9.26929382707582e-08
58,4,Vehicles,Specific,False,0.7485012702871072,0.8021815215011304,0.7643197063493274,0.7454467998942126,0.7907135150734595,3.5040191959054585e-19,1.1214405492922158e-23,2.2132580318795818e-20,5.834035731607826e-19,1.315925413101394e-22
59,4,Vehicles,Specific,True,0.7791337018888135,0.8609325417340872,0.7776441653727183,0.7790286576340275,0.8184139360794672,1.108112062283317e-34,2.0420734845718544e-49,1.7880493478095076e-34,1.1462799287846712e-34,7.999078086424321e-41
60,5,Birds,General,False,0.5158156265176348,0.35335269297308397,0.05898132182715168,0.3484449784373745,0.06164260263862962,3.968830540720497e-08,0.0003107573918864493,0.5599568378106258,0.0003813560950794851,0.5423548763127639
61,5,Birds,General,True,0.4622744184079464,0.3658912255627477,0.35964340924117755,0.5640356732597427,0.051750381740870766,0.02294455786570513,0.07868586434239384,0.08432447108846924,0.004094982242302438,0.8102135187996977
62,5,Birds,Specific,False,0.39614976172340344,0.19139496593742936,0.5206464284412774,0.489345232374545,0.41125426910453183,4.5051514762913176e-05,0.05644795134133896,2.813247916019436e-08,2.386504128359392e-07,2.133034360344369e-05
63,5,Birds,Specific,True,0.3304776708992321,0.3839704609414325,0.42045689320889423,0.4421580780735755,0.45191016132350753,1.3704197861719264e-05,3.2754910566791605e-07,1.701492673731598e-08,2.4607778354211133e-09,9.863801466444826e-10
64,5,Mammals,General,False,0.3392653009174313,0.18708186927014636,0.2914122491435845,0.31447920411403946,0.32387279190791135,0.0005543781155300945,0.062351298447193094,0.00326509298222281,0.0014400133591593379,0.0010123240617343474
65,5,Mammals,General,True,0.248695652173913,0.18467368718778376,0.5269565217391303,0.7782608695652173,0.5078260869565216,0.2412617668879545,0.3876531474471432,0.008150736777295305,7.546742743219032e-06,0.011297601785925497
66,5,Mammals,Specific,False,0.5305261519004861,0.7213945643528636,0.7410287803943857,0.7765296085300196,0.7957562233620974,1.3683601468252769e-08,2.5454288096707187e-17,1.2042098314221036e-18,2.254633525567838e-21,4.543313155242363e-23
67,5,Mammals,Specific,True,0.5732104619514008,0.704470913673858,0.7074768496815238,0.7530518842926873,0.8085240728753511,2.8781669485246902e-15,3.754973439208648e-25,1.9245728423852376e-25,2.4090784335271623e-30,5.496557830760389e-38
68,5,Vehicles,General,False,0.6205957107595311,0.47880774831127443,0.41528920082507587,0.40741351997143693,0.5646359545875672,5.698990542678721e-12,4.678135648202156e-07,1.7361022468054932e-05,2.5885445234533605e-05,9.432784194571884e-10
69,5,Vehicles,General,True,0.8643478260869566,0.6294952402374849,0.4060869565217391,0.5756521739130435,0.8365217391304347,5.1958569004558646e-08,0.0009811547890508224,0.04895342898055785,0.0032464428872563678,3.530732192186269e-07
70,5,Vehicles,Specific,False,0.7182070815673447,0.7825706792204307,0.7411497160988918,0.7563747916433685,0.7838500444219724,4.076203393949494e-17,6.900281514288251e-22,1.1807880518496974e-18,9.097513000746814e-20,5.343951753810693e-22
71,5,Vehicles,Specific,True,0.7670157673499887,0.8613898694817596,0.7925270055444179,0.7915139717574312,0.8414301202447341,4.895504598494809e-33,1.5944625695658871e-49,1.260532060440715e-36,1.788786375449428e-36,3.6801026831377664e-45
