,i,domain,conclusion_type,is_single_premise,statistic,pvalue
0,0,Birds,General,False,0.2065016048952551,0.03927182040243867
1,0,Birds,General,True,0.7765217391304347,8.151909606749645e-06
2,0,Birds,Specific,False,0.3794041400190314,9.903549316687809e-05
3,0,Birds,Specific,True,0.5336096477032545,1.3377328047715476e-13
4,0,Mammals,General,False,0.11739292319063327,0.24474956007664192
5,0,Mammals,General,True,0.7954746267707635,3.3836369813329427e-06
6,0,Mammals,Specific,False,0.7681278181965558,1.1019718106741189e-20
7,0,Mammals,Specific,True,0.7916548489550914,2.0328895897061037e-35
8,0,Vehicles,General,False,0.4113013633065942,2.1279467632472446e-05
9,0,Vehicles,General,True,0.9486956521739129,1.7601878580747325e-12
10,0,Vehicles,Specific,False,0.7459464812519897,5.369890006335455e-19
11,0,Vehicles,Specific,True,0.8199211121837252,4.347134117677659e-41
12,1,Birds,General,False,0.30345820297466725,0.002146718995884565
13,1,Birds,General,True,0.6808695652173912,0.0002501749680520709
14,1,Birds,Specific,False,0.40274055389835767,3.265485952576833e-05
15,1,Birds,Specific,True,0.5134001306672367,1.515945705464828e-12
16,1,Mammals,General,False,0.22742229197490074,0.022873842638703963
17,1,Mammals,General,True,0.8165217391304346,1.1382905036326446e-06
18,1,Mammals,Specific,False,0.7694247005252096,8.663778814022027e-21
19,1,Mammals,Specific,True,0.8240174656470004,1.4002878472677081e-40
20,1,Vehicles,General,False,0.31783936964206183,0.0012711034800508326
21,1,Vehicles,General,True,0.9243478260869564,1.1248113620991151e-10
22,1,Vehicles,Specific,False,0.7504501931657401,2.521349530403057e-19
23,1,Vehicles,Specific,True,0.8432201689501453,1.5840229386947186e-45
24,2,Birds,General,False,0.09199891919350223,0.36263521328441795
25,2,Birds,General,True,0.6840617687259638,0.00022779914992560022
26,2,Birds,Specific,False,0.36101378167944403,0.00022424937063426293
27,2,Birds,Specific,True,0.5460021579199537,2.781906767196777e-14
28,2,Mammals,General,False,0.26056123394824204,0.008838341086925492
29,2,Mammals,General,True,0.8113043478260868,1.5098226216258118e-06
30,2,Mammals,Specific,False,0.7390825482816595,1.6494226220825659e-18
31,2,Mammals,Specific,True,0.8035005879036615,3.394789796711418e-37
32,2,Vehicles,General,False,0.3627209119304476,0.00020829110222695226
33,2,Vehicles,General,True,0.9165217391304347,3.2005504836752396e-10
34,2,Vehicles,Specific,False,0.7443862216638767,6.952015435275899e-19
35,2,Vehicles,Specific,True,0.815245523059916,2.8304507997843813e-40
36,3,Birds,General,False,0.0781367257972093,0.4396845696409919
37,3,Birds,General,True,0.6791304347826086,0.00026315190442545406
38,3,Birds,Specific,False,0.3438084513276984,0.00046133142421459893
39,3,Birds,Specific,True,0.5836269008930431,1.555635971930175e-16
40,3,Mammals,General,False,0.2751145467038328,0.005601726872944588
41,3,Mammals,General,True,0.7191304347826086,7.504696733116017e-05
42,3,Mammals,Specific,False,0.7873189091762851,2.6488629828352113e-22
43,3,Mammals,Specific,True,0.7949717155268634,6.641626388587224e-36
44,3,Vehicles,General,False,0.3622309649662151,0.00021276021068925902
45,3,Vehicles,General,True,0.9408695652173911,8.087785796446622e-12
